,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,346.0,0.07,3.7040883722949944,155.9995172406764,127.17721695931758,-0.7518669571252914,1801.5871316477287,3.620000000000001,1.0628264204469136,362.0000000000004,3.1050000000000013,1.9124526137920383,310.50000000000017,16.82763893862932,167.43289340102353,1682.763893862932,0.0,0.0,0.0,1.4238974362795738,2.9961985565408105,142.3897436279574,475.2026708880243,1901.0656142559487,47520.26708880247,475.2026708880243,1901.0656142559487,47520.26708880247,1309027.7974517061,1006015.1280566117,130902779.74517058,0.0,0.6,1030.2766743053726,4195.96468145181,1048.29254562185,4221.226522214881,104829.25456218496,0.0,0.0,0.0,1048.29254562185,4221.226522214881,104829.25456218496,0.0,0.0,0.0,-68399832.66743053,0.0,-68399832.66743053,-68399832.66743053,0.0,-68399832.66743053,0.4,0.3529967133353893,0.09996814816049805
1,1001,2,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,342.0,0.06,4.554137640975912,72.54576036770482,74.65948471187036,-0.5372050880432103,2853.558531464606,4.150000000000002,1.2893796958227626,415.0000000000006,4.310000000000001,2.0990235825259322,431.0000000000006,0.0,0.0,0.0,49.0598307902556,343.4188158963961,4905.98307902556,4.078673654591372,3.662455456106647,407.8673654591374,240.9843423472195,832.3462088859767,24098.434234721943,240.9843423472195,832.3462088859767,24098.434234721943,1175300.0580586053,868661.0388737214,117530005.80586052,0.01,0.38,491.1544777284343,1476.0582882364065,519.6900630430803,1500.1288978979103,51969.006304308044,0.0,0.0,0.0,519.6900630430803,1500.1288978979103,51969.006304308044,0.0,0.0,0.0,-62749338.44777283,0.0,-62749338.44777283,-62749338.44777283,0.0,-62749338.44777283,0.24,0.3540105647359414,0.09698566119286127
2,1502,3,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,268.5,0.05,4.499105245514839,115.98991834826079,144.25777041071262,-0.7603071166841204,2008.1458647247255,4.025000000000001,1.2715639976029516,402.5000000000005,3.350000000000001,2.1430118991736835,335.00000000000034,0.0,0.0,0.0,0.0,0.0,0.0,1.2088709584253494,2.3874621748390887,120.88709584253486,264.39161627472527,1496.4617169857468,26439.16162747256,264.39161627472527,1496.4617169857468,26439.16162747256,960610.2310752842,1079934.3118417885,96061023.10752845,0.0,0.41,642.0258053656174,3365.050371057067,662.1072640128649,3381.2911498189787,66210.72640128649,0.0,0.0,0.0,662.1072640128649,3381.2911498189787,66210.72640128649,0.0,0.0,0.0,-53339036.58053654,0.0,-53339036.58053654,-53339036.58053654,0.0,-53339036.58053654,0.48,0.34271994952931384,0.0698563053216437
3,2003,4,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,405.0,0.09,3.7530195121846877,208.2854963513502,169.86105035410475,0.2789433638731172,2340.741997644946,4.195000000000002,1.3760359733669756,419.50000000000074,3.1700000000000013,2.4155951647575384,317.0000000000001,0.4892319226682755,2.132512510865119,48.92319226682755,0.0,0.0,0.0,3.133409838748918,3.786992436278721,313.340983874892,773.2172854950196,2888.3878096843496,77321.72854950189,773.2172854950196,2888.3878096843496,77321.72854950189,1231861.9588802347,1829457.2734770933,123186195.88802344,0.0,0.2,1690.5936863751467,5925.9389432245,1714.0011063515965,5955.829584503379,171400.11063515965,0.0,0.0,0.0,1714.0011063515965,5955.829584503379,171400.11063515965,0.0,0.0,0.0,-67325038.36863752,0.0,-67325038.36863752,-67325038.36863752,0.0,-67325038.36863752,0.8,0.5832250020370862,0.2723124723069994
4,2504,5,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,646.0,0.11,4.297258486380529,99.85908701207335,81.35613841139667,0.355921105391058,4066.3273626241244,4.130000000000001,1.2841728855570809,413.00000000000057,4.925000000000001,1.5911866640969563,492.50000000000085,0.0,0.0,0.0,0.0,0.0,0.0,5.2554846025292905,4.538916577117217,525.5484602529293,602.9471218608937,1330.0335389652246,60294.712186089346,602.9471218608937,1330.0335389652246,60294.712186089346,1065088.5333765347,879037.3631223079,106508853.33765347,0.13,0.21,1591.9736630620007,3180.2886518818036,1632.6369366882425,3207.176598417248,163263.6936688242,0.0,0.0,0.0,1632.6369366882425,3207.176598417248,163263.6936688242,0.0,0.0,0.0,-55888388.36630619,0.0,-55888388.36630619,-55888388.36630619,0.0,-55888388.36630619,0.22,0.3516318506949123,0.08137312111250872
5,3005,6,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,527.5,0.1,3.4875337382867584,140.02916419832863,126.9395335328337,-0.3392320807180874,3309.2922860432286,3.310000000000001,1.1514773119779649,331.0000000000002,3.7550000000000012,1.6010855692310761,375.5000000000005,32.402272203595906,262.4450355326745,3240.2272203595903,20.048905925974967,162.3878657358424,2004.8905925974966,3.1105185857621978,6.346789195957082,311.0518585762199,609.6932977335698,2115.8311963578485,60969.32977335704,609.6932977335698,2115.8311963578485,60969.32977335704,881642.9885590237,899028.1736295412,88164298.85590234,0.14,0.34,1341.258566622175,4025.2743945805564,1374.3514894826067,4054.9110295485902,137435.14894826073,0.0,0.0,0.0,1374.3514894826067,4054.9110295485902,137435.14894826073,0.0,0.0,0.0,-46804538.856662214,0.0,-46804538.856662214,-46804538.856662214,0.0,-46804538.856662214,0.33,0.35817229315678295,0.11127678524762856
6,3506,7,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,238.5,0.05,4.019736482220291,123.68416145439623,140.28726437995127,-0.20461349546887325,1220.9674486270155,3.9400000000000017,0.9718024490605072,394.0000000000005,3.220000000000001,2.1167427807837207,322.00000000000017,0.0,0.0,0.0,0.0,0.0,0.0,1.2209674486269402,1.897493478345698,122.09674486269394,273.09386357327077,1512.39884953137,27309.38635732707,273.09386357327077,1512.39884953137,27309.38635732707,1048809.0316833248,786578.3760911173,104880903.16833252,0.0,0.54,613.5113105814194,3398.594933431405,625.7209850676895,3417.1109396928305,62572.09850676894,0.0,0.0,0.0,625.7209850676895,3417.1109396928305,62572.09850676894,0.0,0.0,0.0,-56620539.131058134,0.0,-56620539.131058134,-56620539.131058134,0.0,-56620539.131058134,0.46,0.3472262890473916,0.08739909418749307
7,4007,8,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,310.0,0.05,3.3982685181272223,23.876172378621835,17.01440629577176,0.6717379904802983,1382.1361095045295,3.475000000000001,1.2477479713467778,347.50000000000034,1.87,1.955019181491578,186.9999999999997,0.75,2.968585521759479,75.0,0.0,0.0,0.0,1.8177192129404829,1.3418047544990506,181.77192129404818,80.62590271350774,109.05204505783958,8062.590271350771,80.62590271350774,109.05204505783958,8062.590271350771,400630.94875253213,353588.43716241524,40063094.87525323,0.0,0.32,149.21716841527854,232.62115154162936,163.03852951032385,239.89611792240694,16303.852951032375,0.0,0.0,0.0,163.03852951032385,239.89611792240694,16303.852951032375,0.0,0.0,0.0,-24654874.716841534,0.0,-24654874.716841534,-24654874.716841534,0.0,-24654874.716841534,0.68,0.49998045746061937,0.2250414252323761
8,4508,9,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,309.0,0.07,3.7200113724612685,143.60768998236887,151.9424762458987,0.4174526801958506,2595.5457037415404,4.230000000000001,1.0668176976409793,423.0000000000006,3.7500000000000013,1.8513508581573614,375.0000000000005,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,2.5257676216943232,5.563104872101284,252.5767621694324,455.12431195069877,1972.5555537120833,45512.431195069876,455.12431195069877,1972.5555537120833,45512.431195069876,1124660.29303443,1509416.8990901106,112466029.30344296,0.06,0.58,1224.3737945371352,4595.3863097508465,1250.3292515745502,4622.009715737838,125032.92515745499,0.0,0.0,0.0,1250.3292515745502,4622.009715737838,125032.92515745499,0.0,0.0,0.0,-60871583.37945368,0.0,-60871583.37945368,-60871583.37945368,0.0,-60871583.37945368,0.42,0.5518661545356376,0.2553030025915391
9,5009,10,500,100,100,100,BA_4,closeness_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,331.0,0.06,4.560062198387676,94.05360253113507,75.82842111707818,-0.23537160946420851,2076.004740613178,4.480000000000001,1.0274239631233055,448.00000000000074,5.665000000000001,1.2483088560128057,566.5000000000011,0.0,0.0,0.0,0.0,0.0,0.0,2.3437673085069743,7.513983817781617,234.37673085069758,311.89394763066565,939.9741721049927,31189.394763066546,311.89394763066565,939.9741721049927,31189.394763066546,892613.8849090001,729632.8335926104,89261388.49090001,0.05,0.3,721.0298258239253,2565.5391976639507,741.7898732300574,2587.080015948558,74178.98732300573,0.0,0.0,0.0,741.7898732300574,2587.080015948558,74178.98732300573,0.0,0.0,0.0,-49967648.982582346,0.0,-49967648.982582346,-49967648.982582346,0.0,-49967648.982582346,0.54,0.36366048285904756,0.10235864260350033
