,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,440.5,0.09,3.799488533267712,129.9898658719478,101.47546607059388,-0.6633317116449453,3481.093667007041,3.9000000000000017,1.1445523142259595,390.0000000000005,3.8350000000000013,1.868762959821282,383.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,4.9770182373555425,12.289931133937056,497.70182373555434,540.1654938117565,1642.8805795285107,54016.54938117568,540.1654938117565,1642.8805795285107,54016.54938117568,1199867.6833750112,1002387.4681448634,119986768.3375011,0.14,0.32,1044.8654042993962,2646.83242803399,1079.676340969467,2676.274994649034,107967.63409694677,0.0,0.0,0.0,1079.676340969467,2676.274994649034,107967.63409694677,0.0,0.0,0.0,-63677111.54042996,0.0,-63677111.54042996,-63677111.54042996,0.0,-63677111.54042996,0.26,0.35719744228405026,0.1029001902093355
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,341.0,0.06,3.5197837115262764,45.56134859038389,55.68488901814559,-0.48883412956997463,2354.87766059608,3.010000000000001,1.0520931517693668,301.0,3.035000000000002,1.463992827851284,303.5,0.0,0.0,0.0,0.0,0.0,0.0,2.251578207714762,3.475872631500589,225.1578207714763,154.98224986756165,584.2051068479477,15498.224986756162,154.98224986756165,584.2051068479477,15498.224986756162,686248.1310458317,827043.7281083479,68624813.10458316,0.07,0.48,319.0147884626225,820.6627302791206,342.5635650685833,838.1182230247846,34256.35650685831,0.0,0.0,0.0,342.5635650685833,838.1182230247846,34256.35650685831,0.0,0.0,0.0,-34528344.47884625,0.0,-34528344.47884625,-34528344.47884625,0.0,-34528344.47884625,0.02,0.34460057519817416,0.07866269974135169
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,315.5,0.06,5.308736215807307,128.27156665080284,146.65928356781745,-0.628298552385206,1493.925162854113,5.3450000000000015,1.3937270177477366,534.5000000000009,6.34,1.8900793634130817,634.0000000000011,0.0,0.0,0.0,0.0,0.0,0.0,2.0176969398576015,1.8392164728044678,201.76969398576003,366.6707980918524,1694.330638845843,36667.07980918525,366.6707980918524,1694.330638845843,36667.07980918525,1239224.2222997597,1068091.8345469376,123922422.22997597,0.0,0.33,808.2596825704242,3811.1005228590852,823.1989341989653,3828.649805464696,82319.89341989651,0.0,0.0,0.0,823.1989341989653,3828.649805464696,82319.89341989651,0.0,0.0,0.0,-71170045.96825702,0.0,-71170045.96825702,-71170045.96825702,0.0,-71170045.96825702,0.67,0.3608933135824734,0.09245054011729079
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,292.57205,0.07,5.024473832944692,255.06261982759648,216.15016736390606,-0.26810328917544546,2414.6658693455674,4.485000000000002,1.3907821540413867,448.5000000000007,4.925000000000001,2.293877721239735,492.5000000000009,0.0,0.0,0.0,0.0,0.0,0.0,5.7858247526425375,10.186573856880662,578.5824752642538,675.7283232004725,3012.3406252765963,67572.83232004721,675.7283232004725,3012.3406252765963,67572.83232004721,1105047.023989325,1569500.4196970232,110504702.39893249,0.0,0.06,1440.8040146147778,5977.257137465887,1464.9506733082337,6003.459679018174,146495.06733082328,0.0,0.0,0.0,1464.9506733082337,6003.459679018174,146495.06733082328,0.0,0.0,0.0,-60109477.40146148,0.0,-60109477.40146148,-60109477.40146148,0.0,-60109477.40146148,0.85,0.561305514514638,0.2604081303475175
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,323.0,0.06,2.993957738812584,56.368315333510594,55.5079982876244,0.443944597713348,2433.0353945295615,3.515000000000001,1.4353658070331754,351.5000000000004,2.565,2.0251604874675984,256.49999999999966,0.34670629878201636,1.9714554681475902,34.67062987820164,0.0,0.0,0.0,1.5093627993249012,2.4080900205764872,150.9362799324901,191.46288180061444,606.5634607278911,19146.288180061445,191.46288180061444,606.5634607278911,19146.288180061445,828758.5015252229,825087.2530867475,82875850.15252228,0.0,0.37,488.87103277159673,1491.8756819438918,513.2013867168924,1508.1037145235728,51320.138671689245,0.0,0.0,0.0,513.2013867168924,1508.1037145235728,51320.138671689245,0.0,0.0,0.0,-44720278.10327714,0.0,-44720278.10327714,-44720278.10327714,0.0,-44720278.10327714,0.63,0.39939153061615795,0.17044214762103313
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,234.0,0.04,4.276316951294016,42.24052354786305,40.68989460203731,0.30384471723726136,1101.303908355791,3.9000000000000012,1.4071247279470287,390.0000000000005,3.200000000000001,2.128379665379276,320.00000000000017,0.0,0.0,0.0,0.0,0.0,0.0,1.1013039083557319,1.1529284671292996,110.13039083557321,106.43262326363384,321.5677525936978,10643.2623263634,106.43262326363384,321.5677525936978,10643.2623263634,801651.0589132973,677025.4143260799,80165105.89132974,0.0,0.48,232.9229579881885,721.3913053414384,243.93599707174639,732.0197669673917,24393.599707174635,0.0,0.0,0.0,243.93599707174639,732.0197669673917,24393.599707174635,0.0,0.0,0.0,-44136322.29579882,0.0,-44136322.29579882,-44136322.29579882,0.0,-44136322.29579882,0.52,0.3489097317789437,0.08356531094052079
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,276.0,0.05,4.62742980528788,57.611183446676435,49.452055056774554,-0.9524809354498206,1579.3954165009695,4.2200000000000015,1.3529966740535615,422.00000000000074,4.565000000000001,1.8224365558230005,456.50000000000074,0.0,0.0,0.0,0.0,0.0,0.0,1.3482872954703427,1.8687883743740676,134.8287295470342,172.06252762882636,498.46503544814954,17206.252762882617,172.06252762882636,498.46503544814954,17206.252762882617,936510.2299463104,785200.6400879952,93651022.99463104,0.03,0.56,407.28425574450563,1101.2112532222304,423.0782099095154,1118.1632438795966,42307.82099095156,0.0,0.0,0.0,423.0782099095154,1118.1632438795966,42307.82099095156,0.0,0.0,0.0,-51342222.425574474,0.0,-51342222.425574474,-51342222.425574474,0.0,-51342222.425574474,0.44,0.35536825468814953,0.08839408762482262
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,288.5,0.07,4.149928718513986,248.6511317609793,162.58644457263156,0.27347565372015015,2069.437000114054,4.135000000000002,1.015517109653993,413.5000000000006,3.805000000000001,1.9863219779280497,380.50000000000045,0.0,0.0,0.0,0.0,0.0,0.0,2.5885347659592215,3.9916684862850587,258.85347659592196,721.3004149265471,2823.815725357661,72130.04149265478,721.3004149265471,2823.815725357661,72130.04149265478,1189464.5867051072,1580523.566584844,118946458.67051077,0.0,0.1,1632.6742949724307,5834.240309604439,1653.368664973571,5866.26747908641,165336.8664973571,0.0,0.0,0.0,1653.368664973571,5866.26747908641,165336.8664973571,0.0,0.0,0.0,-61938871.42949724,0.0,-61938871.42949724,-61938871.42949724,0.0,-61938871.42949724,0.9,0.509555676474389,0.2463278489272146
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,134.5,0.03,4.565432104342633,147.50377518569167,193.7935822865746,-0.6487294182000354,737.2229465449791,3.680000000000001,1.6848145298518764,368.00000000000045,3.425000000000001,2.160295118727994,342.50000000000017,0.05814099929118356,0.5784956387555255,5.814099929118356,0.0,0.0,0.0,0.7372229465449796,1.4426750524728935,73.72229465449797,172.52744205828213,1569.5678830783459,17252.74420582822,172.52744205828213,1569.5678830783459,17252.74420582822,919699.0790128501,930681.3200735302,91969907.90128502,0.0,0.62,386.63155762058346,3528.3877776529785,394.00378708603324,3542.7301427285834,39400.378708603326,0.0,0.0,0.0,394.00378708603324,3542.7301427285834,39400.378708603326,0.0,0.0,0.0,-50704171.15576212,0.0,-50704171.15576212,-50704171.15576212,0.0,-50704171.15576212,0.38,0.35448750000206375,0.09430980884380813
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,641.0,0.11,3.898003383155503,80.44377382305392,55.30633482312169,-0.4582585096341938,3342.686550202218,3.590000000000001,1.1999583326099283,359.00000000000034,3.5000000000000013,1.8934096228761486,350.0000000000003,0.0,0.0,0.0,33.632900392787654,235.43030282962087,3363.290039278765,2.9025657834134795,6.304773741520324,290.2565783413481,495.9937145576673,952.1095759691169,49599.37145576673,495.9937145576673,952.1095759691169,49599.37145576673,1114008.9005884323,1122324.2107371446,111400890.05884327,0.17,0.47,870.2221583897829,1466.337077976459,903.6490238918049,1487.8656163297665,90364.90238918051,0.0,0.0,0.0,903.6490238918049,1487.8656163297665,90364.90238918051,0.0,0.0,0.0,-55364252.21583899,0.0,-55364252.21583899,-55364252.21583899,0.0,-55364252.21583899,0.33,0.3493045400176978,0.09000545672615387
