,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,241.0,0.05,4.66465175129036,139.01591660277694,105.0789827824618,-0.566175603580299,1186.6473149491997,3.6450000000000014,1.547732211979837,364.50000000000045,3.4200000000000013,2.1662409838242835,342.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.1866473149491241,2.2323367923547046,118.66473149491237,351.29644000164933,1327.8520982777306,35129.64400016496,351.29644000164933,1327.8520982777306,35129.64400016496,573444.0860708504,912279.5052168884,57344408.60708502,0.0,0.62,787.9133003922045,2982.859171535887,799.779773541696,3005.0706360205163,79977.97735416956,0.0,0.0,0.0,799.779773541696,3005.0706360205163,79977.97735416956,0.0,0.0,0.0,-32005740.33003924,0.0,-32005740.33003924,-32005740.33003924,0.0,-32005740.33003924,0.0,0.3412746390672582,0.05918797856921023
1,1001,2,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,296.0,0.05,3.539219295512178,21.587378577563516,19.360275281394305,0.7046840601435487,1393.0400696864165,3.665000000000001,1.512704531625393,366.50000000000034,3.4000000000000012,2.1794494717703365,340.0000000000003,0.1062193439416394,0.4204282754079216,10.62193439416394,0.0,0.0,0.0,1.393040069686408,0.9763076794863901,139.3040069686407,73.26579701069699,114.63560589747297,7326.579701069692,73.26579701069699,114.63560589747297,7326.579701069692,652547.6064390197,763543.3899073044,65254760.64390197,0.0,0.6,162.66558914682852,257.0532461258311,176.59598984369265,262.0810997817367,17659.598984369266,0.0,0.0,0.0,176.59598984369265,262.0810997817367,17659.598984369266,0.0,0.0,0.0,-36234320.558914624,0.0,-36234320.558914624,-36234320.558914624,0.0,-36234320.558914624,0.4,0.37887116210894467,0.15626721309271638
2,1502,3,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,116.0,0.02,4.653118591807058,9.63268795882675,0.7494027289566798,1.0,811.6235118854685,4.045000000000001,1.1787599416335792,404.5000000000006,3.720000000000001,2.0299261070295143,372.00000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.28855473819825933,0.318492080299438,28.85547381982593,13.410162945439758,3.897920430412442,1341.0162945439754,13.410162945439758,3.897920430412442,1341.0162945439754,1160272.2603815147,752733.5459863652,116027226.0381514,0.0,0.67,46.585741876746994,25.964485383864936,54.70197699560167,29.055105171893363,5470.197699560168,0.0,0.0,0.0,54.70197699560167,29.055105171893363,5470.197699560168,0.0,0.0,0.0,-62906443.574187666,0.0,-62906443.574187666,-62906443.574187666,0.0,-62906443.574187666,0.33,0.3525114526280651,0.08597909931899239
3,2003,4,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,465.5,0.09,3.6856306688128657,144.75328598023663,135.6042841680664,-0.6782390457686196,2458.7519206295747,3.425000000000001,1.2173228823939848,342.50000000000034,3.360000000000001,1.6814874367654369,336.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.458751920629496,3.2909324027047444,245.8751920629499,564.462600022534,2123.3963138685654,56446.26000225333,564.462600022534,2123.3963138685654,56446.26000225333,909370.3396430702,880201.4428511569,90937033.96430698,0.0,0.46,1264.804883806669,4772.004835058238,1289.3924030129651,4796.9517384621295,128939.24030129648,0.0,0.0,0.0,1289.3924030129651,4796.9517384621295,128939.24030129648,0.0,0.0,0.0,-48540221.48838066,0.0,-48540221.48838066,-48540221.48838066,0.0,-48540221.48838066,0.45,0.35288164341492767,0.0948270341345178
4,2504,5,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,496.0,0.09,3.3732618354595703,91.65900355125017,108.17501794165125,0.18552318287388445,2769.9598333830977,2.9600000000000013,1.5477079827926195,295.99999999999994,3.3150000000000013,1.7933976134700302,331.50000000000017,0.13537853807940992,1.34699944642873,13.537853807940992,0.0,0.0,0.0,1.4761502352793432,2.832739052451885,147.61502352793434,400.18710537174104,1487.592130627231,40018.71053717411,400.18710537174104,1487.592130627231,40018.71053717411,773308.9939054045,1079823.422114344,77330899.39054047,0.07,0.59,1038.135560451577,3419.5510282888167,1065.8351587854077,3441.440704934515,106583.5158785408,0.0,0.0,0.0,1065.8351587854077,3441.440704934515,106583.5158785408,0.0,0.0,0.0,-41639179.556045145,0.0,-41639179.556045145,-41639179.556045145,0.0,-41639179.556045145,0.0,0.40302862308146487,0.17137086008855884
5,3005,6,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,149.0,0.03,4.567890936821759,57.651592252364814,65.7391448168126,-0.8204474666912868,1082.357554657087,4.460000000000002,1.4544414735560862,446.00000000000074,3.475000000000001,2.2509720122649233,347.50000000000034,18.76573515413226,117.8612864426711,1876.5735154132258,0.0,0.0,0.0,1.1338939427972816,1.18716220045733,113.38939427972807,99.95430043833045,477.33737157764324,9995.430043833043,99.95430043833045,477.33737157764324,9995.430043833043,1011192.2523233346,897348.8825638995,101119225.23233348,0.0,0.92,232.9668280090038,988.4322427409381,243.79040355557464,1000.4096788778644,24379.040355557474,0.0,0.0,0.0,243.79040355557464,1000.4096788778644,24379.040355557474,0.0,0.0,0.0,-58684872.68280095,0.0,-58684872.68280095,-58684872.68280095,0.0,-58684872.68280095,0.08,0.43274595259979054,0.19327438368895608
6,3506,7,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,322.5,0.06,5.230815574805195,159.89361644732693,185.59671944066403,-0.009140851166224206,3512.4931677054537,5.4300000000000015,1.6825872934264066,543.000000000001,5.36,2.6291443475016734,536.0000000000009,86.20863417095117,832.4587318698284,8620.863417095117,0.0,0.0,0.0,4.094632088233958,6.196493450592869,409.4632088233959,439.18608246459337,2161.2507126968117,43918.608246459306,439.18608246459337,2161.2507126968117,43918.608246459306,1083584.740497155,920020.1430958504,108358474.04971555,0.0,0.4,742.8404083850602,3481.3913147145254,777.9653400621147,3496.090340250813,77796.53400621147,0.0,0.0,0.0,777.9653400621147,3496.090340250813,77796.53400621147,0.0,0.0,0.0,-63074918.04083853,0.0,-63074918.04083853,-63074918.04083853,0.0,-63074918.04083853,0.17,0.36973593214109635,0.10823086225237502
7,4007,8,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,214.5,0.04,4.800668213310123,179.50968872025655,177.8589902798346,-0.24505881470730678,939.1593589181708,4.280000000000001,1.3973546436034052,428.0000000000006,4.270000000000001,2.085929049608351,427.0000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.9276728245816409,1.944270549806534,92.767282458164,309.41760461222435,1836.46620881808,30941.760461222333,309.41760461222435,1836.46620881808,30941.760461222333,1086645.1305524833,979582.6210402043,108664513.05524834,0.0,0.46,695.0983777140842,4127.8493750787975,704.489971303266,4146.698785650057,70448.99713032656,0.0,0.0,0.0,704.489971303266,4146.698785650057,70448.99713032656,0.0,0.0,0.0,-60478548.8377714,0.0,-60478548.8377714,-60478548.8377714,0.0,-60478548.8377714,0.54,0.3513006269252998,0.0857013663333805
8,4508,9,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,799.5,0.15,3.540669224946593,131.4236177709969,116.52971377621095,0.38391071099755436,4564.206425525349,3.445000000000001,1.6623702956922684,344.5000000000003,4.120000000000001,1.8853646862079494,412.00000000000057,3.1836293886050737,22.570820917521253,318.36293886050737,16.44821356649197,91.46388561977723,1644.8213566491968,4.1356424105882486,4.741514055653392,413.56424105882485,942.039795532515,2268.8420028635696,94203.9795532515,942.039795532515,2268.8420028635696,94203.9795532515,705789.8355536443,812390.5127410524,70578983.55536442,0.38,0.78,2147.746249282335,4956.7025409712405,2193.3883135375886,4983.014898450152,219338.8313537589,0.0,0.0,0.0,2193.3883135375886,4983.014898450152,219338.8313537589,0.0,0.0,0.0,-41190932.62492823,0.0,-41190932.62492823,-41190932.62492823,0.0,-41190932.62492823,0.04,0.3666872006794133,0.09181454627757434
9,5009,10,500,100,100,100,BA_4,eigenvector_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,367.0,0.06,4.725264848655743,83.01484571645908,75.34096573601907,-0.09091413045407983,1574.2360940556114,4.275000000000001,1.2356678356257396,427.5000000000006,4.435000000000001,2.038449165419633,443.5000000000008,0.0,0.0,0.0,0.0,0.0,0.0,1.574236094055613,1.8056086731755772,157.42360940556122,283.5324606689135,864.4121650994583,28353.24606689135,283.5324606689135,864.4121650994583,28353.24606689135,1055522.1653529583,922070.9986535208,105552216.53529581,0.01,0.47,636.1721130238187,1941.0397681722036,651.9144739643747,1957.9472121107005,65191.44739643745,0.0,0.0,0.0,651.9144739643747,1957.9472121107005,65191.44739643745,0.0,0.0,0.0,-57336445.21130234,0.0,-57336445.21130234,-57336445.21130234,0.0,-57336445.21130234,0.36,0.3502419545057062,0.08084705124296787
