,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,446.5,0.08,2.9261163385106883,75.58284504235233,105.44789705025731,0.27937716295795867,3812.8633461004347,3.4800000000000013,1.1513470371699401,348.00000000000034,2.245,1.6527174592167895,224.49999999999966,0.625,2.724311839712921,62.5,0.0,0.0,0.0,3.5457754098427325,3.7589200997258954,354.5775409842732,288.2006484319322,1311.0712605641002,28820.064843193217,288.2006484319322,1311.0712605641002,28820.064843193217,1120803.3110738043,991069.1621750485,112080331.10738043,0.05,0.21,811.9001459087406,2818.923368233895,850.0287793697448,2842.5480423857703,85002.87793697446,0.0,0.0,0.0,850.0287793697448,2842.5480423857703,85002.87793697446,0.0,0.0,0.0,-59639279.01459089,0.0,-59639279.01459089,-59639279.01459089,0.0,-59639279.01459089,0.0,0.4044587209738002,0.16630140420795836
1,1001,2,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,418.0,0.08,3.675512464958506,96.7689716315673,98.78803562058027,-0.5830239207419475,5114.626684766386,4.860000000000002,0.8957678270623477,486.00000000000085,4.270000000000001,1.822388542545195,427.00000000000057,0.4467467362941435,4.445073901810568,44.67467362941435,0.0,0.0,0.0,6.94393381793401,13.65014252491873,694.393381793401,325.18155042177835,1329.2245589299944,32518.155042177834,325.18155042177835,1329.2245589299944,32518.155042177834,1805294.124540675,896402.6784036789,180529412.4540675,0.52,0.78,839.7362777937689,3125.6500604556404,890.8825446414328,3145.65740855344,89088.25446414322,0.0,0.0,0.0,890.8825446414328,3145.65740855344,89088.25446414322,0.0,0.0,0.0,-97434840.62777941,0.0,-97434840.62777941,-97434840.62777941,0.0,-97434840.62777941,0.0,0.3567207330680307,0.09528661365107649
2,1502,3,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,791.5,0.15,3.832705449985667,155.3074247848143,153.15732104201794,0.019023216298172163,5876.884857301966,4.760000000000002,0.7838367176906169,476.00000000000085,3.6450000000000014,1.9340307650086643,364.50000000000057,0.0,0.0,0.0,13.397531327802247,61.60076541954723,1339.7531327802246,7.7532049066323365,8.443368803817622,775.3204906632336,1013.8986674993503,2956.5436501885806,101389.86674993501,1013.8986674993503,2956.5436501885806,101389.86674993501,1536990.0018944335,1127348.2496556486,153699000.18944332,0.42,0.58,1693.2919766247478,4655.876032643482,1752.060825197767,4679.903010372421,175206.0825197767,0.0,0.0,0.0,1752.060825197767,4679.903010372421,175206.0825197767,0.0,0.0,0.0,-81832084.19766249,0.0,-81832084.19766249,-81832084.19766249,0.0,-81832084.19766249,0.04,0.36191364506114665,0.10831764911595389
3,2003,4,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,685.9500001371864,0.14,4.984071575568589,268.6403178405989,210.0949686329551,0.07749022406930037,7922.895631763913,5.710000000000001,0.5940538696111657,571.000000000001,4.170000000000002,2.1575680754034154,417.0000000000008,0.0,0.0,0.0,0.0,0.0,0.0,7.553881943358875,9.206426619149457,755.3881943358876,1559.137741575215,4450.730549420416,155913.77415752152,1559.137741575215,4450.730549420416,155913.77415752152,3191510.8419265775,1938288.3632780374,319151084.1926578,0.01,0.24,3024.6569246291115,7859.170164543716,3103.8858809467506,7878.169437940648,310388.58809467504,0.0,0.0,0.0,3103.8858809467506,7878.169437940648,310388.58809467504,0.0,0.0,0.0,-178023661.6924629,0.0,-178023661.6924629,-178023661.6924629,0.0,-178023661.6924629,0.12,0.3537002915996012,0.0836024745155692
4,2504,5,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,573.0,0.11,4.1596696745282875,181.8976469644505,174.0015127900775,0.005080723583876099,9768.503213361533,4.5950000000000015,1.0331868175697945,459.5000000000008,4.090000000000001,1.7691523393987303,409.00000000000057,10.650880607862648,69.77052916349649,1065.0880607862648,21.08874360356804,138.14564774372303,2108.874360356804,9.768503213361534,3.8393523649475743,976.8503213361533,845.0880802848724,2980.1224763996915,84508.80802848727,845.0880802848724,2980.1224763996915,84508.80802848727,2097678.472284468,1466106.54143748,209767847.22844684,0.49,0.6,1829.2865321392223,5767.808585694272,1926.9715642728377,5780.295454479925,192697.1564272838,0.0,0.0,0.0,1926.9715642728377,5780.295454479925,192697.1564272838,0.0,0.0,0.0,-112133341.6532139,0.0,-112133341.6532139,-112133341.6532139,0.0,-112133341.6532139,0.0,0.3537415402214171,0.08765325621793989
5,3005,6,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,316.0,0.07,3.757761748912494,183.75523911336253,158.53917171700095,0.375033590869171,4254.042285787987,3.6700000000000013,1.1662332528272377,367.0000000000004,2.810000000000001,1.6296932226649283,280.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.018965816020736,5.914225478751469,401.8965816020736,552.6442272529349,2307.677941317702,55264.42272529349,552.6442272529349,2307.677941317702,55264.42272529349,1510985.3319072677,1131828.3922169446,151098533.19072676,0.12,0.19,1000.8455119612272,3711.9932830628786,1043.385934819107,3732.3704472764616,104338.59348191076,0.0,0.0,0.0,1043.385934819107,3732.3704472764616,104338.59348191076,0.0,0.0,0.0,-79834255.55119613,0.0,-79834255.55119613,-79834255.55119613,0.0,-79834255.55119613,0.0,0.38256120240631286,0.1427016514413679
6,3506,7,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,621.0,0.12,4.190303905143826,172.8876921008554,163.6264066321761,-0.14633415454364268,7316.4051370801535,4.3900000000000015,1.239314326553195,439.0000000000007,4.325000000000002,1.679843742733234,432.50000000000074,0.0,0.0,0.0,0.0,0.0,0.0,8.177859675520667,7.164709159508661,817.7859675520663,884.818152793834,2923.2373216101037,88481.81527938343,884.818152793834,2923.2373216101037,88481.81527938343,2315389.7127046515,1532660.3934437118,231538971.27046522,0.28,0.58,1955.0620291354705,6152.829448981171,2028.2260805062722,6173.41545965146,202822.60805062723,0.0,0.0,0.0,2028.2260805062722,6173.41545965146,202822.60805062723,0.0,0.0,0.0,-122025233.20291355,0.0,-122025233.20291355,-122025233.20291355,0.0,-122025233.20291355,0.08,0.3484307038277311,0.08120720568952783
7,4007,8,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,507.5,0.11,4.295137030751651,238.02094546774143,148.21219928378514,-0.5930903122632618,7092.181436132718,5.2650000000000015,1.2268964911515554,526.5000000000009,3.7100000000000013,2.159374909551373,371.00000000000034,18.005244593050243,79.9091037935008,1800.5244593050243,0.0,0.0,0.0,7.2271814361327165,4.7826192926089535,722.7181436132714,1098.5924686083795,3259.5694072617766,109859.24686083796,1098.5924686083795,3259.5694072617766,109859.24686083796,2762124.627658793,1757674.7841526626,276212462.7658794,0.3,0.4,2264.5632888648074,6731.711729680455,2335.485103226134,6753.7875474177,233548.51032261335,0.0,0.0,0.0,2335.485103226134,6753.7875474177,233548.51032261335,0.0,0.0,0.0,-146261950.3288864,0.0,-146261950.3288864,-146261950.3288864,0.0,-146261950.3288864,0.01,0.37046577933128716,0.11709038714341687
8,4508,9,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,652.5,0.13,3.708370241246066,183.9006937118406,171.1263844220914,0.25106780765005254,8369.184954021302,4.5950000000000015,1.456871648430293,459.5000000000008,3.8150000000000013,2.1520397301165235,381.50000000000045,0.6136363636363636,2.428842699621392,61.36363636363636,0.1,0.3958114029012639,10.0,10.226930250137556,9.723633230093,1022.6930250137559,983.9909302303174,3216.1286456443804,98399.09302303172,983.9909302303174,3216.1286456443804,98399.09302303172,2157266.693469687,1343980.0722396795,215726669.3469686,0.6,0.74,2358.85675012207,6522.406348002179,2442.548599662283,6542.5311688981,244254.8599662283,0.0,0.0,0.0,2442.548599662283,6542.5311688981,244254.8599662283,0.0,0.0,0.0,-116505484.67501228,0.0,-116505484.67501228,-116505484.67501228,0.0,-116505484.67501228,0.0,0.3675335415325738,0.11085131905730039
9,5009,10,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,793.0,0.16,3.2171494470010753,160.71353274700567,131.50997989225644,-0.03141718694904255,7243.770597393549,3.810000000000002,0.9929249719893241,381.00000000000045,2.915000000000001,1.6728045313185873,291.49999999999994,31.515635707585478,304.13062888171595,3151.563570758548,5.042566941805125,50.172907578652485,504.25669418051257,5.292735397227104,6.697929532001393,529.2735397227104,1082.0018154958566,2884.0503026294587,108200.18154958563,1082.0018154958566,2884.0503026294587,108200.18154958563,1494843.5867467471,735641.7119533953,149484358.6746747,0.21,0.5,2369.537437270125,4991.518391992609,2441.9751432440603,5019.680700801354,244197.514324406,0.0,0.0,0.0,2441.9751432440603,5019.680700801354,244197.514324406,0.0,0.0,0.0,-77276574.74372701,0.0,-77276574.74372701,-77276574.74372701,0.0,-77276574.74372701,0.09,0.34627813436181765,0.08196338955647281
