,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,740.5,0.17,0.08001018046614122,3.6614537684477413,7.940602307893051,0.7275249647304574,2804.669350996215,0.13,0.11874342087037916,12.999999999999977,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.0656748216303864,4.241453214481891,206.56748216303865,0.0,0.0,0.0,2.8205818006365564,3.9368623164787926,282.05818006365564,23.88807952547575,128.06644356312407,2388.8079525475746,23.88807952547575,128.06644356312407,2388.8079525475746,16275.139622263845,60048.32392543856,1627513.9622263846,0.0,0.94,39.00913587736731,267.757114818823,67.05582938732948,283.7598164923648,6705.582938732943,0.0,0.0,0.0,67.05582938732948,283.7598164923648,6705.582938732943,0.0,0.0,0.0,-989500.9135877405,0.0,-989500.9135877405,-989500.9135877405,0.0,-989500.9135877405,0.05,0.5936842079048269,0.34580865813209216
1,1001,2,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,1024.0,0.2,0.06046993567327259,1.9535941077595183,3.37882851942174,0.9928058457829926,3599.3955683697695,0.115,0.0852936105461599,11.499999999999979,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.20215834857561,3.8699851772199416,220.21583485756094,0.0,0.0,0.0,3.625745335851488,3.4339997084457208,362.5745335851488,16.153753912582882,50.93089481554517,1615.3753912582888,16.153753912582882,50.93089481554517,1615.3753912582888,12526.95648662108,65388.27298706364,1252695.648662108,0.0,0.97,22.151924486259976,108.03448063632898,58.14588016995767,120.91715794888634,5814.588016995767,0.0,0.0,0.0,58.14588016995767,120.91715794888634,5814.588016995767,0.0,0.0,0.0,-878135.1924486279,0.0,-878135.1924486279,-878135.1924486279,0.0,-878135.1924486279,0.03,0.8119794650442909,0.20566363487241576
2,1502,3,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,873.0,0.16,0.06557792470619818,1.9572708886876913,2.462648192775828,0.9850129581787891,3404.360182765135,0.12,0.09797958971132711,11.999999999999979,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.389123352306668,3.8919491893245945,238.91233523066688,0.06666666666666667,0.46666666666666673,6.666666666666667,3.4115207896202264,3.77007055754698,341.15207896202264,13.288042770775647,32.033022860049,1328.8042770775648,13.288042770775647,32.033022860049,1328.8042770775648,9336.559762796323,44012.6276818767,933655.9762796322,0.0,0.96,16.434977107036183,74.17645357109312,50.47857893468753,88.67902303080446,5047.857893468753,0.0,0.0,0.0,50.47857893468753,88.67902303080446,5047.857893468753,0.0,0.0,0.0,-748885.4977107049,0.0,-748885.4977107049,-748885.4977107049,0.0,-748885.4977107049,0.04,0.8571520421078355,0.20253164219646197
3,2003,4,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,866.5,0.17,0.06232761718940072,1.8287631690004627,1.9225711227908175,0.9719344546456207,3302.4382671967805,0.125,0.10897247358851683,12.499999999999979,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.282406556410392,4.0942742449829534,228.24065564103915,0.0,0.0,0.0,3.293156096820184,3.7306052038381936,329.3156096820184,12.680253634087736,25.125464255378443,1268.0253634087733,12.680253634087736,25.125464255378443,1268.0253634087733,10242.137422693908,38226.352437591384,1024213.7422693907,0.0,0.95,15.813187648327538,53.568662336220925,48.83757032029534,71.76346365085742,4883.7570320295345,0.0,0.0,0.0,48.83757032029534,71.76346365085742,4883.7570320295345,0.0,0.0,0.0,-764671.3187648316,0.0,-764671.3187648316,-764671.3187648316,0.0,-764671.3187648316,0.05,0.7811292033800712,0.2546664604300725
4,2504,5,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,967.1936709301026,0.2,0.05420941988354348,1.9130520353504559,3.1548507790417144,0.9894051551164256,3653.2120183024313,0.115,0.0852936105461599,11.499999999999979,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,1.8615953435385797,3.7546256669638245,186.15953435385808,0.003734607162551642,0.016278775215385784,0.3734607162551642,3.655929085840136,3.729091113073867,365.5929085840136,15.313376424061117,48.045900828508124,1531.3376424061116,15.313376424061117,48.045900828508124,1531.3376424061116,11714.716192990863,57341.72881280788,1171471.6192990865,0.0,0.97,22.402399271245628,106.85140269918904,58.934519454269946,121.25033267124947,5893.451945426994,0.0,0.0,0.0,58.934519454269946,121.25033267124947,5893.451945426994,0.0,0.0,0.0,-808901.239927124,0.0,-808901.239927124,-808901.239927124,0.0,-808901.239927124,0.03,0.779399079274404,0.2650320392322881
5,3005,6,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,692.5,0.16,0.07177407818368604,2.6887245341493067,5.682803338152395,0.913571686397463,2626.2003433611007,0.14,0.13564659966250533,13.999999999999977,0.11,0.06999999999999999,10.999999999999979,1.300826695670593,2.9852067792411243,130.0826695670593,0.0,0.0,0.0,2.6345426693185288,3.729331954150357,263.4542669318528,18.08653638545735,83.77792363290895,1808.6536385457348,18.08653638545735,83.77792363290895,1808.6536385457348,10838.147373300335,46341.31615373191,1083814.7373300334,0.0,0.92,31.51253127984255,186.05046710340994,57.77453471345355,200.2980796953709,5777.453471345355,0.0,0.0,0.0,57.77453471345355,200.2980796953709,5777.453471345355,0.0,0.0,0.0,-714495.253127987,0.0,-714495.253127987,-714495.253127987,0.0,-714495.253127987,0.08,0.6791092943866939,0.3321186885610628
6,3506,7,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,810.9593546833204,0.17,0.06158989601430949,3.7527232723103863,9.53385343619172,0.9828718465392686,2887.58753842019,0.105,0.049749371855330994,10.49999999999998,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.0204007180785233,4.504472285672462,202.0400718078523,0.09201696930548678,0.3673925065503692,9.201696930548678,2.866003487820114,3.6182873641578075,286.60034878201145,22.89955709351256,153.83437367370286,2289.9557093512553,22.89955709351256,153.83437367370286,2289.9557093512553,19039.455295152453,160596.72652776074,1903945.5295152457,0.0,0.99,40.14382690577472,339.46420860497483,69.0197022899766,354.24566327469563,6901.970228997659,0.0,0.0,0.0,69.0197022899766,354.24566327469563,6901.970228997659,0.0,0.0,0.0,-1099972.382690577,0.0,-1099972.382690577,-1099972.382690577,0.0,-1099972.382690577,0.01,0.7228771275835788,0.27910198897217825
7,4007,8,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,732.959342380058,0.18,0.05905869549054851,1.9622426327295723,2.690364607457091,0.979103093471327,2807.232089194279,0.12,0.09797958971132713,11.999999999999979,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,2.239275181159247,3.996153415562017,223.92751811592476,0.11378948682661781,0.7965264077863244,11.37894868266178,2.8190031766604102,4.047586018417494,281.9003176660409,14.185750617800272,36.98954260111517,1418.5750617800275,14.185750617800272,36.98954260111517,1418.5750617800275,10284.844443599404,43546.38185532758,1028484.4443599404,0.0,0.96,19.058427549336262,78.01088606791605,47.13074844127905,96.37489663935804,4713.074844127907,0.0,0.0,0.0,47.13074844127905,96.37489663935804,4713.074844127907,0.0,0.0,0.0,-748621.8427549321,0.0,-748621.8427549321,-748621.8427549321,0.0,-748621.8427549321,0.04,0.6899243376082432,0.34778023545374825
8,4508,9,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,1040.0,0.2,0.1314360698911227,7.835250927568497,13.067007889519113,0.7483432702910968,4203.137769540261,0.145,0.14309088021254182,14.499999999999977,0.125,0.10897247358851683,12.49999999999998,2.038302372605677,3.6898660425534295,203.83023726056769,0.3635024728209364,1.1087264859920285,36.35024728209364,4.1145934376293765,4.266078154592169,411.4593437629376,60.856156667106234,242.35869956751884,6085.615666710623,60.856156667106234,242.35869956751884,6085.615666710623,34145.43084323532,113249.08538202792,3414543.084323532,0.01,0.91,118.48756827718854,532.1272131595866,160.51894597259115,553.9373846326897,16051.89459725912,0.0,0.0,0.0,160.51894597259115,553.9373846326897,16051.89459725912,0.0,0.0,0.0,-1934056.7568277223,0.0,-1934056.7568277223,-1934056.7568277223,0.0,-1934056.7568277223,0.09,0.7651984211712705,0.267473376856501
9,5009,10,500,100,100,100,BA_4,degree_centrality,exponential_[0.1],100,0.85,50,0.1,75,0,0.5,0.95,0.1,1016.5,0.19,0.09144769616127761,3.6932395650840255,9.469097964784677,0.9952524796957642,4060.359266940483,0.12,0.13999999999999999,11.999999999999977,0.09999999999999998,2.7755575615628914e-17,9.99999999999998,3.0224077983411854,4.410172071697604,302.24077983411865,0.13797886390573627,0.5689848024301029,13.79788639057362,4.053370125444397,3.673083015905062,405.33701254443974,31.17737519477498,150.67094216967422,3117.7375194774977,31.17737519477498,150.67094216967422,3117.7375194774977,22743.05683380132,143502.7942359973,2274305.6833801325,0.0,0.98,46.70177539924722,292.62398553567283,87.30536806865206,303.99304267173665,8730.536806865208,0.0,0.0,0.0,87.30536806865206,303.99304267173665,8730.536806865208,0.0,0.0,0.0,-1422480.17753993,0.0,-1422480.17753993,-1422480.17753993,0.0,-1422480.17753993,0.02,0.7840336756175097,0.28537571673231044
