,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1913.0,0.39,8.6983125097192,550.2680844121919,499.0562180721315,0.8288519596870492,7830.952380952382,14.194999999999993,2.558998827666789,1419.4999999999986,2.17,1.9824479816630751,216.99999999999963,2339.174871572794,3944.0444092268535,233917.48715727942,216.5368590536121,536.253305264516,21653.68590536121,7.830952380952381,3.6870252682614186,783.0952380952382,9180.471411234845,14555.64923364003,918047.1411234846,9180.471411234845,14555.64923364003,918047.1411234846,3622262.939379199,3974705.949314401,362226293.9379198,0.0,0.96,14799.435457844145,25569.077258287027,14877.74498165367,25596.517918381534,1487774.4981653665,0.0,0.0,0.0,14877.74498165367,25596.517918381534,1487774.4981653665,0.0,0.0,0.0,-240740131.54578432,0.0,-240740131.54578432,-240740131.54578432,0.0,-240740131.54578432,0.02,0.3991271723364684,0.026776235721664834
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1224.5,0.23,6.1460843235355345,266.88996409773733,300.63310710593413,0.6654433933496922,5377.259339080457,13.699999999999994,3.1456318920051665,1369.9999999999989,4.145000000000001,5.627652707834768,414.50000000000057,694.3122281951447,1285.0584517690147,69431.22281951449,47.84763621831737,252.37296222653669,4784.7636218317375,5.30132183908044,4.158367339375516,530.1321839080438,2903.7020865276154,6343.501213261954,290370.2086527614,2903.7020865276154,6343.501213261954,290370.2086527614,1814110.4596565699,2535216.4840833065,181411045.96565703,0.0,0.97,5031.734717245208,13717.69313699532,5085.507310636013,13742.160718741423,508550.73106360144,0.0,0.0,0.0,5085.507310636013,13742.160718741423,508550.73106360144,0.0,0.0,0.0,-121918570.47172427,0.0,-121918570.47172427,-121918570.47172427,0.0,-121918570.47172427,0.01,0.40087266115477305,0.02734689876074492
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1493.0,0.29,4.932440517234748,243.17207010664455,344.1430645142809,0.6082920580560273,6123.835947500186,13.234999999999996,3.0115237007202857,1323.4999999999993,8.8,4.034228550788861,880.0000000000015,325.4893604141139,854.5751423755445,32548.93604141141,655.4119189734677,2462.8478730111665,65541.19189734677,6.378181652833605,3.424582095162658,637.8181652833606,3086.151523670764,7842.942208755944,308615.1523670763,3086.151523670764,7842.942208755944,308615.1523670763,1473538.7768964658,1694846.460710693,147353877.6896466,0.0,0.81,4546.3007060712025,12936.726391468632,4607.539065546205,12956.553034472241,460753.9065546206,0.0,0.0,0.0,4607.539065546205,12956.553034472241,460753.9065546206,0.0,0.0,0.0,-97989692.07060708,0.0,-97989692.07060708,-97989692.07060708,0.0,-97989692.07060708,0.19,0.4005780917714604,0.036146913505108694
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1598.0,0.3,6.444254953829371,324.564385988643,428.166967990467,0.693631405434898,6609.240847652432,13.169999999999993,4.23911547377516,1316.9999999999993,4.660000000000001,2.675144855890985,466.00000000000074,1014.4391282000172,3336.9824264352333,101443.91282000179,452.50772468893416,701.1070179038443,45250.77246889342,6.946002262153705,3.6497365887493802,694.6002262153705,4349.679940073747,9993.024043272157,434967.99400737474,4349.679940073747,9993.024043272157,434967.99400737474,1692667.2464426032,2409808.406788356,169266724.64426035,0.0,0.86,6315.775547049244,14957.306434600096,6381.867955525767,14977.67552585223,638186.7955525767,0.0,0.0,0.0,6381.867955525767,14977.67552585223,638186.7955525767,0.0,0.0,0.0,-112921584.55470496,0.0,-112921584.55470496,-112921584.55470496,0.0,-112921584.55470496,0.13,0.4008074310641972,0.03173558529850784
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1742.5,0.33,8.746311855384818,403.99431603128727,350.64357539694976,0.6563683840132104,7144.285714285715,14.299999999999994,3.3090784215548603,1429.9999999999986,2.2300000000000004,1.4553693689232297,222.9999999999996,1675.5192317016313,2780.9891758984336,167551.92317016306,477.3865989140686,899.6095676442371,47738.65989140684,7.144285714285714,2.9779629388738407,714.4285714285714,6386.830087585662,9134.255604617081,638683.0087585663,6386.830087585662,9134.255604617081,638683.0087585663,3881486.0413578423,4489970.336175092,388148604.1357841,0.0,0.97,9614.935219391014,13791.544383103743,9686.37807653387,13814.140487200078,968637.8076533873,0.0,0.0,0.0,9686.37807653387,13814.140487200078,968637.8076533873,0.0,0.0,0.0,-258522503.52193928,0.0,-258522503.52193928,-258522503.52193928,0.0,-258522503.52193928,0.03,0.39906344263828164,0.026415963877931783
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1816.5,0.36,7.194771849891061,383.2495804682841,359.7514975629441,0.667203263124378,7434.544084914759,14.424999999999994,3.246055298358302,1442.4999999999986,2.56,3.847518680916312,255.9999999999996,1898.4899289191878,3136.1410134171715,189848.99289191875,244.45002075203126,920.6038209928149,24445.002075203123,7.386876267187858,3.4197888586163554,738.6876267187856,6240.294981445683,9731.73085616631,624029.4981445683,6240.294981445683,9731.73085616631,624029.4981445683,2767547.235155293,3242448.6975633306,276754723.5155292,0.0,0.99,9207.081536360298,14461.985459667578,9281.426977209445,14486.704139518619,928142.6977209449,0.0,0.0,0.0,9281.426977209445,14486.704139518619,928142.6977209449,0.0,0.0,0.0,-185619359.15363577,0.0,-185619359.15363577,-185619359.15363577,0.0,-185619359.15363577,0.0,0.3995786551882077,0.026281687000068457
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1927.0,0.39,8.552740293311269,488.825375694246,401.9786304300159,0.5601350191788022,8258.806419118186,14.544999999999993,2.2021523562187975,1454.4999999999982,4.025000000000001,3.1963846764743447,402.50000000000045,1590.878907395417,3585.3118398489637,159087.89073954165,1668.6246193728025,2715.398962670989,166862.46193728028,8.569165490182717,4.866558437285189,856.9165490182718,8353.537339308397,11970.842148903952,835353.73393084,8353.537339308397,11970.842148903952,835353.73393084,4511937.319963714,4846435.19827447,451193731.9963716,0.01,0.92,11854.874933882385,17333.98181670513,11937.46299807357,17358.67017234274,1193746.2998073567,0.0,0.0,0.0,11937.46299807357,17358.67017234274,1193746.2998073567,0.0,0.0,0.0,-301226998.49338794,0.0,-301226998.49338794,-301226998.49338794,0.0,-301226998.49338794,0.08,0.39940332533782213,0.027776585465115387
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1637.5,0.32,6.556916994396055,348.23845843123513,424.4132562283284,0.6782675108909,7450.989923229759,12.844999999999995,3.985282298658403,1284.499999999999,4.860000000000001,2.9978992644850493,486.000000000001,790.2908114961833,1755.519469495684,79029.08114961835,725.3783430866808,2216.0593319921363,72537.8343086681,6.760538678089033,6.721747109989193,676.0538678089034,4914.71193555389,10375.285193966405,491471.1935553887,4914.71193555389,10375.285193966405,491471.1935553887,1881787.7472324702,2570956.967378058,188178774.72324705,0.04,0.84,7659.919050515306,14936.605075272531,7734.428949747605,14960.34047432108,773442.8949747605,0.0,0.0,0.0,7734.428949747605,14960.34047432108,773442.8949747605,0.0,0.0,0.0,-122470465.90505143,0.0,-122470465.90505143,-122470465.90505143,0.0,-122470465.90505143,0.13,0.4004040859541029,0.03126776370577684
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1688.0,0.36,6.267203167898938,421.8424681754088,406.69472713990825,0.6795221335872161,6898.927807179299,12.009999999999996,4.922590781285807,1201.0000000000005,6.075,3.4010108791357907,607.5000000000011,651.424671048542,1849.085847007338,65142.467104854215,1634.44065054345,3784.2199263780303,163444.06505434494,6.8266881253484755,4.688954046364338,682.6688125348476,6219.925926804991,11520.74586911247,621992.5926804993,6219.925926804991,11520.74586911247,621992.5926804993,2387120.124356231,2750820.87085658,238712012.43562317,0.01,0.81,9026.035393214386,17693.69612921915,9095.024671286177,17724.987907374656,909502.4671286178,0.0,0.0,0.0,9095.024671286177,17724.987907374656,909502.4671286178,0.0,0.0,0.0,-156491674.5393212,0.0,-156491674.5393212,-156491674.5393212,0.0,-156491674.5393212,0.11,0.4054110290003144,0.03892114985379259
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 4]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1828.0,0.37,8.564661467859718,458.63555443909246,401.26300416551834,0.5660472207660316,7806.666542774624,14.139999999999993,2.925474320516248,1413.9999999999986,8.135,4.675069518199703,813.5000000000015,1034.0519045754302,1983.258852227583,103405.19045754298,1116.5354265954015,2370.4638836386875,111653.54265954015,8.446367136090817,5.602365850085576,844.6367136090815,7573.262426383293,11314.52562750635,757326.2426383295,7573.262426383293,11314.52562750635,757326.2426383295,2930720.8515662914,3497512.1249443055,293072085.156629,0.03,0.76,11396.257429539539,17988.397583678565,11474.324094967284,18013.382845873217,1147432.4094967283,0.0,0.0,0.0,11474.324094967284,18013.382845873217,1147432.4094967283,0.0,0.0,0.0,-193442776.74295372,0.0,-193442776.74295372,-193442776.74295372,0.0,-193442776.74295372,0.23,0.40560771654181693,0.06728100196461805
