,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,185.5,0.04,1.0,38.556184668989545,40.505617235667174,,937.5939849624007,1.0949999999999995,0.049749371855330994,109.49999999999982,0.18000000000000008,0.19646882704388502,17.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.9375939849624451,1.9326732384371896,93.75939849624432,64.42951127819546,407.06970774993164,6442.951127819532,64.42951127819546,407.06970774993164,6442.951127819532,165476.75899073403,464682.2362549655,16547675.899073409,0.0,0.01,139.36971704393537,912.5159750776417,148.74565689355939,930.909605748301,14874.565689355928,0.0,0.0,0.0,148.74565689355939,930.909605748301,14874.565689355928,0.0,0.0,0.0,-9189996.971704388,0.0,-9189996.971704388,-9189996.971704388,0.0,-9189996.971704388,0.41,0.7351125875390073,0.2084526817041825
1,1001,2,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,489.5,0.1,1.0,59.2063492063492,42.67913871354845,,2042.7368421052627,1.0199999999999996,0.24207436873820412,101.99999999999986,0.27500000000000013,0.33447720400649134,27.500000000000057,0.0,0.0,0.0,0.0,0.0,0.0,2.0427368421052723,3.4391788042562426,204.27368421052705,236.76236842105263,822.6092282126377,23676.236842105292,236.76236842105263,822.6092282126377,23676.236842105292,333859.72380914015,848501.2359228865,33385972.38091402,0.0,0.11,527.3408682278583,1844.144187244228,547.7682366489109,1876.6940393884297,54776.82366489108,0.0,0.0,0.0,547.7682366489109,1876.6940393884297,54776.82366489108,0.0,0.0,0.0,-16399920.086822752,0.0,-16399920.086822752,-16399920.086822752,0.0,-16399920.086822752,0.09,0.5364607303387874,0.2425645223415802
2,1502,3,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,363.0,0.07,1.0,42.15986394557823,39.41015277320888,,1585.05942275042,0.9999999999999996,0.2645751311064591,99.99999999999986,0.32500000000000007,0.3699662146737186,32.50000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.5850594227504322,2.6312864945113645,158.50594227504303,126.75382003395589,546.7753020591348,12675.382003395633,126.75382003395589,546.7753020591348,12675.382003395633,209444.83049358253,560302.6761592985,20944483.049358256,0.0,0.14,276.6913761616438,1226.286388232541,292.541970389148,1249.9251413299853,29254.197038914797,0.0,0.0,0.0,292.541970389148,1249.9251413299853,29254.197038914797,0.0,0.0,0.0,-10740042.13761613,0.0,-10740042.13761613,-10740042.13761613,0.0,-10740042.13761613,0.3,0.6913722019449405,0.24902691266362637
3,2003,4,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,281.0,0.08,1.0,75.85891812865498,41.82701253716027,,1480.3144224197015,1.0499999999999996,0.20615528128088306,104.99999999999983,0.21000000000000008,0.27,21.00000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.4803144224196827,3.4456911973806292,148.0314422419682,228.07100136705398,885.0928632059705,22807.10013670541,228.07100136705398,885.0928632059705,22807.10013670541,317551.3262345661,917284.6838389892,31755132.623456623,0.0,0.06,509.68047554797005,1984.1245834214021,524.4836197721671,2018.3211123054505,52448.361977216715,0.0,0.0,0.0,524.4836197721671,2018.3211123054505,52448.361977216715,0.0,0.0,0.0,-15614694.047554769,0.0,-15614694.047554769,-15614694.047554769,0.0,-15614694.047554769,0.18,0.49530795532837224,0.29467941817292403
4,2504,5,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,401.5,0.09,1.0,63.473225547528955,42.128558342868224,,2115.5275238862328,1.0249999999999995,0.23848480035423644,102.49999999999983,0.26500000000000007,0.32446109165815246,26.500000000000036,0.0,0.0,0.0,0.0,0.0,0.0,1.6292307692307666,4.244155466203115,162.92307692307654,226.13198056164364,817.1437983359892,22613.198056164358,226.13198056164364,817.1437983359892,22613.198056164358,317943.24861350254,788206.5764375798,31794324.861350246,0.0,0.1,475.48060386078646,1725.2179799278683,496.63587909964866,1756.8303904152974,49663.587909964845,0.0,0.0,0.0,496.63587909964866,1756.8303904152974,49663.587909964845,0.0,0.0,0.0,-15854008.060386075,0.0,-15854008.060386075,-15854008.060386075,0.0,-15854008.060386075,0.01,0.6703452047843046,0.2541970344612196
5,3005,6,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,270.0,0.06,1.0,50.74284811126916,39.91942439747238,,1286.9328493647893,1.0699999999999996,0.15524174696260026,106.99999999999983,0.20500000000000007,0.24794152536434877,20.500000000000014,0.0,0.0,0.0,0.0,0.0,0.0,1.2869328493648309,2.6882913322139586,128.69328493648317,126.65812159709618,568.9173879102846,12665.812159709634,126.65812159709618,568.9173879102846,12665.812159709634,230740.22065965875,585061.4270261974,23074022.06596587,0.0,0.04,278.2678175991813,1275.4407604906805,291.1371460928291,1300.9991260436827,29113.71460928292,0.0,0.0,0.0,291.1371460928291,1300.9991260436827,29113.71460928292,0.0,0.0,0.0,-12168587.781759907,0.0,-12168587.781759907,-12168587.781759907,0.0,-12168587.781759907,0.57,0.7202842572122949,0.223197424067662
6,3506,7,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,320.5,0.06,1.0,36.91378066378066,34.434445139475294,,1393.0561698363451,1.0599999999999996,0.18275666882497066,105.99999999999984,0.23500000000000007,0.2725344014982329,23.50000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.393056169836272,2.413188843205607,139.30561698362732,99.99463732861568,438.51073290408164,9999.463732861568,99.99463732861568,438.51073290408164,9999.463732861568,197494.8762667717,449247.15092435386,19749487.626677155,0.0,0.05,217.53796698138194,982.9313465690901,231.46852867974548,1004.9063585320554,23146.852867974547,0.0,0.0,0.0,231.46852867974548,1004.9063585320554,23146.852867974547,0.0,0.0,0.0,-10659219.79669815,0.0,-10659219.79669815,-10659219.79669815,0.0,-10659219.79669815,0.06,0.708059220051851,0.23934508906867746
7,4007,8,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,187.0,0.05,1.0,51.904761904761905,42.6622552991621,,1073.3936651583858,1.0699999999999996,0.1552417469626003,106.99999999999983,0.19000000000000006,0.23853720883753124,19.00000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.073393665158725,2.468099668213569,107.33936651587234,105.30984162895929,546.1024506962516,10530.984162895938,105.30984162895929,546.1024506962516,10530.984162895938,189245.12482158013,565396.231316946,18924512.482158005,0.0,0.04,234.62967936890556,1223.8003135539013,245.36361602048942,1247.0113535572661,24536.36160204894,0.0,0.0,0.0,245.36361602048942,1247.0113535572661,24536.36160204894,0.0,0.0,0.0,-9817981.967936898,0.0,-9817981.967936898,-9817981.967936898,0.0,-9817981.967936898,0.12,0.43367431060263234,0.34671012967307696
8,4508,9,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,151.0,0.05,1.0,80.20833333333334,39.583333333333336,,896.9072164948573,1.0749999999999995,0.14790199457749037,107.49999999999983,0.1700000000000001,0.21236760581595301,16.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.8969072164952441,2.87878175955953,89.6907216495246,149.65206185567007,731.0906176881597,14965.206185566985,149.65206185567007,731.0906176881597,14965.206185566985,248053.58784104235,754233.7379815361,24805358.78410423,0.0,0.03,335.0378535838115,1638.6848464811505,344.0069257487601,1667.4726635309821,34400.692574876,0.0,0.0,0.0,344.0069257487601,1667.4726635309821,34400.692574876,0.0,0.0,0.0,-12647553.785358382,0.0,-12647553.785358382,-12647553.785358382,0.0,-12647553.785358382,0.96,0.3459531735257616,0.38433995115101177
9,5009,10,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,378.0,0.08,1.0,59.41457586618877,42.83045685471356,,1634.5238095238099,1.0049999999999997,0.28013389655662885,100.49999999999986,0.26000000000000006,0.33075670817082464,26.000000000000043,0.0,0.0,0.0,0.0,0.0,0.0,1.6345238095238102,3.166839191505089,163.4523809523809,189.32589285714283,744.7580599743133,18932.58928571427,189.32589285714283,744.7580599743133,18932.58928571427,279305.609414518,769729.8158192618,27930560.9414518,0.0,0.11,421.8402114486025,1669.3922820610544,438.1854495438406,1699.4964872838493,43818.54495438403,0.0,0.0,0.0,438.1854495438406,1699.4964872838493,43818.54495438403,0.0,0.0,0.0,-13983709.021144865,0.0,-13983709.021144865,-13983709.021144865,0.0,-13983709.021144865,0.62,0.5436611504247366,0.2317644371372699
10,5510,11,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,305.0,0.06,1.0,48.0162795992714,40.39427671174261,,1311.0703812316845,1.0499999999999996,0.19364916731037085,104.99999999999983,0.2700000000000001,0.30182776545573137,27.000000000000046,0.0,0.0,0.0,0.0,0.0,0.0,1.3110703812319706,2.6221893990637475,131.10703812319719,120.59356671554252,553.0933197205526,12059.356671554264,120.59356671554252,553.0933197205526,12059.356671554264,221910.80330310453,556797.732381693,22191080.33031045,0.0,0.07,264.0436494257165,1240.2050125298438,277.1543532380334,1264.6231586575932,27715.43532380334,0.0,0.0,0.0,277.1543532380334,1264.6231586575932,27715.43532380334,0.0,0.0,0.0,-11701691.364942588,0.0,-11701691.364942588,-11701691.364942588,0.0,-11701691.364942588,0.61,0.6893485948219644,0.23472836421118096
11,6011,12,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,309.5,0.06,1.0,56.48809523809524,44.69355586804441,,1258.7746478873219,1.0849999999999995,0.08529361054615994,108.49999999999982,0.19000000000000006,0.22781571499789033,19.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.2587746478873207,2.7062079722683583,125.8774647887321,133.73286971830987,641.2346326781269,13373.286971831005,133.73286971830987,641.2346326781269,13373.286971831005,220085.8359893764,668859.9614756972,22008583.59893764,0.0,0.03,297.7446154949923,1437.286755726604,310.33236197386543,1463.0753620105932,31033.236197386537,0.0,0.0,0.0,310.33236197386543,1463.0753620105932,31033.236197386537,0.0,0.0,0.0,-11048744.461549502,0.0,-11048744.461549502,-11048744.461549502,0.0,-11048744.461549502,0.24,0.5400183738817099,0.2316949644788406
12,6512,13,500,100,100,100,BA_4,degree_centrality,uniform_[1.0],100,0.85,50,0.1,75,0,0.5,0.95,0.1,501.0,0.11,1.0,64.55772297877562,40.672174146453344,,2589.0189349373672,0.9849999999999995,0.29878922336657326,98.49999999999987,0.2900000000000001,0.35902646142032485,29.000000000000046,0.0,0.0,0.0,0.0,0.0,0.0,1.995,4.556037203535546,199.5,283.4415851888628,894.4409828357179,28344.15851888629,283.4415851888628,894.4409828357179,28344.15851888629,352714.3795621861,865863.887516754,35271437.9562186,0.0,0.14,605.4691530074633,1908.6594328303568,631.359342356837,1942.8622685353655,63135.93423568373,0.0,0.0,0.0,631.359342356837,1942.8622685353655,63135.93423568373,0.0,0.0,0.0,-17193710.91530074,0.0,-17193710.91530074,-17193710.91530074,0.0,-17193710.91530074,0.19,0.5086169362271626,0.2338589772870418
