,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,339.5,0.07,3.3781201891889316,66.96417098762169,70.27927698934396,0.4658342411086353,2211.6431153460176,2.31,1.7538243925775465,230.99999999999966,3.330000000000001,1.917576595601855,333.0000000000003,0.41440151929712,1.4053039246907608,41.440151929711995,0.0,0.0,0.0,1.649143113799136,2.479329215742256,164.91431137991353,215.1337442553744,912.9354455801537,21513.374425537455,215.1337442553744,912.9354455801537,21513.374425537455,391624.2618744389,449522.9836249561,39162426.187443905,0.0,0.24,504.93905978434276,1629.6449626634453,527.0554909378029,1655.1989957903681,52705.549093780304,0.0,0.0,0.0,527.0554909378029,1655.1989957903681,52705.549093780304,0.0,0.0,0.0,-20288778.90597843,0.0,-20288778.90597843,-20288778.90597843,0.0,-20288778.90597843,0.71,0.5029379338395887,0.23489951673102777
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,213.0,0.05,3.6799188478959706,34.880064239235416,44.74151429364629,0.41075621279071395,1386.122618531496,3.495000000000001,1.4921377282275248,349.5000000000003,4.175000000000002,1.790774971904622,417.50000000000074,0.0,0.0,0.0,0.0,0.0,0.0,1.045420514583625,3.1353783577733814,104.54205145836248,92.68596080644322,427.04909674040937,9268.596080644329,92.68596080644322,427.04909674040937,9268.596080644329,417093.42809473857,414010.0669541145,41709342.80947388,0.01,0.75,256.4145755605947,1085.9989496186715,270.2758017459096,1107.9452427284946,27027.580174590967,0.0,0.0,0.0,270.2758017459096,1107.9452427284946,27027.580174590967,0.0,0.0,0.0,-23405142.457556054,0.0,-23405142.457556054,-23405142.457556054,0.0,-23405142.457556054,0.24,0.4306793863487197,0.1818957914486513
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,646.0,0.11,3.8520109055469436,40.47195088263613,28.65868816264566,0.2853140232245893,4365.163648840401,3.1250000000000013,1.5188400179084034,312.50000000000006,3.475000000000001,1.7725334975678175,347.5000000000003,0.0,0.0,0.0,0.0,0.0,0.0,6.303202889968742,4.492124398090855,630.3202889968742,254.1881210440697,472.6191206027422,25418.81210440697,254.1881210440697,472.6191206027422,25418.81210440697,519568.1247803096,448518.1452410733,51956812.478030965,0.04,0.45,544.880473425717,1132.9985024830428,588.5321099141211,1154.2721615358228,58853.2109914121,0.0,0.0,0.0,588.5321099141211,1154.2721615358228,58853.2109914121,0.0,0.0,0.0,-27075094.047342576,0.0,-27075094.047342576,-27075094.047342576,0.0,-27075094.047342576,0.0,0.4277450839500275,0.18426880206587945
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,551.5,0.11,3.259320690346023,47.124306738545926,55.89755621048075,0.3395421147927583,3875.5957702916426,3.350000000000001,1.4722431864335455,335.0000000000003,2.985000000000001,1.977188660699833,298.5,0.0,0.0,0.0,0.3933730675405499,1.5570154572679873,39.337306754055,3.315639134294719,4.2880665379903915,331.5639134294719,251.94703644784974,836.9641719826548,25194.703644784946,251.94703644784974,836.9641719826548,25194.703644784946,473219.26069504773,401001.633023952,47321926.06950476,0.23,0.65,524.3511176271941,1660.9908727074262,563.1070753301104,1680.7781513300563,56310.707533011046,0.0,0.0,0.0,563.1070753301104,1680.7781513300563,56310.707533011046,0.0,0.0,0.0,-25850690.111762736,0.0,-25850690.111762736,-25850690.111762736,0.0,-25850690.111762736,0.3,0.390939347572574,0.1641214169328871
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,566.53579470675,0.1,4.259780851241504,42.23001285771994,49.68495166666211,-0.39508471671157025,3752.7189244624847,3.705000000000001,1.421785848853476,370.50000000000045,3.985000000000001,1.8246300994996218,398.50000000000057,0.0,0.0,0.0,0.0,0.0,0.0,4.638351032058348,11.35500474780852,463.8351032058347,193.34961681592537,459.63415712194575,19334.961681592526,193.34961681592537,459.63415712194575,19334.961681592526,505120.6085707716,443506.25900212605,50512060.85707718,0.15,0.48,483.0136354980126,1018.6727050638909,520.5408247426374,1039.1912204320545,52054.082474263756,0.0,0.0,0.0,520.5408247426374,1039.1912204320545,52054.082474263756,0.0,0.0,0.0,-27971323.36354982,0.0,-27971323.36354982,-27971323.36354982,0.0,-27971323.36354982,0.31,0.3560155366978019,0.09358905595232098
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,250.0,0.04,5.8603936253904685,12.697806322590527,2.9830234155238124,-0.5855308137078867,1482.498047958776,5.0150000000000015,1.5117126049616705,501.50000000000097,5.375000000000001,2.3284920012746446,537.5000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1.3529064705881724,1.2214864743686127,135.29064705881734,34.883772160973834,21.087906986290825,3488.3772160973836,34.883772160973834,21.087906986290825,3488.3772160973836,575143.6443418403,345691.0840998442,57514364.43418403,0.0,0.64,108.5089956078641,132.02355572879245,123.33397608745186,140.38406311752368,12333.397608745187,0.0,0.0,0.0,123.33397608745186,140.38406311752368,12333.397608745187,0.0,0.0,0.0,-32544655.899560783,0.0,-32544655.899560783,-32544655.899560783,0.0,-32544655.899560783,0.36,0.3591755745470132,0.07758571814760849
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,599.5,0.11,2.569860111870932,58.08241028275682,67.15631200343749,0.3936163403953866,2478.8811392037182,2.435,1.8749066643435879,243.4999999999996,2.355,2.1615908493514677,235.49999999999966,2.479179874359663,5.80839120722953,247.91798743596632,0.1684805386417316,0.7161644457527434,16.84805386417316,2.478881139203713,3.084909013930746,247.88811392037115,269.04124448005655,1052.417817588238,26904.12444800564,269.04124448005655,1052.417817588238,26904.12444800564,387638.0716550094,594493.4259020773,38763807.16550095,0.0,0.7,593.4938098021759,2364.0812095444007,618.2826211942129,2388.9358862618637,61828.262119421306,0.0,0.0,0.0,618.2826211942129,2388.9358862618637,61828.262119421306,0.0,0.0,0.0,-20960687.380980212,0.0,-20960687.380980212,-20960687.380980212,0.0,-20960687.380980212,0.0,0.4174929095262822,0.17852354166055967
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,584.1816654041838,0.12,4.3649363047917795,78.85123764276686,79.88618880719734,0.32455939295407127,4345.708581917991,4.700000000000002,1.3619838471876236,470.0000000000009,4.625000000000001,2.156820576682261,462.5000000000007,8.45125257744261,32.91206492860724,845.1252577442614,11.213023771432333,45.295457897318656,1121.3023771432336,6.093203162098489,12.172604405352963,609.320316209849,417.1162101400576,1239.253784453742,41711.62101400575,417.1162101400576,1239.253784453742,41711.62101400575,799605.2783949662,570921.3291661666,79960527.83949663,0.3,0.48,786.5727162032023,2256.0772772001737,830.0298020223822,2276.53150007146,83002.9802022382,0.0,0.0,0.0,830.0298020223822,2276.53150007146,83002.9802022382,0.0,0.0,0.0,-42638016.27162029,0.0,-42638016.27162029,-42638016.27162029,0.0,-42638016.27162029,0.1,0.36733708490393,0.10318880641839097
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,567.0,0.11,3.3052430821263696,80.99660098507553,85.67714758777598,0.4156821410753452,3106.2456467068546,3.245000000000001,1.7710095990705412,324.5000000000003,3.555000000000001,2.03849822173089,355.50000000000045,2.9299713576313815,4.360826548612332,292.99713576313815,0.2296744658403511,0.4510764490998729,22.9674465840351,2.3085171205209174,4.164426044080937,230.85171205209178,362.242030176873,1409.3082530328866,36224.203017687316,362.242030176873,1409.3082530328866,36224.203017687316,463287.9943554058,512651.79623968824,46328799.435540594,0.12,0.52,701.4664145569857,2483.146071719036,732.5288710240543,2512.18476376199,73252.88710240541,0.0,0.0,0.0,732.5288710240543,2512.18476376199,73252.88710240541,0.0,0.0,0.0,-26073856.641455706,0.0,-26073856.641455706,-26073856.641455706,0.0,-26073856.641455706,0.14,0.5039426652377499,0.23695497937503204
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",50,0.85,50,0.1,75,0,0.5,0.95,0.1,851.5,0.15,3.54806088173758,53.42774735133876,45.69191138732903,0.380340711223335,4809.986134294216,3.285000000000001,1.8202403687425457,328.5000000000002,3.3150000000000013,2.20142567442101,331.5000000000003,1.0227272727272727,3.287608213974871,102.27272727272728,0.09551585349883504,0.5431261339542468,9.551585349883505,3.938757273055091,3.4522494152423917,393.8757273055092,414.5340404592405,859.0888315960627,41453.404045924064,414.5340404592405,859.0888315960627,41453.404045924064,509942.4964104922,437445.56989167526,50994249.64104923,0.09,0.47,892.6893810185131,1880.2805178923884,940.7892423614551,1900.5185484481299,94078.92423614551,0.0,0.0,0.0,940.7892423614551,1900.5185484481299,94078.92423614551,0.0,0.0,0.0,-26536141.938101858,0.0,-26536141.938101858,-26536141.938101858,0.0,-26536141.938101858,0.05,0.37481914055809157,0.09850473382737446
