,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,615.0,0.09,4.955218506975711,189.95311495498524,160.6908804980335,0.006313147248477313,3774.4518949046405,4.8050000000000015,1.538010077990388,480.50000000000085,5.5950000000000015,2.0365350475746786,559.500000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.526706258103049,4.401598895372076,352.67062581030484,1048.5158955921104,3463.6521630876514,104851.58955921103,1048.5158955921104,3463.6521630876514,104851.58955921103,1769897.1185880112,1436337.1179892002,176989711.8588012,0.0,0.41,2319.481674120123,7487.5171380404245,2357.2261930691693,7522.764446032392,235722.61930691695,0.0,0.0,0.0,2357.2261930691693,7522.764446032392,235722.61930691695,0.0,0.0,0.0,-96284566.16741203,0.0,-96284566.16741203,-96284566.16741203,0.0,-96284566.16741203,0.41,0.3526770761121311,0.08293250062110329
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,561.0,0.09,4.53820340254622,225.98420465145685,185.52736655073625,0.31578277754493,4255.335093769618,5.420000000000001,1.2855349081219072,542.0000000000009,5.060000000000001,2.28219192882632,506.00000000000097,0.035446354166666694,0.3526867708706525,3.5446354166666696,0.0,0.0,0.0,3.810095688438799,5.027385597443029,381.00956884387995,1170.3561287313107,4139.646792526309,117035.6128731311,1170.3561287313107,4139.646792526309,117035.6128731311,2257343.1339413784,2013302.1955612733,225734313.39413792,0.66,0.96,2800.129617583616,9266.77338421207,2842.6829685213133,9301.979811563022,284268.29685213126,0.0,0.0,0.0,2842.6829685213133,9301.979811563022,284268.29685213126,0.0,0.0,0.0,-123899345.96175833,0.0,-123899345.96175833,-123899345.96175833,0.0,-123899345.96175833,0.0,0.3668726154605859,0.11200797588808448
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,585.0,0.07,4.738950999190812,76.9766466710757,77.53673637866466,0.35579254626688606,3426.093195287566,4.340000000000002,1.287400481590713,434.0000000000007,4.605000000000001,1.8580836902572502,460.50000000000085,0.0,0.0,0.0,0.0,0.0,0.0,2.8117972858479505,2.917926618015105,281.17972858479493,413.00317379978844,1218.0874300607306,41300.31737997885,413.00317379978844,1218.0874300607306,41300.31737997885,1459171.0497034842,1402142.1016565557,145917104.97034842,0.04,0.62,1056.9527136499084,2731.624930163849,1091.213645602784,2752.517718160796,109121.36456027841,0.0,0.0,0.0,1091.213645602784,2752.517718160796,109121.36456027841,0.0,0.0,0.0,-77672240.271365,0.0,-77672240.271365,-77672240.271365,0.0,-77672240.271365,0.1,0.34727851007403654,0.07795070668848322
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,512.0,0.07,6.1182980949790595,179.7729329705668,180.12206067029797,-0.26897822868353305,2258.596491228097,5.570000000000001,1.4829362764461593,557.000000000001,5.830000000000001,2.0813697413001853,583.0000000000011,0.0,0.0,0.0,0.0,0.0,0.0,2.2585964912281016,3.087442790649574,225.85964912281028,813.3103678240217,3142.386082146963,81331.03678240224,813.3103678240217,3142.386082146963,81331.03678240224,1716900.292820207,1534898.812380282,171690029.28202078,0.0,0.44,1825.5208505776611,7064.428689302419,1848.1068154899417,7091.427294421499,184810.68154899418,0.0,0.0,0.0,1848.1068154899417,7091.427294421499,184810.68154899418,0.0,0.0,0.0,-95738761.08505782,0.0,-95738761.08505782,-95738761.08505782,0.0,-95738761.08505782,0.56,0.35171850664889265,0.07093355089741277
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,313.0,0.04,3.2883059317315593,13.811225271241707,12.199065029541158,0.6137924640696948,1353.2373569582758,3.7300000000000018,0.9685556256612212,373.0000000000004,3.3950000000000014,1.7522770899603748,339.5000000000003,0.035446354166666694,0.3526867708706525,3.5446354166666696,0.0,0.0,0.0,1.3532373569582767,1.9852121205679045,135.32373569582762,50.16805351162686,72.88993699358035,5016.805351162685,50.16805351162686,72.88993699358035,5016.805351162685,1167331.1809560116,1021269.7268782691,116733118.09560116,0.0,0.58,110.92146127576773,162.67095339156788,124.45383484535047,169.01162852955056,12445.383484535054,0.0,0.0,0.0,124.45383484535047,169.01162852955056,12445.383484535054,0.0,0.0,0.0,-64367725.14612746,0.0,-64367725.14612746,-64367725.14612746,0.0,-64367725.14612746,0.42,0.34647875926982696,0.09155955389314165
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,424.0,0.06,3.174103123666377,129.29106854721206,161.38508124502184,0.23496486252750842,2459.9523676666518,3.5200000000000014,1.3559498515800648,352.00000000000034,2.905000000000001,1.9645546569133676,290.5,0.36336422110159733,1.780113864965523,36.33642211015973,0.0,0.0,0.0,4.198005181261519,2.8934988245257616,419.80051812615176,411.8762647665496,2489.260326654171,41187.626476655045,411.8762647665496,2489.260326654171,41187.626476655045,1582518.498847884,1274913.14073448,158251849.8847884,0.01,0.43,1038.9883112052366,5771.217031507115,1063.5878348819033,5798.9642564020805,106358.78348819031,0.0,0.0,0.0,1063.5878348819033,5798.9642564020805,106358.78348819031,0.0,0.0,0.0,-81610613.83112055,0.0,-81610613.83112055,-81610613.83112055,0.0,-81610613.83112055,0.56,0.38011845955473855,0.15683800431049805
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,424.0,0.06,4.75573760851645,215.5785832790739,189.02194014648703,-0.2536699342230384,3516.1020941999986,3.965000000000001,1.471147511298578,396.5000000000005,4.4300000000000015,2.1391820866864046,443.00000000000085,0.0,0.0,0.0,0.0,0.0,0.0,2.328773136426507,5.833388674942944,232.87731364265022,734.7679629208775,3389.5532810629334,73476.79629208802,734.7679629208775,3389.5532810629334,73476.79629208802,1667680.6244469,2649881.794299473,166768062.44469002,0.0,0.1,2008.2256170790286,7318.890886978159,2043.3866380210281,7358.713660985819,204338.66380210288,0.0,0.0,0.0,2043.3866380210281,7358.713660985819,204338.66380210288,0.0,0.0,0.0,-88739489.56170788,0.0,-88739489.56170788,-88739489.56170788,0.0,-88739489.56170788,0.74,0.45809598855746114,0.22443020602472122
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,487.0,0.09,5.356490761778095,362.6491524223488,212.6110970190162,-0.006164712475414766,2895.9937831128636,4.855000000000001,1.269832666141488,485.50000000000085,4.6800000000000015,2.3094588110637524,468.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,2.8960000147437017,5.64311758088792,289.60000147436983,1740.569115085858,6020.562142557675,174056.9115085861,1740.569115085858,6020.562142557675,174056.9115085861,2120550.786489815,3012561.5015266887,212055078.6489814,0.0,0.1,3903.9790584889784,12815.979655012072,3932.938996320106,12862.424631758,393293.8996320106,0.0,0.0,0.0,3932.938996320106,12862.424631758,393293.8996320106,0.0,0.0,0.0,-110562488.90584892,0.0,-110562488.90584892,-110562488.90584892,0.0,-110562488.90584892,0.9,0.45951569555980615,0.22040005952846434
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,435.0,0.06,4.3182502284133255,143.39112666409378,155.17856506469508,0.5112771713097249,3008.2625180809164,4.110000000000002,1.0123734488813896,411.00000000000057,4.005000000000001,1.910098165016657,400.50000000000057,34.755597495671715,345.81382877327644,3475.559749567172,0.0,0.0,0.0,2.2520750055209486,4.613112620417258,225.2075005520948,522.6308887673417,2469.3567040371336,52263.08887673414,522.6308887673417,2469.3567040371336,52263.08887673414,1490022.266250179,1597293.1965849518,149002226.62501788,0.29,1.0,1064.1436056103134,4136.314914643659,1094.2262307911226,4164.068285419908,109422.62307911227,0.0,0.0,0.0,1094.2262307911226,4164.068285419908,109422.62307911227,0.0,0.0,0.0,-79711222.36056107,0.0,-79711222.36056107,-79711222.36056107,0.0,-79711222.36056107,0.0,0.3598084236490575,0.10128106850215694
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,100,0,0.5,0.95,0.1,253.0,0.04,3.7416662873233006,93.70839696459686,108.59888388686298,-0.9784035296052407,1314.2959001782701,3.310000000000001,1.3307516672918354,331.0000000000002,3.2100000000000013,1.9216919628285902,321.00000000000006,0.24392694021886335,1.3872134630252406,24.392694021886335,0.0,0.0,0.0,1.3142959001783066,2.28849639469933,131.4295900178309,221.81134565229016,1387.6471220690505,22181.134565228986,221.81134565229016,1387.6471220690505,22181.134565228986,1423614.9030741346,1290141.4705527837,142361490.30741343,0.0,0.67,496.4343515360766,3117.5911426664434,509.57731053785915,3138.5931930899133,50957.731053785916,0.0,0.0,0.0,509.57731053785915,3138.5931930899133,50957.731053785916,0.0,0.0,0.0,-73427622.43515353,0.0,-73427622.43515353,-73427622.43515353,0.0,-73427622.43515353,0.33,0.3467253841375344,0.08941994908782842
