,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,385.0,0.07,4.304878224761525,183.36238190747827,158.71593380975938,-0.722093178575878,1563.3204633204612,3.475000000000001,1.8484791045613687,347.50000000000017,3.435000000000001,2.166858324856519,343.50000000000045,0.0,0.0,0.0,0.0,0.0,0.0,1.5633204633204636,2.6650504964943544,156.3320463320464,552.2740367631372,2304.1555366467196,55227.40367631358,552.2740367631372,2304.1555366467196,55227.40367631358,957150.2547076737,1174557.0833952064,95715025.47076735,0.0,0.65,1247.451702717567,5222.769824172807,1263.0849073507716,5247.976946602041,126308.49073507712,0.0,0.0,0.0,1263.0849073507716,5247.976946602041,126308.49073507712,0.0,0.0,0.0,-51879961.17027175,0.0,-51879961.17027175,-51879961.17027175,0.0,-51879961.17027175,0.34,0.34459294633330906,0.06100978917435869
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,421.5,0.08,4.129088572649548,99.39489679143297,101.85098851097766,0.550863875804446,2893.029603475262,4.450000000000002,1.217579566188592,445.00000000000074,4.830000000000001,1.876725872363889,483.00000000000085,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,2.367276486386879,3.348470520698129,236.72764863868804,431.39334846481455,1316.8593267133626,43139.33484648143,431.39334846481455,1316.8593267133626,43139.33484648143,952061.800814319,1138861.7165288765,95206180.08143193,0.09,0.24,967.1411844098989,2952.946756821054,996.0714804446516,2970.066187964237,99607.14804446515,0.0,0.0,0.0,996.0714804446516,2970.066187964237,99607.14804446515,0.0,0.0,0.0,-52476407.11844099,0.0,-52476407.11844099,-52476407.11844099,0.0,-52476407.11844099,0.0,0.3550884494380712,0.09226136198600147
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,267.0,0.06,4.447549764927005,191.93426744945214,183.45616761149537,0.05790373395635455,2536.2866238279803,3.810000000000001,1.3137351331223506,381.00000000000045,4.0550000000000015,1.8802858825189321,405.5000000000006,0.0,0.0,0.0,0.0,0.0,0.0,2.139226743337333,4.376172667946046,213.92267433373326,493.564951271373,2357.780534931068,49356.495127137256,493.564951271373,2357.780534931068,49356.495127137256,882064.5289023682,817450.9261995637,88206452.89023681,0.01,0.1,1293.1749740190403,4790.73587617744,1318.53784025732,4819.281587121933,131853.78402573202,0.0,0.0,0.0,1318.53784025732,4819.281587121933,131853.78402573202,0.0,0.0,0.0,-46145792.4974019,0.0,-46145792.4974019,-46145792.4974019,0.0,-46145792.4974019,0.78,0.37642122523843063,0.14055741673169514
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,440.0,0.09,4.986228875094878,247.66358534078017,189.8322701400657,-0.5403271121473878,3140.946410578543,5.105000000000001,1.3628921454025626,510.50000000000085,4.855000000000001,2.6967526768318963,485.5000000000009,4.717034965361114,46.93390530926969,471.70349653611134,77.83107692845833,774.4094376029494,7783.107692845833,2.7278056715003607,6.767182948976918,272.780567150036,920.3301084792574,3352.8860029481966,92033.01084792569,920.3301084792574,3352.8860029481966,92033.01084792569,1396739.893614902,1236489.8412879615,139673989.36149013,0.22,0.28,1587.5582925591568,5479.185715084469,1618.9677566649427,5507.025581834673,161896.7756664942,0.0,0.0,0.0,1618.9677566649427,5507.025581834673,161896.7756664942,0.0,0.0,0.0,-76068775.82925592,0.0,-76068775.82925592,-76068775.82925592,0.0,-76068775.82925592,0.08,0.38379337210729686,0.1376103700344749
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,453.5,0.08,4.1185115253329645,123.19097925052648,148.1225403573956,0.3333086591502057,2647.977036577177,4.355000000000001,1.716821190456362,435.5000000000008,3.740000000000001,2.177245966812202,374.0000000000004,0.14491225846500902,0.5281990056204399,14.491225846500903,0.010626898954100636,0.03873459374549883,1.0626898954100636,1.8343187359221127,2.88018310942151,183.43187359221116,470.9160149178736,1926.0582187363011,47091.601491787376,470.9160149178736,1926.0582187363011,47091.601491787376,1250077.7907148215,1211898.238874483,125007779.0714821,0.02,0.38,1116.124288738482,4333.544546136524,1142.6040591042533,4352.4156953846405,114260.4059104253,0.0,0.0,0.0,1142.6040591042533,4352.4156953846405,114260.4059104253,0.0,0.0,0.0,-65984533.428873874,0.0,-65984533.428873874,-65984533.428873874,0.0,-65984533.428873874,0.0,0.39856602177921346,0.17429527744900564
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,538.0,0.1,3.3747555728951815,122.15466451615589,145.49577968086032,0.36762652332668866,3831.8794646240426,3.760000000000001,1.3169662106523459,376.0000000000005,2.6500000000000004,1.9189841062395485,264.99999999999966,0.125,1.243734296383275,12.5,0.10946677158600938,1.0891806250869924,10.946677158600938,4.153989034533785,9.248587075700392,415.3989034533785,542.5907489041056,2149.1572851741316,54259.07489041056,542.5907489041056,2149.1572851741316,54259.07489041056,740772.7786837945,902189.0882123272,74077277.86837946,0.15,0.39,1183.7329283875915,3546.5361433574963,1222.0517230338316,3572.6376722932396,122205.17230338311,0.0,0.0,0.0,1222.0517230338316,3572.6376722932396,122205.17230338311,0.0,0.0,0.0,-41115472.29283873,0.0,-41115472.29283873,-41115472.29283873,0.0,-41115472.29283873,0.12,0.3871064010506555,0.14699551379419182
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,423.5233605180256,0.08,3.311463145941199,92.28652462630454,112.340954322076,0.28199747522945495,2574.2641235496485,3.455000000000001,1.576856049232142,345.50000000000034,3.955000000000001,1.8252328618562617,395.50000000000057,0.625,2.724311839712921,62.5,0.0,0.0,0.0,3.197316959764901,11.06338721420766,319.73169597649,301.366764997466,1071.925457042737,30136.676499746587,301.366764997466,1071.925457042737,30136.676499746587,828316.952370822,681091.6910325187,82831695.23708218,0.33,0.42,601.1944213229826,1998.0435740866146,626.9370625584792,2014.549289375459,62693.7062558479,0.0,0.0,0.0,626.9370625584792,2014.549289375459,62693.7062558479,0.0,0.0,0.0,-44953103.442132294,0.0,-44953103.442132294,-44953103.442132294,0.0,-44953103.442132294,0.04,0.3655110045107642,0.10161132924700103
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,286.0,0.07,4.511889893115402,282.8278556102592,199.27423501481658,0.04550606113986361,2463.067632505636,3.780000000000001,1.458629493737186,378.0000000000004,3.610000000000001,2.0712073773526396,361.0000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.843531817387908,4.3880161925513494,184.35318173879077,782.0153001733679,3326.2623184484055,78201.53001733673,782.0153001733679,3326.2623184484055,78201.53001733673,1393172.6863019571,1118639.9888915021,139317268.63019568,0.0,0.16,1721.1104745194982,6956.488237994829,1745.7411508445546,6985.231708640764,174574.11508445546,0.0,0.0,0.0,1745.7411508445546,6985.231708640764,174574.11508445546,0.0,0.0,0.0,-71028662.047452,0.0,-71028662.047452,-71028662.047452,0.0,-71028662.047452,0.83,0.37146303098580263,0.13759989029286904
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,412.1800697353067,0.09,3.832025356639416,180.11441052023866,121.10730985051862,0.23480444420799987,2972.043355111589,4.295000000000002,1.210154948756563,429.50000000000074,3.950000000000001,2.1960191255997747,395.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,3.9255154863523773,13.174461127145737,392.55154863523785,689.970158889318,2041.6414721449457,68997.01588893178,689.970158889318,2041.6414721449457,68997.01588893178,966158.1437929325,793103.0049850487,96615814.37929325,0.04,0.21,1455.3224444535495,3906.180326654435,1485.0428780046652,3937.3279233032063,148504.28780046658,0.0,0.0,0.0,1485.0428780046652,3937.3279233032063,148504.28780046658,0.0,0.0,0.0,-51544771.244445376,0.0,-51544771.244445376,-51544771.244445376,0.0,-51544771.244445376,0.71,0.3715231572575676,0.12036366564552185
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,505.5,0.09,4.1400321247838106,110.90783985540484,104.00482576712572,-0.6908652981686969,3560.086044733411,4.030000000000001,1.2570202862324853,403.0000000000005,4.915000000000001,1.5502499798419607,491.5000000000009,0.0,0.0,0.0,0.0,0.0,0.0,2.372366171260498,3.693334091223064,237.23661712604988,491.0130557457793,1562.3191896880364,49101.30557457793,491.0130557457793,1562.3191896880364,49101.30557457793,957405.2668019907,790631.027210885,95740526.68019904,0.01,0.28,1404.8406678893696,3457.8497366892275,1440.441528336704,3487.0691295810043,144044.15283367032,0.0,0.0,0.0,1440.441528336704,3487.0691295810043,144044.15283367032,0.0,0.0,0.0,-51785152.06678891,0.0,-51785152.06678891,-51785152.06678891,0.0,-51785152.06678891,0.12,0.36249245526208423,0.10092163424789756
