,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,675.3722675,0.12,3.989206215184241,111.00414151888425,117.78390503179557,-0.44034901089563416,6913.246729959263,4.380000000000002,0.9309135298189622,438.00000000000074,3.385000000000001,1.7947910741922024,338.50000000000034,0.0,0.0,0.0,28.249105486881117,160.63174290628538,2824.9105486881117,7.617545914959262,8.700709824330767,761.754591495926,637.9089585268689,1883.2530432848544,63790.89585268689,637.9089585268689,1883.2530432848544,63790.89585268689,1901073.0874068823,1117482.6885557452,190107308.74068823,0.61,0.86,1431.0976696689875,3317.665082980303,1500.2301369685792,3337.392867870816,150023.01369685793,0.0,0.0,0.0,1500.2301369685792,3337.392867870816,150023.01369685793,0.0,0.0,0.0,-100893367.76696695,0.0,-100893367.76696695,-100893367.76696695,0.0,-100893367.76696695,0.0,0.3513404240395866,0.08967552783843932
1,1001,2,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,595.5,0.11,3.4979815133565,112.84526990523165,87.95774637026997,-0.09518456947271262,5015.269114421215,3.6450000000000014,1.2146913188131374,364.50000000000034,4.3450000000000015,1.577173104006025,434.5000000000008,0.0,0.0,0.0,0.0,0.0,0.0,4.455693042306741,4.108466381859532,445.5693042306741,622.542942784842,1565.5662868471893,62254.29427848416,622.542942784842,1565.5662868471893,62254.29427848416,1507040.5630643333,984251.5695261849,150704056.30643326,0.25,0.51,1443.8692483741297,3758.421875986318,1494.0219395183422,3780.069752844155,149402.19395183423,0.0,0.0,0.0,1494.0219395183422,3780.069752844155,149402.19395183423,0.0,0.0,0.0,-79661273.9248374,0.0,-79661273.9248374,-79661273.9248374,0.0,-79661273.9248374,0.0,0.34818687726573977,0.08741777781045311
2,1502,3,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,527.0,0.1,4.010353652248965,153.20858384727669,127.20597717777738,-0.22325589061213152,6327.016357713595,4.8450000000000015,0.8873978814489023,484.50000000000085,4.3450000000000015,1.8499932432309043,434.50000000000074,0.0,0.0,0.0,0.0,0.0,0.0,6.326733451484167,4.1654481699470365,632.6733451484168,700.006044814015,2186.9065739730763,70000.60448140153,700.006044814015,2186.9065739730763,70000.60448140153,1712768.7807330128,1137698.9751677767,171276878.07330132,0.2,0.3,1793.7199726156757,4424.59791122406,1856.9901361928123,4445.552026109012,185699.0136192813,0.0,0.0,0.0,1856.9901361928123,4445.552026109012,185699.0136192813,0.0,0.0,0.0,-92542818.99726155,0.0,-92542818.99726155,-92542818.99726155,0.0,-92542818.99726155,0.0,0.3509556906809371,0.0858756577255345
3,2003,4,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,706.0,0.13,4.708945691555115,164.1999508159258,159.413467130015,-0.577410565825117,5849.177865018377,5.105000000000001,1.2359105954720186,510.50000000000097,4.6800000000000015,1.9983993594874871,468.00000000000085,0.0,0.0,0.0,0.0,0.0,0.0,5.8678295222627375,3.9003711510198467,586.7829522262736,945.1735661442243,2892.670788349649,94517.35661442246,945.1735661442243,2892.670788349649,94517.35661442246,2479525.8868106906,1671765.2408969612,247952588.68106893,0.41,0.65,2233.118416348251,6227.56863165157,2291.610194998435,6251.331124649383,229161.0194998434,0.0,0.0,0.0,2291.610194998435,6251.331124649383,229161.0194998434,0.0,0.0,0.0,-133527129.84163482,0.0,-133527129.84163482,-133527129.84163482,0.0,-133527129.84163482,0.0,0.3528634759089439,0.0869635492528255
4,2504,5,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,483.0,0.09,3.840965889164388,117.1238465538051,117.60587631590217,-0.4465374326360984,5216.669637580048,4.170000000000002,1.2530363123229908,417.0000000000006,3.6700000000000013,1.9118315825406795,367.00000000000045,0.0,0.0,0.0,0.0,0.0,0.0,4.860136179111434,4.235051379629322,486.0136179111433,491.91005721250144,1746.432416528955,49191.00572125014,491.91005721250144,1746.432416528955,49191.00572125014,1779638.651201293,1130462.050714704,177963865.12012944,0.23,0.71,1064.2015548755608,3247.7171411929335,1116.3682512513612,3266.834050657591,111636.82512513609,0.0,0.0,0.0,1116.3682512513612,3266.834050657591,111636.82512513609,0.0,0.0,0.0,-96205775.15548757,0.0,-96205775.15548757,-96205775.15548757,0.0,-96205775.15548757,0.07,0.3479741265802915,0.0835771267177638
5,3005,6,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,732.5,0.13,3.3381148275353416,95.97082317186411,78.33988578423123,0.032241444928465035,7346.6806623973,4.060000000000001,1.3577186748365802,406.0000000000006,3.9200000000000017,1.7226723426119082,392.00000000000045,68.61590185568983,282.08201483878287,6861.590185568983,0.0,0.0,0.0,6.826803473858442,4.54469645708627,682.6803473858447,641.517557284941,1436.8161494207554,64151.755728494085,641.517557284941,1436.8161494207554,64151.755728494085,1661697.5822366877,952247.2337875781,166169758.2236688,0.38,0.54,1281.675478215784,2752.716001269092,1355.142284839757,2766.925525786413,135514.22848397563,0.0,0.0,0.0,1355.142284839757,2766.925525786413,135514.22848397563,0.0,0.0,0.0,-87569634.54782161,0.0,-87569634.54782161,-87569634.54782161,0.0,-87569634.54782161,0.01,0.35614748583927874,0.10296456939978386
6,3506,7,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,459.0,0.09,3.7729583016704944,141.32031607909286,117.13304780969767,-0.5627083100340161,7424.93040091631,4.4700000000000015,0.8474078120952152,447.00000000000074,3.745000000000001,1.6782356807075696,374.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,7.424930424858318,4.896601343197953,742.4930424858319,569.7798228867154,1931.1286883625467,56977.98228867152,569.7798228867154,1931.1286883625467,56977.98228867152,1634045.2506352589,982213.2479199589,163404525.0635259,0.35,0.52,1245.2547036342512,3439.7107673932423,1319.5040076434143,3460.1160964385517,131950.40076434152,0.0,0.0,0.0,1319.5040076434143,3460.1160964385517,131950.40076434152,0.0,0.0,0.0,-87293522.47036341,0.0,-87293522.47036341,-87293522.47036341,0.0,-87293522.47036341,0.26,0.3579124854809217,0.09965510703488184
7,4007,8,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,600.0,0.12,3.645534602113376,173.67373602288055,135.32978301231077,-0.14919967874643683,6190.557445274715,4.525000000000002,0.6796138609534091,452.5000000000008,2.945000000000001,1.7898254104800273,294.49999999999994,6.308715079355114,62.77092248243432,630.8715079355114,3.9035174553509773,38.83950828600623,390.35174553509773,4.431671606316865,8.04099515866642,443.1671606316865,899.734917664348,2663.9585383385556,89973.49176643477,899.734917664348,2663.9585383385556,89973.49176643477,1936218.5018013888,1009407.2275914217,193621850.1801389,0.3,0.57,1921.2832744249101,4985.112094474508,1983.188848877658,5009.2627824698575,198318.88488776574,0.0,0.0,0.0,1983.188848877658,5009.2627824698575,198318.88488776574,0.0,0.0,0.0,-102688780.32744248,0.0,-102688780.32744248,-102688780.32744248,0.0,-102688780.32744248,0.0,0.3492398163319381,0.08539047867506856
8,4508,9,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,673.0,0.13,3.5393304004372412,156.7927018152535,146.66716976439773,0.2815147028303897,5440.338326844985,4.300000000000002,1.1291589790636214,430.00000000000074,2.955000000000001,1.9317026168642002,295.5000000000001,70.98608309042964,487.4207541858392,7098.608309042965,0.0,0.0,0.0,3.4949461266607678,4.9743938757187065,349.4946126660768,879.2093204974105,2726.412484392516,87920.93204974101,879.2093204974105,2726.412484392516,87920.93204974101,1685503.7519218333,1340700.8950508705,168550375.19218326,0.23,0.45,1771.125466563929,5005.154350320312,1825.5288498323787,5030.731736794748,182552.88498323792,0.0,0.0,0.0,1825.5288498323787,5030.731736794748,182552.88498323792,0.0,0.0,0.0,-89248933.5466564,0.0,-89248933.5466564,-89248933.5466564,0.0,-89248933.5466564,0.0,0.35343004760768343,0.09148011877752119
9,5009,10,500,100,100,100,BA_4,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,683.0322636714241,0.14,3.6711159918536183,185.16484009037413,146.47564635712382,0.2637992558091005,8365.555565796009,4.330000000000001,1.3882002737357457,433.0000000000007,3.1900000000000013,1.4821943192442748,319.00000000000006,50.434101728295715,173.67109096716408,5043.410172829573,73.99676539060626,525.7467477858006,7399.676539060626,9.190399192951952,9.844295061814927,919.0399192951952,1072.5496067318338,2822.3452106186032,107254.9606731834,1072.5496067318338,2822.3452106186032,107254.9606731834,1693001.067813891,1161469.869369959,169300106.781389,0.75,0.9,2322.4288437460364,5414.447805911377,2406.084399403997,5436.701123255561,240608.43994039966,0.0,0.0,0.0,2406.084399403997,5436.701123255561,240608.43994039966,0.0,0.0,0.0,-88524264.8843746,0.0,-88524264.8843746,-88524264.8843746,0.0,-88524264.8843746,0.03,0.35478934591035083,0.0886350805887138
