,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,626.5,0.12,2.9664766320759823,99.01494461669309,68.8003922140999,0.28014649924592167,3665.1512826051876,3.555000000000001,1.4934774856019755,355.50000000000045,3.610000000000001,1.2165114056185415,361.00000000000034,37.03987556716154,146.78991198588884,3703.9875567161534,0.0,0.0,0.0,2.1211483910180076,3.4820210262674176,212.1148391018007,605.7559417407288,1327.7168149345616,60575.59417407288,605.7559417407288,1327.7168149345616,60575.59417407288,1124743.9774076215,991998.0280694147,112474397.74076214,0.0,0.38,1198.939162312577,2528.5418732363705,1235.590675138629,2554.322301893578,123559.0675138629,0.0,0.0,0.0,1235.590675138629,2554.322301893578,123559.0675138629,0.0,0.0,0.0,-68405635.91623132,0.0,-68405635.91623132,-68405635.91623132,0.0,-68405635.91623132,0.0,0.45572831445264933,0.2143522299389521
1,1001,2,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,101.0,0.02,5.06791702104126,10.496033335902823,2.5728520987164525,1.0,588.0094043887101,5.245000000000001,0.7426136276691938,524.5000000000009,1.715,1.083639700269421,171.4999999999997,3.643481942519446,3.1680281450529844,364.34819425194473,0.0,0.0,0.0,0.5880094043886666,0.08147798422707607,58.800940438866675,14.683818225941586,5.854416951403958,1468.3818225941604,14.683818225941586,5.854416951403958,1468.3818225941604,1647285.1211440573,1388669.7306359934,164728512.1144057,0.0,0.57,21.35794568612606,24.026196645787333,27.238039730013167,24.840922901560212,2723.803973001317,0.0,0.0,0.0,27.238039730013167,24.840922901560212,2723.803973001317,0.0,0.0,0.0,-108605376.79456827,0.0,-108605376.79456827,-108605376.79456827,0.0,-108605376.79456827,0.43,0.5735952503605976,0.2767377110488318
2,1502,3,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,422.7051703058434,0.09,2.981016898702059,150.77393429751248,124.49580268061615,0.27611062417284143,3829.0869419375604,4.1800000000000015,1.2820296408429874,418.0000000000007,3.1450000000000014,0.9620161121311847,314.5000000000001,143.37362515233934,585.9435789086356,14337.362515233932,0.0,0.0,0.0,3.427996751653544,11.729488960711194,342.79967516535436,550.3699188119616,1972.8044992562209,55036.99188119612,550.3699188119616,1972.8044992562209,55036.99188119612,1244494.5058330689,942677.7220354882,124449450.5833069,0.0,0.44,1098.825089490415,3081.7089781202044,1137.1159589097908,3111.1859856460146,113711.59589097908,0.0,0.0,0.0,1137.1159589097908,3111.1859856460146,113711.59589097908,0.0,0.0,0.0,-74274474.50894901,0.0,-74274474.50894901,-74274474.50894901,0.0,-74274474.50894901,0.56,0.4615510450940188,0.22766727171601642
3,2003,4,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,310.5,0.08,3.4759821574530467,223.44067831437428,156.49039778919155,0.36903393812986585,2013.7059519953293,4.425000000000002,0.7013380069552768,442.50000000000074,3.090000000000001,1.1090085662428402,309.0000000000001,49.18732153382338,344.28486168348803,4918.732153382338,0.0019340349075975313,0.01924340435985206,0.19340349075975313,1.665,5.43693617766477,166.5,723.3925537861957,2771.2368602063775,72339.25537861955,723.3925537861957,2771.2368602063775,72339.25537861955,1189995.2310547354,1127258.8106797098,118999523.10547355,0.0,0.09,1419.192051174567,5283.282646917363,1439.3291106945208,5314.474377109579,143932.91106945206,0.0,0.0,0.0,1439.3291106945208,5314.474377109579,143932.91106945206,0.0,0.0,0.0,-75477247.20511742,0.0,-75477247.20511742,-75477247.20511742,0.0,-75477247.20511742,0.0,0.4945751552714926,0.23949432177393098
4,2504,5,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,463.0,0.09,4.127905561076457,177.29000882719015,130.53233450152212,0.011531525082452615,2223.1290182599687,3.8350000000000013,1.1585659238903927,383.5000000000005,3.735000000000001,0.9717381334495419,373.5000000000004,20.158674220796296,180.5108986628697,2015.8674220796297,0.0,0.0,0.0,3.2203724885120897,8.07371619394325,322.0372488512089,728.0063454425851,2289.161395213811,72800.6345442585,728.0063454425851,2289.161395213811,72800.6345442585,1772658.2129333338,1728121.0531372016,177265821.29333332,0.0,0.36,1208.263478729748,4095.075720871354,1230.4947689123476,4121.86538093179,123049.4768912348,0.0,0.0,0.0,1230.4947689123476,4121.86538093179,123049.4768912348,0.0,0.0,0.0,-110222938.34787317,0.0,-110222938.34787317,-110222938.34787317,0.0,-110222938.34787317,0.0,0.4724139354787517,0.24529950697791014
5,3005,6,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,617.0,0.12,2.7969660315985316,85.95625172351002,43.66998753443129,0.348639665877301,2867.595966432901,3.345000000000001,1.2619330410128737,334.5000000000002,2.975000000000001,0.928372231381357,297.49999999999994,84.88258426489523,187.19713273339045,8488.258426489523,0.0,0.0,0.0,2.6263350347941747,3.449205775511037,262.63350347941747,563.7469153913667,958.8011811776075,56374.69153913664,563.7469153913667,958.8011811776075,56374.69153913664,1212532.586049118,860161.8549319267,121253258.60491185,0.0,0.34,1061.9945145574377,1981.2693127637126,1090.6704742217669,2008.262990846521,109067.04742217674,0.0,0.0,0.0,1090.6704742217669,2008.262990846521,109067.04742217674,0.0,0.0,0.0,-73142833.45145574,0.0,-73142833.45145574,-73142833.45145574,0.0,-73142833.45145574,0.0,0.4367561074457942,0.20705585047681754
6,3506,7,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,673.0,0.13,2.9944000477148376,107.61420982145142,72.33661543524396,-0.17888085681764884,3516.313960079594,2.955000000000001,1.3365908124777752,295.49999999999994,3.405000000000001,0.9351336802831987,340.5000000000003,91.38489503889275,376.00307689595417,9138.489503889277,0.0,0.0,0.0,5.6010023416191395,12.642558892031298,560.1002341619137,677.8884637373296,1515.8043094501015,67788.84637373297,677.8884637373296,1515.8043094501015,67788.84637373297,1178669.616449099,1118603.662429585,117866961.64490987,0.0,0.84,1273.449295946589,3030.648023746197,1308.612435547385,3058.4114166480986,130861.24355473854,0.0,0.0,0.0,1308.612435547385,3058.4114166480986,130861.24355473854,0.0,0.0,0.0,-69953585.92959464,0.0,-69953585.92959464,-69953585.92959464,0.0,-69953585.92959464,0.0,0.4245452581959984,0.20618918565721264
7,4007,8,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,50.5,0.02,4.212738221556082,220.01784472317655,215.68975918699522,1.0,1143.4763634238332,4.575000000000002,1.0779030568655048,457.50000000000074,1.84,1.293213052826177,183.99999999999966,11.425021467826095,19.14208635075669,1142.5021467826095,0.0,0.0,0.0,0.285,2.835714195753867,28.5,166.0394926963956,1623.563273698525,16603.949269639543,166.0394926963956,1623.563273698525,16603.949269639543,1105761.559413903,837906.4550475075,110576155.94139034,0.0,0.5,254.78796330999987,2353.9569838974658,266.22272694423816,2367.9389574750257,26622.272694423835,0.0,0.0,0.0,266.22272694423816,2367.9389574750257,26622.272694423835,0.0,0.0,0.0,-71759515.79633097,0.0,-71759515.79633097,-71759515.79633097,0.0,-71759515.79633097,0.0,0.4134378396330163,0.1770431946882841
8,4508,9,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,598.5,0.12,4.370511749354805,206.2355407050361,133.26097776898112,-0.4697101967674304,2869.180690802161,4.800000000000002,0.9407443861113389,480.00000000000085,3.245000000000001,1.3551660414871673,324.5000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.4916735329852013,4.668888640992644,249.1673532985202,1107.5238303942576,2905.4033671887573,110752.38303942574,1107.5238303942576,2905.4033671887573,110752.38303942574,1786773.0769626985,1381676.0618093088,178677307.69626984,0.0,0.08,2026.7206280671955,5326.383446905898,2055.412434975217,5359.518784593965,205541.2434975217,0.0,0.0,0.0,2055.412434975217,5359.518784593965,205541.2434975217,0.0,0.0,0.0,-110883963.06280677,0.0,-110883963.06280677,-110883963.06280677,0.0,-110883963.06280677,0.0,0.39104389062407136,0.1583682424289929
9,5009,10,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,339.0,0.07,2.9704254826803784,150.02412991107232,123.70843858443843,-0.5434769796226091,1530.7670051365612,3.660000000000002,0.8101851640211637,366.0000000000004,2.5000000000000004,1.1,249.9999999999996,7.91186931613307,5.936029637139069,791.1869316133071,0.0,0.0,0.0,1.6790882352941967,2.8909361666336193,167.90882352941972,404.06061549747955,1881.2892665306265,40406.06154974796,404.06061549747955,1881.2892665306265,40406.06154974796,944602.3167149021,1118793.5511992052,94460231.67149018,0.0,0.71,840.6629639156076,4025.532283009568,855.9706339669731,4052.782450122178,85597.0633966973,0.0,0.0,0.0,855.9706339669731,4052.782450122178,85597.0633966973,0.0,0.0,0.0,-57936265.296391636,0.0,-57936265.296391636,-57936265.296391636,0.0,-57936265.296391636,0.0,0.5590048205586601,0.27644638300396346
