,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,633.0,0.12,2.4489375926550823,93.40664876049648,72.84491015257399,-0.16703225031185212,3548.44616387477,2.3000000000000007,1.1113055385446433,229.99999999999963,2.235,0.8627137416316027,223.49999999999963,46.53328788783406,228.88058518526918,4653.328788783406,0.0,0.0,0.0,3.3575932173781613,6.828233183030135,335.7593217378162,526.2607183156359,1388.1743725712477,52626.07183156359,526.2607183156359,1388.1743725712477,52626.07183156359,789943.5071265532,899450.9483028767,78994350.71265532,0.0,0.14,973.3413618486297,2277.4226380537134,1008.8258234873773,2307.1299440247835,100882.58234873776,0.0,0.0,0.0,1008.8258234873773,2307.1299440247835,100882.58234873776,0.0,0.0,0.0,-45381816.13618487,0.0,-45381816.13618487,-45381816.13618487,0.0,-45381816.13618487,0.0,0.49366485188099823,0.25417214106962394
1,1001,2,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,481.5,0.1,2.530800280022233,76.81607481140263,60.81458435520905,0.14655481384037056,2958.7334579530684,3.660000000000001,0.6094259594077034,366.0000000000004,2.49,0.7502666192761076,248.99999999999963,72.6561176780994,290.1067719322227,7265.611767809939,0.0,0.0,0.0,3.7153631653779446,5.872139589182504,371.53631653779445,376.88393754624116,1010.9258087356392,37688.39375462409,376.88393754624116,1010.9258087356392,37688.39375462409,807312.6422983792,630457.4886150928,80731264.22983795,0.0,0.13,573.3303326099816,1481.2351246582105,602.9176671895124,1506.9659199657754,60291.76671895123,0.0,0.0,0.0,602.9176671895124,1506.9659199657754,60291.76671895123,0.0,0.0,0.0,-49274632.03326101,0.0,-49274632.03326101,-49274632.03326101,0.0,-49274632.03326101,0.0,0.4467049254192553,0.2191210276578119
2,1502,3,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,140.0,0.04,1.7933530254344887,88.71982780307616,147.16320063259533,0.7111378783610058,878.7384833451473,2.810000000000001,0.7077428911688198,280.99999999999983,0.615,0.6342515273927214,61.5000000000001,2.125,4.695409992748237,212.5,0.0,0.0,0.0,0.878738483345144,2.0816377875318177,87.87384833451421,135.36437470494175,1279.5113319185912,13536.437470494166,135.36437470494175,1279.5113319185912,13536.437470494166,765194.4120626409,917623.6291667905,76519441.20626406,0.0,0.17,294.8062603109814,2878.015007625913,303.5936451444328,2892.271260622843,30359.364514443267,0.0,0.0,0.0,303.5936451444328,2892.271260622843,30359.364514443267,0.0,0.0,0.0,-49281796.62603134,0.0,-49281796.62603134,-49281796.62603134,0.0,-49281796.62603134,0.0,0.6669855976639764,0.22125833147794308
3,2003,4,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,533.4999813195866,0.12,2.718166544233354,140.9949467745785,77.07131817478192,-0.5496102017902853,3525.1541171910953,4.065000000000001,0.8039123086506387,406.5000000000006,3.0200000000000014,0.8146164741766521,302.0,221.5115973581794,648.0327493636457,22151.15973581794,0.0,0.0,0.0,7.061484934806097,18.77369585227,706.14849348061,713.437258538382,1900.5678567264572,71343.72585383819,713.437258538382,1900.5678567264572,71343.72585383819,1183915.9967353216,1039035.1322488642,118391599.67353217,0.0,0.38,1159.0495830006507,2694.3489571833356,1194.301124172562,2730.2441213114007,119430.11241725615,0.0,0.0,0.0,1194.301124172562,2730.2441213114007,119430.11241725615,0.0,0.0,0.0,-71819378.95830013,0.0,-71819378.95830013,-71819378.95830013,0.0,-71819378.95830013,0.0,0.4477519258637454,0.21005612009040298
4,2504,5,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,303.0,0.07,2.808358189663609,150.1851774733678,152.6294768574311,0.37977920506808216,1453.8725606942094,3.7400000000000015,0.49537864306003326,374.00000000000045,2.49,0.870574522944475,248.99999999999963,32.35690551899695,321.66041575670107,3235.6905518996955,0.0,0.0,0.0,1.16925629877307,3.877523199058794,116.92562987730706,415.5716588824678,2072.2006160935143,41557.16588824685,415.5716588824678,2072.2006160935143,41557.16588824685,901273.8885865234,856288.1809792657,90127388.8586524,0.0,0.07,713.3324767180801,3582.5891883407326,727.8712023250223,3606.926329110413,72787.12023250222,0.0,0.0,0.0,727.8712023250223,3606.926329110413,72787.12023250222,0.0,0.0,0.0,-54517365.24767181,0.0,-54517365.24767181,-54517365.24767181,0.0,-54517365.24767181,0.0,0.47803531718239406,0.2328874754418377
5,3005,6,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,261.5,0.06,3.339159610839724,96.16468051980547,82.26141750403815,0.5216486066651598,1483.0902385286672,3.890000000000002,0.7911384202527392,389.0000000000005,3.6900000000000017,1.0231813133555556,369.00000000000045,0.028541666666666667,0.28398599767418115,2.8541666666666665,0.0,0.0,0.0,0.9977155188696817,2.8604403161124323,99.77155188696815,305.92634361526996,1020.1464868965926,30592.634361526994,305.92634361526996,1020.1464868965926,30592.634361526994,1170481.34103166,847456.4289483393,117048134.10316598,0.0,0.08,634.1098692252883,2082.296965892443,648.940771610575,2103.7889778373433,64894.077161057496,0.0,0.0,0.0,648.940771610575,2103.7889778373433,64894.077161057496,0.0,0.0,0.0,-71040431.98692253,0.0,-71040431.98692253,-71040431.98692253,0.0,-71040431.98692253,0.0,0.5572059979374314,0.2577722783720767
6,3506,7,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,38.5,0.02,1.8134936623856897,2.32676127513706,1.3267612751370603,1.0,446.9999999999984,4.060000000000001,0.39799497484264795,406.00000000000057,0.2900000000000001,0.4624932431938871,29.00000000000004,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,0.44699999999994916,1.4626315325467367,44.69999999999489,2.528990493578536,1.6302727955632736,252.8990493578533,2.528990493578536,1.6302727955632736,252.8990493578533,852246.476706862,745566.1461970229,85224647.67068622,0.0,0.01,0.5173519578427,0.32442168468070864,4.987351957842673,14.606170260319221,498.7351957842675,0.0,0.0,0.0,4.987351957842673,14.606170260319221,498.7351957842675,0.0,0.0,0.0,-56464403.73519583,0.0,-56464403.73519583,-56464403.73519583,0.0,-56464403.73519583,0.0,0.6671535722314141,0.22441004774685192
7,4007,8,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,440.0,0.09,2.2455280636104913,82.71050573173596,80.09178556493468,0.5414140134972826,2502.158987642422,2.255,1.3089977081721724,225.4999999999996,2.4950000000000006,0.7358498488142807,249.4999999999996,45.777169981731824,157.49975181086555,4577.716998173184,0.0,0.0,0.0,1.6763524207486267,3.300843864207847,167.63524207486273,361.14040278076186,1172.4067905638246,36114.040278076216,361.14040278076186,1172.4067905638246,36114.040278076216,595522.5867402725,647982.8311944886,59552258.67402722,0.0,0.72,644.2159563109908,1979.0160013388618,669.2375461874153,2002.6514325402973,66923.7546187415,0.0,0.0,0.0,669.2375461874153,2002.6514325402973,66923.7546187415,0.0,0.0,0.0,-33148011.595631078,0.0,-33148011.595631078,-33148011.595631078,0.0,-33148011.595631078,0.0,0.47250847800414636,0.2427496433007983
8,4508,9,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,605.0,0.13,2.55680063610824,140.07009655283105,78.16190571073386,-0.4229120146162757,3156.98629146194,3.615000000000001,0.8586471918081371,361.5000000000004,1.685,1.029696557243929,168.49999999999972,207.36141094640297,629.219586187201,20736.1410946403,0.0,0.0,0.0,2.47327558488413,4.087817220281691,247.32755848841282,761.9587495638792,1990.7165195450848,76195.87495638794,761.9587495638792,1990.7165195450848,76195.87495638794,732082.1687381184,511998.3434841746,73208216.87381183,0.0,0.14,1162.4130888355073,2907.4706799724067,1193.9829517501269,2945.5301042568985,119398.29517501271,0.0,0.0,0.0,1193.9829517501269,2945.5301042568985,119398.29517501271,0.0,0.0,0.0,-46512636.30888355,0.0,-46512636.30888355,-46512636.30888355,0.0,-46512636.30888355,0.59,0.47792635558796037,0.2342769023486565
9,5009,10,500,100,100,100,full,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,681.5,0.13,2.9393814978286565,112.47493195912942,97.6714881836716,-0.006608757860603318,3745.840050368867,3.325000000000001,1.0871407452579447,332.50000000000017,1.895,1.0394589939001921,189.49999999999966,9.264627753036764,33.91098446282149,926.4627753036765,0.0,0.0,0.0,5.15986752141164,8.210334594162894,515.9867521411642,668.9455407956609,1839.917739970981,66894.55407956606,668.9455407956609,1839.917739970981,66894.55407956606,1025036.5672460367,1252534.4651527882,102503656.72460367,0.0,0.31,1097.564660097611,3132.7839996184116,1135.0230606013,3158.7677362199656,113502.30606013001,0.0,0.0,0.0,1135.0230606013,3158.7677362199656,113502.30606013001,0.0,0.0,0.0,-60407448.46600974,0.0,-60407448.46600974,-60407448.46600974,0.0,-60407448.46600974,0.0,0.48894719727705416,0.24510326439353194
