,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,509.5,0.1,3.970651549097365,153.37791920687593,137.4001993492101,-0.732147879094451,3616.611418848903,4.700000000000002,0.324037034920393,470.0000000000008,1.845,1.4008836497011448,184.49999999999963,8.250086387610027,35.96129410567296,825.0086387610024,10.273211112171014,102.21715995354285,1027.3211112171014,2.797399493840201,8.683122477221119,279.7399493840201,669.1117345952251,2306.733121653108,66911.17345952248,669.1117345952251,2306.733121653108,66911.17345952248,1365933.8242541242,1246371.426256811,136593382.42541242,0.09,0.16,1373.9448065300646,3897.894587068555,1410.1109207185539,3927.5821798598677,141011.0920718554,0.0,0.0,0.0,1410.1109207185539,3927.5821798598677,141011.0920718554,0.0,0.0,0.0,-78067206.480653,0.0,-78067206.480653,-78067206.480653,0.0,-78067206.480653,0.26,0.3601631677516431,0.10658234488609292
1,1001,2,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,223.0,0.04,4.666958542253598,53.09195352737019,58.44975016601563,0.031166823165094337,1090.2589240941986,4.685000000000001,0.8427781439975767,468.50000000000085,0.2950000000000001,0.37346351896805124,29.50000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.090258923742359,1.222098956200409,109.02589237423592,127.1037760820741,483.5649280866241,12710.377608207416,127.1037760820741,483.5649280866241,12710.377608207416,1107827.7538403755,892597.0780454676,110782775.3840375,0.0,0.03,286.2149711549082,1101.4559911775862,297.11756039585015,1113.1048177398375,29711.756039585012,0.0,0.0,0.0,297.11756039585015,1113.1048177398375,29711.756039585012,0.0,0.0,0.0,-66179973.497115515,0.0,-66179973.497115515,-66179973.497115515,0.0,-66179973.497115515,0.16,0.345982829631115,0.06195938590067581
2,1502,3,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,206.0,0.05,4.811461150485985,221.31166474941764,147.33431682428952,-0.5787861226638529,1443.9927063415219,5.465000000000001,1.0673682588497748,546.500000000001,1.6649999999999994,1.5947648729514956,166.49999999999974,0.0,0.0,0.0,0.0,0.0,0.0,1.1991903097666832,2.5315318144982246,119.91903097666835,483.095115531936,2119.514278054156,48309.51155319359,483.095115531936,2119.514278054156,48309.51155319359,1831072.813428769,1780144.9101423796,183107281.34287688,0.0,0.05,1088.7289480697975,4766.437588405477,1103.1688751332126,4789.887021725396,110316.88751332127,0.0,0.0,0.0,1103.1688751332126,4789.887021725396,110316.88751332127,0.0,0.0,0.0,-105800026.89480698,0.0,-105800026.89480698,-105800026.89480698,0.0,-105800026.89480698,0.03,0.43144117440425184,0.19858479182154837
3,2003,4,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,327.0,0.06,4.9245765278569165,85.8559858891163,76.01280582591994,-0.058406240108540536,2356.958591243832,5.520000000000001,0.3218695387886216,552.000000000001,1.43,1.909476368012969,142.9999999999998,5.452587164744127,19.874457831438658,545.2587164744127,0.0,0.0,0.0,2.3899339880944748,5.413907748609693,238.9933988094474,291.7906877063362,892.0762274110194,29179.068770633658,291.7906877063362,892.0762274110194,29179.068770633658,1616634.091869305,1268085.8052349312,161663409.18693045,0.0,0.13,663.9392227855656,1967.7462123402393,687.5088086980038,1990.9624092171737,68750.88086980038,0.0,0.0,0.0,687.5088086980038,1990.9624092171737,68750.88086980038,0.0,0.0,0.0,-93420393.92227854,0.0,-93420393.92227854,-93420393.92227854,0.0,-93420393.92227854,0.62,0.3749686108412469,0.1160067231053831
4,2504,5,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,497.5,0.1,3.901358735946217,223.13111050442913,194.66500167705448,0.2948141164476929,2162.676336744726,4.3900000000000015,1.1317685275708984,439.0000000000008,1.0299999999999998,1.2747941010218082,102.99999999999984,5.22275047957125,4.964080770823056,522.275047957125,0.0,0.0,0.0,2.29589340391803,5.737659083879866,229.58934039180272,879.9066046415033,3386.270385179586,87990.66046415034,879.9066046415033,3386.270385179586,87990.66046415034,1279026.7288931855,1537733.0205470591,127902672.88931853,0.0,0.65,1713.6071230557332,6792.165216374403,1735.23388642318,6821.080035972274,173523.388642318,0.0,0.0,0.0,1735.23388642318,6821.080035972274,173523.388642318,0.0,0.0,0.0,-71245125.7123057,0.0,-71245125.7123057,-71245125.7123057,0.0,-71245125.7123057,0.13,0.4138339780510085,0.17551234086014803
5,3005,6,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,211.0,0.04,3.450031291573685,33.27376295014341,22.97595798371958,-0.6190886552370287,1311.013006617827,4.450000000000001,0.9069178573608527,445.00000000000074,0.6849999999999997,0.7518477239441508,68.50000000000001,8.99629582464144,62.97407077249009,899.6295824641439,0.0,0.0,0.0,0.6841226963621816,1.5552928365432508,68.41226963621813,78.61648927882142,227.48735511846823,7861.648927882142,78.61648927882142,227.48735511846823,7861.648927882142,996023.5029824796,801333.3300589501,99602350.29824804,0.0,0.06,189.5625807210004,516.9893855030539,202.67271078717874,533.8111277893307,20267.27107871787,0.0,0.0,0.0,202.67271078717874,533.8111277893307,20267.27107871787,0.0,0.0,0.0,-57459177.258072086,0.0,-57459177.258072086,-57459177.258072086,0.0,-57459177.258072086,0.07,0.3484095915066855,0.07086630300858773
6,3506,7,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,852.0,0.17,3.293822405931143,159.92588605829107,120.90193025107524,-0.1588246844042176,5033.264651167079,3.840000000000001,1.0331505214633536,384.00000000000045,2.860000000000001,1.4447837208385204,285.99999999999994,24.945829709788132,216.70003882741645,2494.582970978813,23.520353726371663,204.31717946584976,2352.035372637167,4.625828401668245,6.410674482232033,462.5828401668248,1172.1862124232307,2814.345926994878,117218.62124232313,1172.1862124232307,2814.345926994878,117218.62124232313,1576110.659205067,1473127.4566330046,157611065.92050675,0.1,0.45,2424.049698810885,5738.105559188597,2474.3823453225555,5769.572214530452,247438.23453225553,0.0,0.0,0.0,2474.3823453225555,5769.572214530452,247438.23453225553,0.0,0.0,0.0,-80646848.96988113,0.0,-80646848.96988113,-80646848.96988113,0.0,-80646848.96988113,0.22,0.343407474196096,0.08495378937688979
7,4007,8,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,247.5,0.06,4.096658442794815,255.99337241394005,147.52481102616346,-0.23609484183858712,1904.0698905760198,4.6400000000000015,0.15297058540778358,464.0000000000008,0.6949999999999997,0.9738968117824393,69.50000000000006,57.860346760225184,575.7031813305676,5786.034676022518,0.0,0.0,0.0,1.377073794218868,3.82564087650517,137.70737942188686,631.9368620306118,2605.5210955376597,63193.68620306118,631.9368620306118,2605.5210955376597,63193.68620306118,1130098.8181440278,1032525.3258532155,113009881.81440282,0.0,0.01,1311.6310865434175,5331.070098137207,1330.6717854491772,5362.529437259499,133067.17854491778,0.0,0.0,0.0,1330.6717854491772,5362.529437259499,133067.17854491778,0.0,0.0,0.0,-63502048.10865436,0.0,-63502048.10865436,-63502048.10865436,0.0,-63502048.10865436,0.92,0.42239755687092223,0.1833940480588851
8,4508,9,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,430.0,0.08,3.8899059689876756,121.62991976816821,134.81288919421962,-0.5442012784160031,3356.753065949547,4.655000000000002,0.3667083309661781,465.5000000000008,1.7749999999999995,1.513893985720268,177.49999999999972,0.0,0.0,0.0,0.15931144351037668,1.5851288488014577,15.931144351037668,3.7288944993641655,5.265141729681595,372.88944993641655,430.1538829694969,1844.779510048535,43015.388296949684,430.1538829694969,1844.779510048535,43015.388296949684,1217000.3975910882,1048133.5589906025,121700039.75910886,0.01,0.03,1100.1748687754475,4114.989234028869,1133.7423994349433,4139.140440250001,113374.23994349432,0.0,0.0,0.0,1133.7423994349433,4139.140440250001,113374.23994349432,0.0,0.0,0.0,-68906265.48687755,0.0,-68906265.48687755,-68906265.48687755,0.0,-68906265.48687755,0.1,0.3810744162771227,0.14514402599912654
9,5009,10,500,100,100,100,random_0.25,random,"normal_[0, 1]",100,0.5,50,0.1,75,0,0.5,0.95,0.1,341.5,0.07,3.9844671205759328,138.93363507487942,112.10164006215213,-0.09081260816306935,2542.6303653139607,4.085000000000002,0.9885722027247175,408.5000000000005,0.8599999999999998,0.9656086163658649,85.99999999999991,20.371054939200288,142.5973846013154,2037.105493920029,12.604590243630179,88.23213172206393,1260.459024363018,3.2432256872004763,3.0222987505073995,324.32256872004774,464.58582542438836,1633.0226677406363,46458.582542438824,464.58582542438836,1633.0226677406363,46458.582542438824,1009645.4876479744,1295219.993301221,100964548.76479745,0.03,0.11,1291.8074935231919,4150.966480574358,1317.2337971763316,4180.733509243201,131723.37971763316,0.0,0.0,0.0,1317.2337971763316,4180.733509243201,131723.37971763316,0.0,0.0,0.0,-56300144.74935233,0.0,-56300144.74935233,-56300144.74935233,0.0,-56300144.74935233,0.17,0.42537905118175406,0.1838615011408568
