,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,445.74967339445703,0.09,4.972546922946023,192.4888153789924,198.81543282065527,-0.45532589205611024,2661.4906131810712,5.090000000000001,1.284484332329515,509.0000000000009,5.350000000000001,2.1289668856043766,535.000000000001,100.95072288443848,810.6377221972484,10095.072288443846,0.0,0.0,0.0,4.505605938713155,12.143812960219634,450.56059387131563,640.6151748001187,2544.9375072200996,64061.51748001184,640.6151748001187,2544.9375072200996,64061.51748001184,1203782.1339006156,858186.2964939316,120378213.39006154,0.0,0.53,1209.3153019382753,4632.730061707965,1235.9302080700863,4654.5528083701,123593.0208070086,0.0,0.0,0.0,1235.9302080700863,4654.5528083701,123593.0208070086,0.0,0.0,0.0,-67533376.53019385,0.0,-67533376.53019385,-67533376.53019385,0.0,-67533376.53019385,0.2,0.3584282452210876,0.09534027600565019
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,290.5,0.07,4.145385577545266,229.2832948477351,166.43752407358025,-0.17859260000474814,2490.8733368520066,3.8550000000000013,1.0688662217508793,385.50000000000057,2.715000000000001,2.0271346773216625,271.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.3815233652049814,4.256491574698144,238.15233652049855,662.0590455713223,2701.6776709532764,66205.90455713215,662.0590455713223,2701.6776709532764,66205.90455713215,1263648.6849634899,1640444.6286866197,126364868.496349,0.12,0.25,1565.9846485670007,5564.721165300918,1590.8933819355211,5594.828531673692,159089.3381935521,0.0,0.0,0.0,1590.8933819355211,5594.828531673692,159089.3381935521,0.0,0.0,0.0,-65454714.46485674,0.0,-65454714.46485674,-65454714.46485674,0.0,-65454714.46485674,0.74,0.4922387915978094,0.24211591699643675
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,427.5,0.08,4.776874255323825,155.07928716984887,147.70718518050856,0.07956831577556578,3844.474824743101,4.370000000000001,1.4788847149118824,437.00000000000057,4.260000000000002,2.0048441335924343,426.0000000000006,0.0,0.0,0.0,0.0,0.0,0.0,3.066609538469095,8.396031345457633,306.6609538469094,598.6760847604025,2100.7808334035876,59867.608476040274,598.6760847604025,2100.7808334035876,59867.608476040274,1136494.4269801925,753357.4530706855,113649442.69801927,0.0,0.37,1399.972865336429,4216.721744193882,1438.41761358386,4241.724440323011,143841.761358386,0.0,0.0,0.0,1438.41761358386,4241.724440323011,143841.761358386,0.0,0.0,0.0,-62424208.286533654,0.0,-62424208.286533654,-62424208.286533654,0.0,-62424208.286533654,0.44,0.3515371675464614,0.08575287198004866
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,307.5,0.06,3.8377086252751376,119.0415906464242,126.63026417871355,-0.3335164885173905,2230.437443492384,3.280000000000001,1.312478571253641,328.00000000000034,3.6450000000000014,1.6402667465994667,364.50000000000034,0.0,0.0,0.0,0.0,0.0,0.0,2.0785629140211297,2.850404260771331,207.85629140211304,326.99733068180524,1520.7099557330112,32699.733068180532,326.99733068180524,1520.7099557330112,32699.733068180532,937847.6385388428,591012.7933134928,93784763.85388426,0.31,0.7,723.875807685974,3407.928247818074,746.180182120898,3426.642001850841,74618.01821208981,0.0,0.0,0.0,746.180182120898,3426.642001850841,74618.01821208981,0.0,0.0,0.0,-49295567.580768615,0.0,-49295567.580768615,-49295567.580768615,0.0,-49295567.580768615,0.3,0.3564267563176237,0.09071323596656837
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,291.5,0.06,4.654412841900121,175.97391864037343,147.87197553706977,-0.3048980161367115,3330.2655263626084,3.735000000000001,1.4210119633556926,373.5000000000004,3.575000000000001,2.1370248009791557,357.5000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.3449412513458174,3.3180213874510422,334.4941251345815,489.495697793617,1987.9382723664582,48949.56977936171,489.495697793617,1987.9382723664582,48949.56977936171,1306026.9897847853,1210531.2649418702,130602698.97847861,0.06,0.59,1104.3785967593865,4460.949453333309,1137.681252023013,4479.623146586387,113768.12520230128,0.0,0.0,0.0,1137.681252023013,4479.623146586387,113768.12520230128,0.0,0.0,0.0,-66686811.859675966,0.0,-66686811.859675966,-66686811.859675966,0.0,-66686811.859675966,0.0,0.34493702560375045,0.07490150223257531
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,224.0,0.05,4.843060539860597,226.59330185549788,213.26658206071951,-0.3324313060688149,1257.6943653223332,4.0950000000000015,1.1302543961427443,409.50000000000057,3.640000000000001,2.031846450891405,364.0000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.954642857142705,3.362514149124335,95.46428571427042,459.8022826956309,2549.1701818365664,45980.22826956322,459.8022826956309,2549.1701818365664,45980.22826956322,1181446.8413266777,1527337.7532520252,118144684.1326677,0.0,0.62,882.3901333917128,4783.291863222715,894.967077044936,4804.704619821243,89496.70770449363,0.0,0.0,0.0,894.967077044936,4804.704619821243,89496.70770449363,0.0,0.0,0.0,-64657216.0133392,0.0,-64657216.0133392,-64657216.0133392,0.0,-64657216.0133392,0.38,0.3404140682204767,0.05836675129685269
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,318.0,0.06,4.822261062564809,168.2167401150759,198.00986827993128,-0.6558283887817363,3327.0108190371925,4.395000000000001,1.3211642592804271,439.5000000000007,4.010000000000002,2.223038461205743,401.0000000000005,59.841875354849414,595.419141909754,5984.187535484942,0.0,0.0,0.0,0.435,3.1911244099846683,43.5,412.77142060103733,2339.7690106617197,41277.14206010372,412.77142060103733,2339.7690106617197,41277.14206010372,1271197.1316536712,1154035.2424182645,127119713.16536708,0.01,0.65,902.89066672078,3258.142757588085,936.1607749111519,3278.7731649463926,93616.07749111524,0.0,0.0,0.0,936.1607749111519,3278.7731649463926,93616.07749111524,0.0,0.0,0.0,-67446340.06667207,0.0,-67446340.06667207,-67446340.06667207,0.0,-67446340.06667207,0.35,0.34937276909348663,0.07749546447262605
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,500.0,0.09,3.308238463016895,96.39077980120939,79.68435854996615,0.5125073983554622,2175.716932471141,3.3150000000000013,1.3679455398516416,331.5000000000002,3.1900000000000013,1.9214317578306022,319.0000000000001,0.5782467430530118,3.2880501667699327,57.82467430530118,0.0,0.0,0.0,2.1757169324711527,2.8595968885991576,217.57169324711526,460.3042797662347,1211.6691052227889,46030.42797662349,460.3042797662347,1211.6691052227889,46030.42797662349,783244.8430135137,788597.8763388189,78324484.30135137,0.0,0.5,1031.5637884776306,2720.8611589566112,1053.3209578023423,2745.0646401244085,105332.09578023423,0.0,0.0,0.0,1053.3209578023423,2745.0646401244085,105332.09578023423,0.0,0.0,0.0,-39534076.37884772,0.0,-39534076.37884772,-39534076.37884772,0.0,-39534076.37884772,0.5,0.34382265857530775,0.06876853570657929
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,433.0,0.08,2.859557261755111,100.8519844599733,124.90726918345436,0.2501951665522341,3020.551393807128,3.205000000000001,1.0471270219032647,320.5000000000002,2.095,1.7414002986102874,209.49999999999966,0.15794072101393225,1.1055850470975257,15.794072101393226,0.0,0.0,0.0,2.5094265164455005,2.5518199238465407,250.94265164455004,350.0290854391545,1643.6015438046838,35002.90854391544,350.0290854391545,1643.6015438046838,35002.90854391544,887837.4255658472,856705.7828984217,88783742.55658469,0.0,0.28,830.2343999525249,3203.6599038732743,860.4399138905962,3224.272007171244,86043.9913890596,0.0,0.0,0.0,860.4399138905962,3224.272007171244,86043.9913890596,0.0,0.0,0.0,-46598768.439995244,0.0,-46598768.439995244,-46598768.439995244,0.0,-46598768.439995244,0.0,0.4950495818898871,0.24137642916337293
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,391.5,0.07,3.576790378406184,98.70477591889237,99.0289788910397,-0.7263626934301881,2192.6962917914034,3.3550000000000013,1.3702098379445389,335.5000000000003,2.990000000000001,1.81738823590338,298.99999999999994,0.5660972376124743,2.7733018253880393,56.60972376124742,0.0,0.0,0.0,1.7633908647124719,3.4672608536928853,176.33908647124696,331.61690742218923,1297.3563552541736,33161.69074221892,331.61690742218923,1297.3563552541736,33161.69074221892,781032.3172704056,978108.91109127,78103231.72704057,0.02,0.42,824.6470279306966,2611.2688653475643,846.5739908486108,2638.75916848044,84657.3990848611,0.0,0.0,0.0,846.5739908486108,2638.75916848044,84657.3990848611,0.0,0.0,0.0,-42021850.70279312,0.0,-42021850.70279312,-42021850.70279312,0.0,-42021850.70279312,0.43,0.3521435883194666,0.07857062383005681
