,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,366.0,0.07,3.5266996814960194,124.29898953385421,129.80215570986425,-0.37159489121561273,2327.2554422528447,3.135000000000001,1.1942675579617825,313.5000000000001,3.640000000000001,1.611955334368791,364.0000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.3781843028450038,2.5721119715903042,137.81843028450038,372.6271077946364,1719.289020422503,37262.71077946367,372.6271077946364,1719.289020422503,37262.71077946367,787888.0116713573,983902.1680480895,78788801.16713573,0.0,0.62,840.7678105784755,3742.7252181161934,864.0403650010039,3765.206050667367,86404.03650010044,0.0,0.0,0.0,864.0403650010039,3765.206050667367,86404.03650010044,0.0,0.0,0.0,-40772814.78105783,0.0,-40772814.78105783,-40772814.78105783,0.0,-40772814.78105783,0.25,0.3429846020499106,0.07048245536499397
1,1001,2,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,416.0,0.08,3.3350316429550237,115.27644818737883,136.76034591677964,0.1670488278027475,3061.175592867772,3.215000000000001,1.3131165218669665,321.5000000000003,3.575000000000001,1.728257793270437,357.5000000000005,0.38169089789403027,2.170386319599167,38.169089789403024,0.0,0.0,0.0,4.509920085615482,4.705120169994936,450.9920085615481,402.7793390458006,1825.0569529159488,40277.93390458008,402.7793390458006,1825.0569529159488,40277.93390458008,906422.4678969571,746251.9928110688,90642246.78969574,0.14,0.6,953.5275846686367,3539.7066838487335,984.1393405973143,3562.544083686514,98413.93405973141,0.0,0.0,0.0,984.1393405973143,3562.544083686514,98413.93405973141,0.0,0.0,0.0,-46662283.75846686,0.0,-46662283.75846686,-46662283.75846686,0.0,-46662283.75846686,0.05,0.35130036674587123,0.08626129204567383
2,1502,3,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,437.5528318503456,0.09,5.24629824927612,197.27571789321186,191.63968692006188,0.19372211888600405,2944.318640505479,5.065000000000001,1.7018445874991053,506.5000000000009,5.185000000000001,2.3249247299643914,518.5000000000009,1.918225131123063,14.566370014769555,191.8225131123063,0.3165071466353054,2.403451052436978,31.65071466353054,4.741566246182452,13.424849735164669,474.1566246182453,651.0499646842775,2126.3928148131563,65104.99646842773,651.0499646842775,2126.3928148131563,65104.99646842773,1399830.320169176,1454604.3251151422,139983032.01691762,0.0,0.21,1471.8857858845167,4618.787984175158,1501.3289722895715,4642.19735793574,150132.89722895715,0.0,0.0,0.0,1501.3289722895715,4642.19735793574,150132.89722895715,0.0,0.0,0.0,-78051335.57858846,0.0,-78051335.57858846,-78051335.57858846,0.0,-78051335.57858846,0.69,0.3530773669539117,0.07803223439324432
3,2003,4,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,292.0,0.06,4.828490805636685,202.52333960189569,192.0437225575035,-0.6635743020444484,2376.0581897013885,4.295000000000002,1.4193220212481732,429.5000000000007,3.695000000000001,2.337407752190447,369.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2.376058189701291,3.7021964909643303,237.60581897012918,507.5624163931079,2484.8990574758964,50756.2416393107,507.5624163931079,2484.8990574758964,50756.2416393107,1148775.8028331453,1574442.4680267342,114877580.28331456,0.15,0.5,1137.0822971972725,5586.33363982219,1160.842879094286,5607.8770398724255,116084.28790942859,0.0,0.0,0.0,1160.842879094286,5607.8770398724255,116084.28790942859,0.0,0.0,0.0,-59289264.22971973,0.0,-59289264.22971973,-59289264.22971973,0.0,-59289264.22971973,0.5,0.36128918271696603,0.10431905854117272
4,2504,5,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,314.0,0.05,4.064160904850439,73.9157605317447,74.97851849781159,-0.7699461663927951,1336.7936701896758,3.555000000000001,1.1813022475217763,355.5000000000004,3.665000000000001,1.6103648654885636,366.50000000000045,0.0,0.0,0.0,0.0,0.0,0.0,1.2584372261049648,1.7080235033627038,125.84372261049637,201.25827549685465,777.794902165448,20125.827549685426,201.25827549685465,777.794902165448,20125.827549685426,860889.7393011998,833867.3816722542,86088973.93011995,0.0,0.67,451.76802256242195,1746.1873997425762,465.1359592643189,1762.7464181478133,46513.59592643188,0.0,0.0,0.0,465.1359592643189,1762.7464181478133,46513.59592643188,0.0,0.0,0.0,-45791945.80225624,0.0,-45791945.80225624,-45791945.80225624,0.0,-45791945.80225624,0.33,0.34185063128249843,0.06458753562432462
5,3005,6,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,406.0,0.07,4.201102797769093,97.65309447928298,80.127667332401,0.28926378307377454,1745.6491464510402,4.040000000000002,1.3024592124131948,404.0000000000006,3.735000000000001,1.908998428495948,373.50000000000034,28.38782205988521,196.33492495267691,2838.7822059885207,0.0,0.0,0.0,1.7456491464510697,2.2157664805391413,174.5649146451066,374.8289760297623,1076.7929449964195,37482.89760297625,374.8289760297623,1076.7929449964195,37482.89760297625,1143853.4000810413,856455.3715373089,114385340.00810415,0.0,0.48,776.982280333208,2225.9322173113765,794.4387717977187,2246.062457499854,79443.87717977184,0.0,0.0,0.0,794.4387717977187,2246.062457499854,79443.87717977184,0.0,0.0,0.0,-59569264.22803335,0.0,-59569264.22803335,-59569264.22803335,0.0,-59569264.22803335,0.0,0.3461986945714053,0.07661994091720929
6,3506,7,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,433.5,0.08,4.359002782293931,123.08910647862558,126.38547243021539,-0.15368870436105972,2109.1236152959873,4.155000000000002,1.2745489398214567,415.5000000000006,4.500000000000001,1.7944358444926358,450.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,1.6054324393595414,2.3781795305419746,160.54324393595425,482.21590188422726,1735.4702380299718,48221.59018842275,482.21590188422726,1735.4702380299718,48221.59018842275,884887.582802422,1181338.3996921342,88488758.2802422,0.0,0.5,1124.3048787851492,3907.3897534535968,1145.396114938109,3928.449789937034,114539.61149381095,0.0,0.0,0.0,1145.396114938109,3928.449789937034,114539.61149381095,0.0,0.0,0.0,-48411552.48787845,0.0,-48411552.48787845,-48411552.48787845,0.0,-48411552.48787845,0.5,0.3463519232608115,0.07520545842735163
7,4007,8,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,300.0,0.06,4.6287058868993425,160.15623982587726,191.3123796381736,-0.4712299913110749,2223.406732212699,4.310000000000001,1.2024558203942461,431.0000000000006,4.5950000000000015,1.7881484837674972,459.50000000000085,0.0,0.0,0.0,0.0,0.0,0.0,1.9102189764908655,4.519797124173774,191.02189764908658,391.4392069428255,2248.2696789602774,39143.9206942825,391.4392069428255,2248.2696789602774,39143.9206942825,966035.0543083944,704467.5819965914,96603505.43083943,0.11,0.48,722.766980166943,3534.5677484580897,745.00104748907,3554.8336293856632,74500.10474890699,0.0,0.0,0.0,745.00104748907,3554.8336293856632,74500.10474890699,0.0,0.0,0.0,-55202729.69801671,0.0,-55202729.69801671,-55202729.69801671,0.0,-55202729.69801671,0.38,0.35366039488049156,0.08730422680191102
8,4508,9,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,488.0,0.09,3.132357125448424,65.49758562589506,81.34265844682594,0.05244566790174911,3360.3295711003047,3.365000000000001,1.1542421756286674,336.5000000000003,3.575000000000001,1.6238457439054979,357.50000000000034,0.0,0.0,0.0,0.024464285714285713,0.24341656943501233,2.446428571428571,4.785545789875608,4.941939415877452,478.55457898756106,296.6075669144886,1083.0817815091316,29660.75669144886,296.6075669144886,1083.0817815091316,29660.75669144886,954682.5344213765,889090.1835665231,95468253.44213767,0.09,0.42,742.3807682393938,2434.63317336216,775.9840639503968,2452.6283380968134,77598.40639503971,0.0,0.0,0.0,775.9840639503968,2452.6283380968134,77598.40639503971,0.0,0.0,0.0,-49971252.07682395,0.0,-49971252.07682395,-49971252.07682395,0.0,-49971252.07682395,0.07,0.3703530117600683,0.13275724503335984
9,5009,10,500,100,100,100,powerlaw_cluster_4_0.7,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,329.0,0.06,4.236881181379304,93.61460418062315,83.75875167432679,0.8009290585263887,2903.6853175538054,4.175000000000002,0.9549214627392139,417.5000000000007,3.890000000000001,1.9328476401413532,389.00000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.7172131231671596,2.5615486726676346,71.72131231671595,304.191146172197,1001.4078286853082,30419.114617219715,304.191146172197,1001.4078286853082,30419.114617219715,1263557.080967428,1262110.208508859,126355708.09674281,0.03,0.51,1020.2675548766366,2529.831333430162,1049.3044080521745,2556.9314959228695,104930.44080521744,0.0,0.0,0.0,1049.3044080521745,2556.9314959228695,104930.44080521744,0.0,0.0,0.0,-64924929.75548767,0.0,-64924929.75548767,-64924929.75548767,0.0,-64924929.75548767,0.0,0.3526904680632204,0.0930323161946975
