,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1102.0,0.27,2.2937173015369137,205.81831407584903,116.11849070107235,0.9056371272282296,8264.865566222808,1.29,0.9585927185202274,128.99999999999977,2.39,0.9305374790947434,238.99999999999963,39.585893922294666,236.01020261172906,3958.5893922294667,0.04889442369012062,0.2748399843793549,4.889442369012062,6.569900689421152,14.843059592816166,656.9900689421152,2107.6316495811147,4081.7264791832736,210763.1649581116,2107.6316495811147,4081.7264791832736,210763.1649581116,4177398.903995192,4143381.568893135,417739890.39951926,0.0,0.66,5603.36597808194,8748.215457357455,5686.01463374417,8786.116118349286,568601.4633744168,0.0,0.0,0.0,5686.01463374417,8786.116118349286,568601.4633744168,0.0,0.0,0.0,-193258458.59780803,0.0,-193258458.59780803,-193258458.59780803,0.0,-193258458.59780803,0.0,0.3414466921095156,0.11782855639841121
1,1001,2,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1437.4350727724545,0.33,2.0468429758900197,166.53253543642663,125.48228506462806,0.9176708737948938,6878.503041855477,1.3349999999999997,0.8557306819321134,133.49999999999977,2.025,0.9781998773256926,202.49999999999963,28.88490825153641,194.4038284417183,2888.490825153641,0.0,0.0,0.0,7.470113803510714,16.17265694549041,747.0113803510718,2084.1107307163406,3920.4554395513514,208411.07307163413,2084.1107307163406,3920.4554395513514,208411.07307163413,3641978.5251039024,4190925.8528504246,364197852.51039004,0.0,0.43,4570.698702077012,8587.68514383324,4639.483732495566,8625.794761050443,463948.37324955664,0.0,0.0,0.0,4639.483732495566,8625.794761050443,463948.37324955664,0.0,0.0,0.0,-169888198.8702078,0.0,-169888198.8702078,-169888198.8702078,0.0,-169888198.8702078,0.0,0.3424330761223945,0.11341344702531468
2,1502,3,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1822.0,0.39,2.544924491111846,191.9099686363883,149.02869350489556,0.9681265187930849,8077.641310902243,1.605,0.9499868420141409,160.49999999999972,2.6050000000000004,1.0874166634735738,260.49999999999966,9.791396941297487,65.75214664015911,979.1396941297488,0.0,0.0,0.0,9.61577573738917,10.338912360219771,961.577573738917,3002.8664789662325,4796.094506690142,300286.6478966233,3002.8664789662325,4796.094506690142,300286.6478966233,5030860.3946613865,4817283.580040973,503086039.46613854,0.0,0.61,6460.875102534591,10890.774560771475,6541.651515643612,10924.839445270492,654165.1515643614,0.0,0.0,0.0,6541.651515643612,10924.839445270492,654165.1515643614,0.0,0.0,0.0,-236052807.51025334,0.0,-236052807.51025334,-236052807.51025334,0.0,-236052807.51025334,0.0,0.3267952447622954,0.07194529676434262
3,2003,4,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1601.0729566631414,0.37,2.7186519892770593,224.11752091761042,162.53893917196345,0.92347910147942,7963.735257127132,1.2499999999999998,1.001249219725039,124.99999999999976,2.8750000000000013,1.2497499749949985,287.49999999999994,92.99457321986502,303.45568686570556,9299.457321986501,2.5340793180151833,15.080669682565972,253.40793180151834,8.903624924570943,17.504156550362186,890.3624924570943,3192.4995076099467,5390.618519115996,319249.95076099486,3192.4995076099467,5390.618519115996,319249.95076099486,4981088.248580738,5605675.787242779,498108824.8580739,0.0,0.54,6956.531694386266,11967.052522304903,7036.169046957537,12003.018167698965,703616.9046957539,0.0,0.0,0.0,7036.169046957537,12003.018167698965,703616.9046957539,0.0,0.0,0.0,-232520896.1694389,0.0,-232520896.1694389,-232520896.1694389,0.0,-232520896.1694389,0.0,0.32345706328134993,0.10657168278239652
4,2504,5,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,2141.0,0.51,2.0969685473971587,186.04170621551702,112.2393731432535,0.952241174793693,9440.01811120122,1.1349999999999998,0.7525124583686307,113.4999999999998,2.2900000000000005,0.9715451610707553,228.9999999999996,8.674261311103521,64.61543657716769,867.4261311103521,0.4578204632325222,4.5552560936669275,45.78204632325222,11.841707042831494,11.602914141468078,1184.1707042831495,3654.9099012577326,4503.393860402829,365490.9901257733,3654.9099012577326,4503.393860402829,365490.9901257733,4402711.050437344,4224795.877755391,440271105.0437342,0.0,0.46,7812.5528046770705,10130.815314999125,7906.952985789083,10169.580091734852,790695.2985789081,0.0,0.0,0.0,7906.952985789083,10169.580091734852,790695.2985789081,0.0,0.0,0.0,-203174244.2804676,0.0,-203174244.2804676,-203174244.2804676,0.0,-203174244.2804676,0.0,0.3267852472787805,0.07499158884064054
5,3005,6,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1561.0,0.37,2.7806380640617263,238.33983057335266,152.0054154200373,0.9169142715479273,7601.827128773987,1.775,1.042532973099652,177.49999999999972,2.995000000000001,1.221259595663428,299.5,7.797786371017844,55.686852690053534,779.7786371017844,0.0,0.0,0.0,6.93149008291189,9.650196750832851,693.1490082911893,3417.0012322726775,5443.767008730234,341700.12322726776,3417.0012322726775,5443.767008730234,341700.12322726776,5040838.070149339,5471373.683654969,504083807.0149338,0.0,0.49,7539.9842367139945,12067.665908435763,7616.002508001735,12109.112018945645,761600.2508001734,0.0,0.0,0.0,7616.002508001735,12109.112018945645,761600.2508001734,0.0,0.0,0.0,-239731537.42367163,0.0,-239731537.42367163,-239731537.42367163,0.0,-239731537.42367163,0.0,0.3493409390061879,0.12832514232518477
6,3506,7,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1210.5,0.28,2.7900597886602307,222.4952036220225,154.6818660372853,0.9049507371050128,6601.2882803461025,1.575,1.0158124826955022,157.49999999999972,2.8350000000000013,1.13678274089643,283.4999999999999,110.17102043440755,486.05211993403805,11017.102043440755,0.0,0.0,0.0,7.041590304793519,14.546575478819141,704.1590304793519,2439.994352148893,4758.181897525694,243999.4352148892,2439.994352148893,4758.181897525694,243999.4352148892,4492973.182773846,4810740.893623082,449297318.2773845,0.0,0.7,5486.972001217332,10463.771421761789,5552.984884020792,10501.503520592896,555298.4884020792,0.0,0.0,0.0,5552.984884020792,10501.503520592896,555298.4884020792,0.0,0.0,0.0,-213396500.20012188,0.0,-213396500.20012188,-213396500.20012188,0.0,-213396500.20012188,0.0,0.331481445717983,0.08621629882050441
7,4007,8,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1951.0,0.45,2.572938922045244,225.1434639708605,151.12600448914583,0.9636087549048984,8380.823328494116,1.545,0.9718410363840375,154.4999999999997,2.635000000000001,1.2354250280773817,263.49999999999966,26.910812173586447,154.29494889480546,2691.0812173586446,0.0,0.0,0.0,8.197081825811695,7.543853439702503,819.7081825811694,3907.3604444828484,5569.833433976738,390736.04444828484,3907.3604444828484,5569.833433976738,390736.04444828484,4824760.880190016,5247028.9242026545,482476088.0190017,0.0,0.52,8786.807657492072,12484.971798500013,8870.615890777015,12527.17644016062,887061.5890777016,0.0,0.0,0.0,8870.615890777015,12527.17644016062,887061.5890777016,0.0,0.0,0.0,-225249650.76574942,0.0,-225249650.76574942,-225249650.76574942,0.0,-225249650.76574942,0.0,0.32758627452197103,0.07030805584695458
8,4508,9,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,1405.0,0.3,3.4566591452826727,235.96453622556737,171.41688421784667,0.7955012415800724,6794.060012431508,2.325,1.3386093530227554,232.4999999999996,3.4300000000000015,1.1428473213863692,343.0000000000003,42.97860620229349,289.87784589818375,4297.8606202293495,0.0,0.0,0.0,5.3128541645727045,6.227181612896313,531.2854164572705,2896.8803268474476,5192.688030263968,289688.0326847447,2896.8803268474476,5192.688030263968,289688.0326847447,4332697.7349734055,5362151.097212132,433269773.4973407,0.0,0.59,6470.272657459362,11277.758591521828,6538.213257583678,11313.81889747711,653821.3257583675,0.0,0.0,0.0,6538.213257583678,11313.81889747711,653821.3257583675,0.0,0.0,0.0,-211493598.2657458,0.0,-211493598.2657458,-211493598.2657458,0.0,-211493598.2657458,0.0,0.3473125741105362,0.11618581294791208
9,5009,10,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,2393.5,0.57,1.900074582409733,170.53677952614512,121.21515218667568,0.9642735630274532,10087.083264928066,1.2999999999999998,0.9874208829065749,129.9999999999998,2.075,0.9229707470987365,207.49999999999963,14.223211958306932,85.08873271991528,1422.3211958306931,0.0,0.0,0.0,9.48332348627174,8.766292101974338,948.332348627174,3734.602399749191,4575.446720555203,373460.2399749193,3734.602399749191,4575.446720555203,373460.2399749193,4731227.385254019,4544595.029296417,473122738.5254019,0.0,0.65,8321.282501077747,10282.921184033174,8422.153333727027,10318.280376720173,842215.3333727026,0.0,0.0,0.0,8422.153333727027,10318.280376720173,842215.3333727026,0.0,0.0,0.0,-219052337.25010735,0.0,-219052337.25010735,-219052337.25010735,0.0,-219052337.25010735,0.0,0.3325350957579226,0.09933002529563677
