,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,367.0,0.06,3.102581844562271,27.09648466871666,26.273995175368185,0.42963585652762937,2045.0455356919751,3.845000000000001,2.0645762277038835,384.50000000000045,0.6599999999999997,0.9118113840043893,66.00000000000006,13.635680186068752,53.59474171180334,1363.5680186068755,0.0,0.0,0.0,1.4133831174016849,2.2413020764533025,141.33831174016842,104.07574817390109,222.51442438768854,10407.574817390112,104.07574817390109,222.51442438768854,10407.574817390112,800194.7400011927,744466.4051979817,80019474.0001193,0.0,0.28,225.91948054672727,357.3647859704089,246.36993590364705,368.9737247116198,24636.993590364702,0.0,0.0,0.0,246.36993590364705,368.9737247116198,24636.993590364702,0.0,0.0,0.0,-45546945.948054664,0.0,-45546945.948054664,-45546945.948054664,0.0,-45546945.948054664,0.08,0.41092288557157486,0.18909910150850548
1,1001,2,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,394.5,0.07,4.604920121973192,69.04376622458032,65.02461196848972,0.47108722370443046,2259.1272962406674,5.985000000000001,0.6117801892837001,598.5000000000011,0.7199999999999998,0.9003332716277901,72.0,12.497014776255252,42.278013671659124,1249.7014776255253,0.0,0.0,0.0,1.8206243314894288,2.8275497621226853,182.06243314894286,291.43974334460717,710.0855087100997,29143.974334460727,291.43974334460717,710.0855087100997,29143.974334460727,1271966.5149080346,857376.1314120692,127196651.49080342,0.0,0.09,552.4363255029369,1373.5477347582635,575.0275984653437,1387.7258549642543,57502.75984653436,0.0,0.0,0.0,575.0275984653437,1387.7258549642543,57502.75984653436,0.0,0.0,0.0,-74582974.63255031,0.0,-74582974.63255031,-74582974.63255031,0.0,-74582974.63255031,0.34,0.35856896833711716,0.10053707988762686
2,1502,3,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,219.0,0.04,3.809031999111395,33.61833867588659,33.80592061089199,-0.7216849368849944,1629.8655166954154,4.170000000000002,0.7550496672405067,417.0000000000006,0.275,0.6179603547154138,27.50000000000005,32.10602529435303,94.6767525187354,3210.602529435302,0.0,0.0,0.0,0.5330232558139498,1.166328014925104,53.30232558139497,83.8336394825851,264.41674211379365,8383.363948258513,83.8336394825851,264.41674211379365,8383.363948258513,746619.3307851398,628356.3488522054,74661933.07851401,0.0,0.62,313.4493819358447,1148.7345944598735,329.74803710279883,1165.1376730393417,32974.803710279884,0.0,0.0,0.0,329.74803710279883,1165.1376730393417,32974.803710279884,0.0,0.0,0.0,-44380877.93819354,0.0,-44380877.93819354,-44380877.93819354,0.0,-44380877.93819354,0.34,0.486138023079557,0.2553276295642273
3,2003,4,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,225.5,0.06,4.1494732058290404,249.96174152468282,165.3149858100772,-0.19603763518334938,1203.82140879593,4.080000000000002,0.7513986957667679,408.0000000000006,0.62,0.7173562573784382,62.0000000000001,50.33394755396276,500.81645476176436,5033.394755396276,0.0,0.0,0.0,1.5655698659044848,4.025583424549095,156.55698659044825,609.5139762932391,2659.9201015455365,60951.39762932397,609.5139762932391,2659.9201015455365,60951.39762932397,889455.8398560748,956981.201057963,88945583.98560749,0.0,0.04,1126.970187942836,4863.522884987936,1139.0084020307952,4891.010508323971,113900.84020307951,0.0,0.0,0.0,1139.0084020307952,4891.010508323971,113900.84020307951,0.0,0.0,0.0,-49805718.018794276,0.0,-49805718.018794276,-49805718.018794276,0.0,-49805718.018794276,0.07,0.5887562071196786,0.2544198596107614
4,2504,5,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,317.5,0.06,3.866686569989021,106.11177300782924,119.06542133493194,-0.38523685712766664,1899.3203948092582,4.110000000000002,1.2727529218194709,411.0000000000006,0.2750000000000001,0.4205650960315181,27.500000000000025,15.404961467092116,41.35538654311882,1540.4961467092116,0.0,0.0,0.0,0.9452894679725238,1.6675781800339884,94.52894679725232,293.9771179161127,1397.9305140680372,29397.711791611262,293.9771179161127,1397.9305140680372,29397.711791611262,890305.9408038594,725296.596800687,89030594.0803859,0.0,0.45,996.1473368009563,4022.745789197226,1015.1405407490489,4049.5584174941414,101514.0540749049,0.0,0.0,0.0,1015.1405407490489,4049.5584174941414,101514.0540749049,0.0,0.0,0.0,-51425491.733680114,0.0,-51425491.733680114,-51425491.733680114,0.0,-51425491.733680114,0.39,0.3997581895660324,0.15438936176544177
5,3005,6,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,197.5,0.05,4.525319443212245,273.1710903551517,206.1099064811593,-0.3890529900581663,1478.0666085985138,4.690000000000001,1.3553228397691823,469.0000000000008,0.6999999999999997,0.7071067811865475,70.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.2712153965410407,2.479930695878914,227.121539654104,525.7048332245596,2814.6387080521495,52570.48332245603,525.7048332245596,2814.6387080521495,52570.48332245603,986633.1588237084,889404.9259879796,98663315.88237084,0.0,0.08,1174.4712375733093,6010.018964648825,1189.2519036592944,6034.494926012904,118925.19036592943,0.0,0.0,0.0,1189.2519036592944,6034.494926012904,118925.19036592943,0.0,0.0,0.0,-55821126.123757355,0.0,-55821126.123757355,-55821126.123757355,0.0,-55821126.123757355,0.03,0.47827848405325624,0.22996265746584618
6,3506,7,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,597.691896916499,0.11,4.294408891007567,151.05783456555898,134.36309415683718,0.44081006802306555,3413.4705742996666,4.210000000000001,1.9932134858062744,421.0000000000006,0.7899999999999997,1.3798188286873028,78.99999999999999,71.4298094915641,343.1552747604312,7142.98094915641,0.5274508771567296,2.299109916727133,52.74508771567295,2.822596151777127,9.775236777422508,282.2596151777127,793.7384662350036,2096.128087981522,79373.84662350036,793.7384662350036,2096.128087981522,79373.84662350036,788014.4187601274,849829.1181258457,78801441.87601279,0.0,0.26,1332.3486911327075,2840.7207229871888,1366.483396875704,2865.418441760543,136648.33968757043,0.0,0.0,0.0,1366.483396875704,2865.418441760543,136648.33968757043,0.0,0.0,0.0,-44839614.869113274,0.0,-44839614.869113274,-44839614.869113274,0.0,-44839614.869113274,0.15,0.36915317389198166,0.09057636545931648
7,4007,8,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,311.5,0.07,2.3937711861475144,126.51205993254332,133.20462188218306,0.5234751285027917,1892.074279286233,3.840000000000001,0.9551963149007641,384.0000000000005,0.9549999999999997,0.9982359440533085,95.49999999999987,85.71365205948936,511.33097686012763,8571.365205948936,0.0,0.0,0.0,1.4855933345905592,3.0695918561741915,148.559333459056,371.35247700463026,1759.2981275125787,37135.24770046307,371.35247700463026,1759.2981275125787,37135.24770046307,673496.3578842499,664461.1685133091,67349635.78842497,0.0,0.12,654.5278282568427,2830.4853743410185,673.448571049705,2853.8762310527295,67344.8571049705,0.0,0.0,0.0,673.448571049705,2853.8762310527295,67344.8571049705,0.0,0.0,0.0,-39048949.7828257,0.0,-39048949.7828257,-39048949.7828257,0.0,-39048949.7828257,0.02,0.43710850838257703,0.20962147822521257
8,4508,9,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,157.0,0.04,3.0840314637242803,211.6920981981432,209.04401855539686,0.6583245952376462,1279.5818749258933,3.830000000000001,1.0474254150057654,383.00000000000045,0.9299999999999997,1.0611785900591852,92.99999999999989,0.625,2.724311839712921,62.5,0.0,0.0,0.0,1.5258055625543598,2.1251814313633415,152.58055625543633,318.66434117991327,2205.7223570809956,31866.434117991303,318.66434117991327,2205.7223570809956,31866.434117991303,808949.3679100939,1072786.7573410142,80894936.79100938,0.0,0.09,756.9383723072621,4958.069044291346,769.7341910565208,4978.060931122108,76973.41910565206,0.0,0.0,0.0,769.7341910565208,4978.060931122108,76973.41910565206,0.0,0.0,0.0,-47357365.837230675,0.0,-47357365.837230675,-47357365.837230675,0.0,-47357365.837230675,0.0,0.6006080227210022,0.2417220019475843
9,5009,10,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,336.0,0.06,3.586972921745199,51.482915616725116,67.80791502800831,0.22622340764115337,2307.9567501400434,4.415000000000001,1.5790107662710853,441.5000000000007,0.59,0.7936623967405789,59.0000000000001,0.7212057944190701,2.854614772695326,72.12057944190701,0.0,0.0,0.0,1.7222067363530755,3.031048525993106,172.22067363530758,173.3612410352904,694.2738357996401,17336.12410352903,173.3612410352904,694.2738357996401,17336.12410352903,778051.6068949018,688493.2498215275,77805160.68949023,0.0,0.11,623.2193216503874,1822.632188431042,646.2988891517878,1841.951362598703,64629.8889151788,0.0,0.0,0.0,646.2988891517878,1841.951362598703,64629.8889151788,0.0,0.0,0.0,-45458233.932165,0.0,-45458233.932165,-45458233.932165,0.0,-45458233.932165,0.1,0.3847000106267559,0.16057711599379404
