,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,643.0,0.13,3.3178501011453343,149.16523701322168,145.5653665884104,0.09634392819745138,6016.51402632163,3.5000000000000018,1.1313708498984758,350.00000000000034,3.8800000000000012,1.2536347155371852,388.0000000000005,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,5.874173791501789,4.048314770965994,587.4173791501788,804.4540667786148,2674.025863276422,80445.40667786145,804.4540667786148,2674.025863276422,80445.40667786145,2211913.6654727417,1422003.8619894767,221191366.5472741,0.21,0.6,1819.0898620407077,5590.232940419353,1879.255002303924,5613.454599146615,187925.5002303924,0.0,0.0,0.0,1879.255002303924,5613.454599146615,187925.5002303924,0.0,0.0,0.0,-119995165.986204,0.0,-119995165.986204,-119995165.986204,0.0,-119995165.986204,0.05,0.3557387808292957,0.10513397423128153
1,1001,2,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,925.5,0.17,3.8979155483917727,143.05310454540603,122.1432615310374,-0.04384324232918724,8793.87068583637,4.125000000000002,1.0591860082157427,412.5000000000007,3.8350000000000017,1.4772525173442757,383.50000000000034,0.0,0.0,0.0,0.0,0.0,0.0,9.045727613092003,3.825649633690853,904.5727613091998,1157.8089749935682,2563.781869457221,115780.89749935681,1157.8089749935682,2563.781869457221,115780.89749935681,2764667.521643269,1414405.119460399,276466752.1643269,0.55,0.7,2247.521271906041,5056.547359036901,2335.4599787644042,5073.973639812879,233545.99787644038,0.0,0.0,0.0,2335.4599787644042,5073.973639812879,233545.99787644038,0.0,0.0,0.0,-154167485.12719044,0.0,-154167485.12719044,-154167485.12719044,0.0,-154167485.12719044,0.0,0.3767859174188795,0.1338614948190778
2,1502,3,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,629.0,0.13,3.7171938722749136,186.1288970855208,155.36326673740714,0.24291067726088142,8140.5610929044215,4.7200000000000015,1.3566871415326378,472.00000000000085,5.170000000000001,1.4697278659670299,517.0000000000009,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,6.836369109294258,4.536234768703782,683.636910929426,1022.095122344719,3062.0212544480346,102209.51223447193,1022.095122344719,3062.0212544480346,102209.51223447193,2701339.453018944,1412344.2787497495,270133945.3018944,0.1,0.22,2117.8799161026623,5792.692831056318,2199.285527031707,5810.814684498814,219928.55270317075,0.0,0.0,0.0,2199.285527031707,5810.814684498814,219928.55270317075,0.0,0.0,0.0,-149971324.9916103,0.0,-149971324.9916103,-149971324.9916103,0.0,-149971324.9916103,0.0,0.35601708412631866,0.1062243658492605
3,2003,4,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,788.0,0.16,3.156678749315735,145.4665499803433,107.71363354055507,0.05047939955596886,9159.938373138826,3.4800000000000013,1.0490948479522713,348.0000000000003,3.8150000000000017,1.1118790401837781,381.5000000000005,34.820498537620075,267.04345317250426,3482.0498537620074,21.527523313902424,165.23534407014307,2152.7523313902425,8.80655256879258,4.024309027986387,880.6552568792581,1036.48295147091,2435.9613523564217,103648.29514709105,1036.48295147091,2435.9613523564217,103648.29514709105,2394144.324473556,1617791.7543129434,239414432.44735572,0.62,0.8,2382.153446936989,5011.339314781923,2473.752830668377,5027.9923213190195,247375.2830668378,0.0,0.0,0.0,2473.752830668377,5027.9923213190195,247375.2830668378,0.0,0.0,0.0,-129036196.34469363,0.0,-129036196.34469363,-129036196.34469363,0.0,-129036196.34469363,0.0,0.44003962552127357,0.2207281160562174
4,2504,5,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,574.5,0.1,3.3979136208237386,87.6463450281199,95.04700851707602,0.24896105787498374,7359.503283426563,3.675000000000001,1.4060138690638861,367.5000000000004,4.380000000000002,1.355212160512146,438.0000000000008,0.0,0.0,0.0,0.0,0.0,0.0,8.405230304757874,5.957893216054204,840.5230304757876,440.7165467413986,1385.465498521107,44071.65467413985,440.7165467413986,1385.465498521107,44071.65467413985,2110672.665058909,969669.4725428661,211067266.50589088,0.45,0.75,1070.7607832172157,2194.056302639721,1144.3558160514817,2205.657981054413,114435.58160514818,0.0,0.0,0.0,1144.3558160514817,2205.657981054413,114435.58160514818,0.0,0.0,0.0,-115313940.07832171,0.0,-115313940.07832171,-115313940.07832171,0.0,-115313940.07832171,0.0,0.3527008206406567,0.11871929068274636
5,3005,6,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,613.0,0.13,4.1373862660369,230.13820008893526,160.88356007234145,-0.12388520198332773,8428.060770096028,4.320000000000002,1.3159027319676786,432.00000000000074,4.610000000000002,1.6186105152259451,461.0000000000008,0.0,0.0,0.0,0.0,0.0,0.0,8.070023286369144,4.6075431342062805,807.0023286369144,1243.0274646809773,3543.841025707488,124302.74646809777,1243.0274646809773,3543.841025707488,124302.74646809777,2898229.927240214,1551964.5074011807,289822992.7240214,0.18,0.23,2302.849674331539,6735.9016794662075,2387.1302820324986,6754.559571661971,238713.02820324994,0.0,0.0,0.0,2387.1302820324986,6754.559571661971,238713.02820324994,0.0,0.0,0.0,-159314132.96743315,0.0,-159314132.96743315,-159314132.96743315,0.0,-159314132.96743315,0.11,0.3781776970767612,0.13670216713889316
6,3506,7,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,635.0,0.13,3.2543741969241378,164.43190149895648,131.8910128262089,-0.21912956402037703,7576.456816564898,3.5650000000000013,1.2394656106564634,356.5000000000004,4.445000000000002,1.2118065027057743,444.5000000000008,0.0,0.0,0.0,0.0,0.0,0.0,7.832956816564896,5.928681062058217,783.2956816564895,885.9589858841437,2678.440942829856,88595.89858841435,885.9589858841437,2678.440942829856,88595.89858841435,2015977.2350559395,1493605.544450993,201597723.505594,0.28,0.4,1890.2291059504557,5566.275481829549,1965.9936741161046,5588.702817459287,196599.3674116104,0.0,0.0,0.0,1965.9936741161046,5588.702817459287,196599.3674116104,0.0,0.0,0.0,-109983697.9105949,0.0,-109983697.9105949,-109983697.9105949,0.0,-109983697.9105949,0.0,0.4324483572995155,0.19480262600302967
7,4007,8,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,643.5,0.12,3.2876611553130686,129.11805476157676,121.5499993914615,0.019929249711072045,10119.03967917992,3.535000000000001,1.014038953886881,353.50000000000034,4.1400000000000015,0.8991106717195609,414.0000000000006,0.0,0.0,0.0,0.0,0.0,0.0,8.503204791775968,4.868646725679255,850.3204791775967,685.5143827145158,2153.575910888969,68551.43827145158,685.5143827145158,2153.575910888969,68551.43827145158,2126556.9240170266,968328.5407802576,212655692.40170273,0.33,0.44,1358.4613603886019,3587.2589357892466,1459.6517571804006,3598.809161784148,145965.17571804006,0.0,0.0,0.0,1459.6517571804006,3598.809161784148,145965.17571804006,0.0,0.0,0.0,-113323637.1360388,0.0,-113323637.1360388,-113323637.1360388,0.0,-113323637.1360388,0.0,0.3503867569904449,0.09691673091023306
8,4508,9,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,568.0,0.11,3.629630565442355,153.65828944746787,145.33126995927216,-0.3165753719674837,7357.254102723918,3.580000000000001,0.9770363350459387,358.00000000000034,3.9500000000000015,1.1608186766243895,395.0000000000006,0.0,0.0,0.0,0.0,0.0,0.0,9.355343789204726,5.902819270198516,935.5343789204724,717.7844116142212,2500.682283961865,71778.44116142215,717.7844116142212,2500.682283961865,71778.44116142215,2205605.5878081303,1225738.3162641434,220560558.78081307,0.77,0.85,1369.5852879753886,4508.715684127286,1443.157829002628,4525.481349601938,144315.7829002627,0.0,0.0,0.0,1443.157829002628,4525.481349601938,144315.7829002627,0.0,0.0,0.0,-117883707.52879763,0.0,-117883707.52879763,-117883707.52879763,0.0,-117883707.52879763,0.0,0.3524532971578547,0.0997996221260946
9,5009,10,500,100,100,100,regular_4,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,937.5,0.18,2.890849953024777,130.66855321331698,106.94880002072065,0.14602482708897463,9155.70315404544,3.845000000000001,1.4941469137939545,384.5000000000005,4.700000000000001,1.6401219466856727,470.00000000000074,3.2255103301238774,32.09342256730883,322.55103301238773,4.435076703920331,44.12845603004967,443.5076703920331,9.321653777923325,6.28451168271261,932.1653777923325,1052.6637698549405,2405.8048932444967,105266.37698549403,1052.6637698549405,2405.8048932444967,105266.37698549403,2008512.6148256902,1000761.1065979932,200851261.48256904,0.28,0.35,2244.1535119890195,5000.819700042411,2335.710543529474,5020.430883621241,233571.0543529474,0.0,0.0,0.0,2335.710543529474,5020.430883621241,233571.0543529474,0.0,0.0,0.0,-108758388.35119884,0.0,-108758388.35119884,-108758388.35119884,0.0,-108758388.35119884,0.0,0.36396516640507176,0.12410733716855951
