,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,487.5,0.1,3.6228610537403307,177.62921058215926,142.72446313607452,-0.31618838581368225,5779.565947403064,4.185000000000001,1.200114577863297,418.5000000000007,3.8150000000000013,1.5070749815453772,381.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2.585384384433663,4.599124252021202,258.5384384433664,724.4043189955069,2579.384339303405,72440.43189955069,724.4043189955069,2579.384339303405,72440.43189955069,3146631.0510655623,1580131.5157814303,314663105.1065562,0.45,1.0,1592.4060260492479,5405.014105358483,1650.2016855232787,5430.41707128462,165020.16855232778,0.0,0.0,0.0,1650.2016855232787,5430.41707128462,165020.16855232778,0.0,0.0,0.0,-175205770.60260487,0.0,-175205770.60260487,-175205770.60260487,0.0,-175205770.60260487,0.0,0.45475358875460226,0.22229955421594605
1,1001,2,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,420.0,0.1,2.1228964655413884,121.86454301889133,80.22495517041882,-0.2756456997236102,3774.170864384379,3.110000000000001,1.3945967159003352,311.00000000000006,3.8550000000000018,1.2757252839071584,385.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,3.7741708643843883,3.842352109242253,377.4170864384389,478.8490471731521,1651.970443495403,47884.90471731521,478.8490471731521,1651.970443495403,47884.90471731521,2300672.9879777012,1364067.359296712,230067298.79777014,0.0,0.1,1066.0715258845712,3711.428952192235,1103.8132345284153,3740.6238246867088,110381.32345284152,0.0,0.0,0.0,1103.8132345284153,3740.6238246867088,110381.32345284152,0.0,0.0,0.0,-125834577.15258832,0.0,-125834577.15258832,-125834577.15258832,0.0,-125834577.15258832,0.13,0.4934732045428325,0.24345428553291448
2,1502,3,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,200.0,0.05,3.6578923541463952,121.40493956828509,121.4600334262969,0.041468697927974835,4936.906635083966,4.290000000000002,1.3281189705745489,429.00000000000074,5.740000000000001,1.0513800454640554,574.000000000001,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,4.9369066350839645,2.598653956347768,493.6906635083964,276.2383869754756,1369.6252795362861,27623.83869754756,276.2383869754756,1369.6252795362861,27623.83869754756,2671677.8876287453,1381064.7356611493,267167788.7628746,0.9,0.94,610.8600585693302,3078.8795257998117,660.22912492017,3094.216971414154,66022.91249201697,0.0,0.0,0.0,660.22912492017,3094.216971414154,66022.91249201697,0.0,0.0,0.0,-152848353.00585693,0.0,-152848353.00585693,-152848353.00585693,0.0,-152848353.00585693,0.06,0.554762079442144,0.2657806282017081
3,2003,4,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,344.5,0.09,3.0751255743529953,199.29516930762986,148.8472245594012,0.15044378984278617,5354.284527756757,4.285000000000002,1.4294317052591212,428.5000000000007,4.8050000000000015,1.4231918352773107,480.50000000000085,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,5.354284527756748,3.749155820242155,535.4284527756746,688.7461467100968,2702.9894131744,68874.61467100965,688.7461467100968,2702.9894131744,68874.61467100965,3209137.5577047835,1807739.0560658015,320913755.77047855,0.83,0.9,1537.6362095737306,6076.877246667782,1591.179054851298,6099.772250115235,159117.9054851298,0.0,0.0,0.0,1591.179054851298,6099.772250115235,159117.9054851298,0.0,0.0,0.0,-179323223.62095731,0.0,-179323223.62095731,-179323223.62095731,0.0,-179323223.62095731,0.1,0.5183593122751251,0.25590732845275704
4,2504,5,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,353.0,0.08,3.0524608501601502,121.46007570946796,104.51728138856733,-0.13133539556094648,4819.861726427092,3.830000000000002,1.2911622671066558,383.00000000000045,5.085000000000001,1.2519085429854688,508.50000000000097,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,4.819861726447126,3.2116485769783694,481.98617264471244,415.22349615460365,1615.1653891608985,41522.34961546035,415.22349615460365,1615.1653891608985,41522.34961546035,2377893.062754666,1176373.8673353305,237789306.2754666,0.89,0.95,918.6217737480815,3632.7435024995257,966.8203910123525,3651.133310184993,96682.03910123525,0.0,0.0,0.0,966.8203910123525,3651.133310184993,96682.03910123525,0.0,0.0,0.0,-131835653.17737475,0.0,-131835653.17737475,-131835653.17737475,0.0,-131835653.17737475,0.05,0.4380545861125029,0.20965195456628402
5,3005,6,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,165.0,0.04,3.2091917935646475,97.74976327019085,87.09364964487837,-0.6144293827225973,4422.017904251529,3.825000000000001,1.4324367350776788,382.5000000000005,4.405000000000002,1.4069381649525325,440.50000000000074,0.0,0.0,0.0,0.0,0.0,0.0,4.413836290336458,2.7921777830045866,441.3836290336457,162.10943395858297,954.6260487711727,16210.943395858301,162.10943395858297,954.6260487711727,16210.943395858301,2426710.9821502916,1330375.0225527105,242671098.2150291,0.85,0.9,355.6897491152138,2144.9033095077075,399.9099281577289,2158.469851721731,39990.992815772894,0.0,0.0,0.0,399.9099281577289,2158.469851721731,39990.992815772894,0.0,0.0,0.0,-138046751.97491148,0.0,-138046751.97491148,-138046751.97491148,0.0,-138046751.97491148,0.1,0.5496770881748204,0.26714229420710645
6,3506,7,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,227.0,0.06,3.0874969580407394,172.13349730635457,103.80894042197838,-0.6185592377014595,4308.593567360258,3.235000000000001,1.1786751036651277,323.50000000000017,4.730000000000001,1.0807867504739312,473.00000000000085,0.0,0.0,0.0,0.0,0.0,0.0,4.3085935673602584,2.6152039548217,430.85935673602563,409.33845500616235,1783.6270953546982,40933.845500616226,409.33845500616235,1783.6270953546982,40933.845500616226,1951486.0210515615,1256473.5758512346,195148602.10515615,0.0,0.07,914.8297036771312,4009.9719753587196,957.9156393507337,4031.311558341559,95791.56393507337,0.0,0.0,0.0,957.9156393507337,4031.311558341559,95791.56393507337,0.0,0.0,0.0,-104849709.97036773,0.0,-104849709.97036773,-104849709.97036773,0.0,-104849709.97036773,0.05,0.5149489839174709,0.25091632324070307
7,4007,8,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,439.5,0.09,3.452229097937402,129.92442888267658,78.3279584879172,-0.5943476510893542,3723.772299121778,4.300000000000002,1.1916375287812984,430.00000000000074,5.030000000000001,1.1467780953610855,503.0000000000009,0.0,0.0,0.0,0.0,0.0,0.0,3.724575636799435,3.8455744017994813,372.45756367994346,532.6403213846224,1555.1755323101506,53264.032138462215,532.6403213846224,1555.1755323101506,53264.032138462215,2892542.226510122,1202813.3205504743,289254222.6510122,0.85,0.94,1192.5053833464588,3494.5822082999643,1229.7431063376769,3528.230948567732,122974.31063376764,0.0,0.0,0.0,1229.7431063376769,3528.230948567732,122974.31063376764,0.0,0.0,0.0,-163872008.5383347,0.0,-163872008.5383347,-163872008.5383347,0.0,-163872008.5383347,0.06,0.40051393734405144,0.15881613780095635
8,4508,9,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,432.0,0.1,2.516163420875915,126.66673999166706,105.58776694141363,-0.010665571906193716,4363.767570301943,3.160000000000002,1.213012778168474,316.00000000000017,4.650000000000002,1.171537451385998,465.00000000000074,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,4.062397545052402,3.9607171842461826,406.2397545052402,512.4166787971474,1867.7461243312637,51241.66787971471,512.4166787971474,1867.7461243312637,51241.66787971471,2242728.242642733,1418465.008452509,224272824.26427335,0.05,0.13,1187.445029050349,4294.276504316667,1231.0827047533685,4322.013290475765,123108.27047533682,0.0,0.0,0.0,1231.0827047533685,4322.013290475765,123108.27047533682,0.0,0.0,0.0,-120004192.50290507,0.0,-120004192.50290507,-120004192.50290507,0.0,-120004192.50290507,0.22,0.47095369426161365,0.23663938486984928
9,5009,10,500,100,100,100,ring_2,degree_centrality,"normal_[0, 1]",100,0.85,50,0.1,75,0,0.5,0.95,0.1,375.0,0.08,2.2269003641643006,73.87658964462533,73.13471884498524,-0.1080082077213036,5618.949731243462,2.705000000000001,1.0938349966973995,270.4999999999997,3.2500000000000013,1.342572158209755,325.00000000000017,1.920981645227768,4.5768652284369535,192.09816452277678,0.0,0.0,0.0,5.618949731243459,3.9176677649765312,561.8949731243457,253.54791281949926,1049.0832889006235,25354.79128194994,253.54791281949926,1049.0832889006235,25354.79128194994,1469887.3699344655,866230.3959371208,146988736.99344653,0.71,0.9,544.5477939865792,2355.8779095222294,600.737291299014,2371.0168605904446,60073.72912990139,0.0,0.0,0.0,600.737291299014,2371.0168605904446,60073.72912990139,0.0,0.0,0.0,-79376843.77939868,0.0,-79376843.77939868,-79376843.77939868,0.0,-79376843.77939868,0.1,0.5173750739974621,0.2522301977557515
