,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,824.0,0.18,2.4828762042444454,159.19855524187335,98.2453643316405,0.2884476083604869,3433.39441608679,3.845000000000001,1.3332197868318634,384.50000000000057,2.005,1.5275716022497932,200.49999999999966,0.2889304405371718,1.4154643009472547,28.893044053717183,0.0,0.0,0.0,3.28,5.178957424038163,328.0,1185.9807863899086,2681.7240972684426,118598.0786389909,1185.9807863899086,2681.7240972684426,118598.0786389909,1470021.9276568152,1771512.5308642772,147002192.76568148,0.0,0.37,2599.1982004349875,6025.925177098493,2633.5321445958557,6067.458382231507,263353.21445958555,0.0,0.0,0.0,2633.5321445958557,6067.458382231507,263353.21445958555,0.0,0.0,0.0,-74763318.82004349,0.0,-74763318.82004349,-74763318.82004349,0.0,-74763318.82004349,0.0,0.46951172275987213,0.22444044793469387
1,1001,2,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,363.5,0.07,1.211898562326113,41.99191232604999,92.39190855247139,0.3738548312479382,1933.8981835029979,2.505,1.9140206372973094,250.4999999999996,3.080000000000001,2.3884304469672126,308.0,3.8107799189995375,6.01042743488413,381.07799189995376,0.0,0.0,0.0,1.4125,2.4790055970086073,141.25,115.49775677557045,997.7227699450201,11549.775677557045,115.49775677557045,997.7227699450201,11549.775677557045,657823.7105977427,959560.0881013958,65782371.05977426,0.0,0.54,261.87903461531465,2241.2668447707792,281.2180164503446,2254.5315265269924,28121.801645034466,0.0,0.0,0.0,281.2180164503446,2254.5315265269924,28121.801645034466,0.0,0.0,0.0,-34209667.90346154,0.0,-34209667.90346154,-34209667.90346154,0.0,-34209667.90346154,0.0,0.4590872102352069,0.1835323474771944
2,1502,3,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,122.0,0.03,1.334376724952121,2.6169895967804506,1.5320014903339398,0.9449028685087548,786.4285714285631,3.455000000000001,1.523638736708935,345.50000000000034,0.9499999999999997,0.9937303457175896,94.99999999999986,0.5326207643019463,2.4469567643722834,53.262076430194625,0.0,0.0,0.0,0.7864285714285636,1.4756007078405722,78.6428571428563,4.408738049917549,4.5334714325976435,440.8738049917541,4.408738049917549,4.5334714325976435,440.8738049917541,454991.4860217761,422014.06152006553,45499148.60217761,0.0,0.17,1.1521089552639423,3.261911450248653,9.016394669549578,17.32199009307305,901.6394669549576,0.0,0.0,0.0,9.016394669549578,17.32199009307305,901.6394669549576,0.0,0.0,0.0,-26315321.210895613,0.0,-26315321.210895613,-26315321.210895613,0.0,-26315321.210895613,0.0,0.6707130912307635,0.2440528020713427
3,2003,4,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,796.5,0.18,2.8794759851471303,163.12573026866158,77.79296489276287,-0.22371407632990334,3612.346938775513,4.120000000000001,1.5458331087151678,412.0000000000006,3.4000000000000012,2.0396078054371136,340.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.0971428571428565,4.9446685367955165,309.71428571428567,1261.4355664723435,2508.9519902718957,126143.5566472343,1261.4355664723435,2508.9519902718957,126143.5566472343,1499627.5690418289,1792045.163103898,149962756.90418285,0.0,0.52,2853.4993222825915,5624.689790540004,2889.622791670348,5667.731774384918,288962.2791670348,0.0,0.0,0.0,2889.622791670348,5667.731774384918,288962.2791670348,0.0,0.0,0.0,-76272868.93222828,0.0,-76272868.93222828,-76272868.93222828,0.0,-76272868.93222828,0.0,0.34371088343981354,0.07191937426426695
4,2504,5,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,1037.5,0.21,2.6021634526165114,123.23305333296685,85.73822648210489,0.06910255516642458,4259.642857142857,3.2500000000000013,0.9912113800799502,325.0000000000001,3.080000000000001,1.670209567689037,308.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.779392857142855,3.9738128395054506,477.93928571428523,1163.3433428820404,2224.6276159348895,116334.33428820409,1163.3433428820404,2224.6276159348895,116334.33428820409,1291311.1105644787,1820894.0511004445,129131111.05644786,0.0,0.71,2596.4101784088216,5003.466667264862,2639.0066069802506,5040.06874095399,263900.6606980251,0.0,0.0,0.0,2639.0066069802506,5040.06874095399,263900.6606980251,0.0,0.0,0.0,-62874418.01784099,0.0,-62874418.01784099,-62874418.01784099,0.0,-62874418.01784099,0.0,0.33813996259676815,0.0660862421927904
5,3005,6,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,745.5,0.16,3.114405444164868,160.1967381398999,94.32382825948116,-0.09354611114932584,3437.9364995451083,4.050000000000002,1.1543396380615194,405.00000000000057,3.200000000000001,1.8560711193270585,320.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.9121428571428565,4.520947333902305,291.21428571428567,1146.0109203780155,2462.607010326816,114601.09203780144,1146.0109203780155,2462.607010326816,114601.09203780144,1849314.7108000643,2214702.614902153,184931471.08000648,0.0,0.57,2586.7694316721636,5525.621347733867,2621.148796667615,5562.791799143473,262114.87966676158,0.0,0.0,0.0,2621.148796667615,5562.791799143473,262114.87966676158,0.0,0.0,0.0,-95424313.94316728,0.0,-95424313.94316728,-95424313.94316728,0.0,-95424313.94316728,0.0,0.34285887286596334,0.07298192507690494
6,3506,7,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,395.5,0.1,2.800734534166903,220.51622006857252,123.4403262180813,0.49042402419181186,2229.698602198621,4.3050000000000015,1.8331598402758014,430.5000000000007,1.645,1.6156964442617305,164.49999999999972,6.972146180900159,62.8002863084474,697.2146180900161,0.0,0.0,0.0,2.495020320091334,3.734394294338631,249.5020320091337,854.1490812080966,2854.2770253301146,85414.9081208097,854.1490812080966,2854.2770253301146,85414.9081208097,1515501.7683694744,2411300.176557256,151550176.83694744,0.0,0.26,1957.4025582764493,6408.404941731567,1979.6995442984355,6444.908124642655,197969.95442984364,0.0,0.0,0.0,1979.6995442984355,6444.908124642655,197969.95442984364,0.0,0.0,0.0,-79317172.25582772,0.0,-79317172.25582772,-79317172.25582772,0.0,-79317172.25582772,0.0,0.5768243134764937,0.2689739416335021
7,4007,8,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,598.0,0.13,2.8038857464865243,203.33829607781928,144.67651655208226,0.58620673791438,2468.939198129914,3.570000000000001,1.5617618256315524,357.00000000000034,2.8550000000000013,1.7951253438130716,285.5,10.198920777470958,100.40688952403598,1019.8920777470958,1.6652073986693612,16.568604418530093,166.5207398669361,3.2951428571428574,9.07500271996361,329.5142857142857,1040.2413085161916,3189.8471707144845,104024.1308516192,1040.2413085161916,3189.8471707144845,104024.1308516192,1292435.9208594384,2050887.6349458585,129243592.08594379,0.0,0.32,1997.5195657711895,6039.102352358131,2022.2089577524891,6076.658858703678,202220.8957752489,0.0,0.0,0.0,2022.2089577524891,6076.658858703678,202220.8957752489,0.0,0.0,0.0,-64682848.95657711,0.0,-64682848.95657711,-64682848.95657711,0.0,-64682848.95657711,0.0,0.542265202606974,0.2531439469505956
8,4508,9,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,666.0,0.15,3.106153311452018,208.33941394401657,119.5077425914507,0.07117640149168834,2733.823682301339,4.5550000000000015,1.072601976503866,455.5000000000008,2.33,1.6991468447429725,232.99999999999963,0.0,0.0,0.0,0.0,0.0,0.0,2.605823267024706,4.837863279595707,260.5823267024707,1253.6232445608405,3218.9987897962687,125362.3244560839,1253.6232445608405,3218.9987897962687,125362.3244560839,1840220.7938451066,2523417.162402988,184022079.38451058,0.0,0.3,2690.6263165139935,7043.27629178839,2717.9645533370062,7084.84189238665,271796.45533370064,0.0,0.0,0.0,2717.9645533370062,7084.84189238665,271796.45533370064,0.0,0.0,0.0,-93101947.63165164,0.0,-93101947.63165164,-93101947.63165164,0.0,-93101947.63165164,0.0,0.4533238453488489,0.21444326150135548
9,5009,10,500,100,100,100,BA_4,degree_centrality,"normal_[0, 1]",100,0.01,50,0.1,75,0,0.5,0.95,0.1,948.5,0.2,3.096097282754384,159.96198218209418,78.53261158799997,-0.2849986739204705,3985.5236348800177,4.315000000000001,1.1141252173790879,431.50000000000074,2.215,1.6731034038576336,221.49999999999966,0.0,0.0,0.0,0.0,0.0,0.0,3.8126666327794307,5.085849153691125,381.266663277943,1413.41723118793,2532.1657698361114,141341.72311879304,1413.41723118793,2532.1657698361114,141341.72311879304,1750271.6814343748,1952959.9613674681,175027168.14343753,0.0,0.46,3119.4551306230924,5696.539577218081,3159.310366971892,5738.571139609132,315931.03669718903,0.0,0.0,0.0,3159.310366971892,5738.571139609132,315931.03669718903,0.0,0.0,0.0,-88148265.51306234,0.0,-88148265.51306234,-88148265.51306234,0.0,-88148265.51306234,0.0,0.3450377313913718,0.08032222962610032
