,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,2189.5,0.53,1.997928617027838,182.63765899727724,111.75021194520512,0.953074922413943,9489.4979486554,1.2049999999999996,0.8255149907784837,120.49999999999977,2.265,1.019938723649612,226.49999999999963,35.19765146382998,206.2324628004394,3519.7651463829975,0.0,0.0,0.0,8.394329249303908,7.092044953233457,839.4329249303908,3691.1224780191615,4511.89013630604,369112.24780191627,3691.1224780191615,4511.89013630604,369112.24780191627,4584138.114594214,4324694.655228261,458413811.4594216,0.0,0.63,8256.007670218705,10074.045991137118,8350.902649705262,10115.535793061634,835090.2649705262,0.0,0.0,0.0,8350.902649705262,10115.535793061634,835090.2649705262,0.0,0.0,0.0,-211345430.76702192,0.0,-211345430.76702192,-211345430.76702192,0.0,-211345430.76702192,0.0,0.3256251593916696,0.060620879812391296
1,1001,2,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1998.5,0.47,2.877110152113963,246.27592031505074,149.6262397065719,0.9041468000054917,8725.498006833213,1.65,1.0476163419878481,164.9999999999997,3.115000000000001,1.1010336053000378,311.50000000000006,33.69716633248403,198.28444076871304,3369.716633248403,0.0955060005618107,0.9502727072729944,9.55060005618107,8.436946644584499,10.499264518457968,843.6946644584497,4486.479967196302,5864.8454424412375,448647.99671963026,4486.479967196302,5864.8454424412375,448647.99671963026,5508030.0121955965,6103256.4413618725,550803001.2195598,0.0,0.61,9898.782407826313,13094.788477846916,9986.037387894647,13136.681958091289,998603.7387894643,0.0,0.0,0.0,9986.037387894647,13136.681958091289,998603.7387894643,0.0,0.0,0.0,-260361098.2407825,0.0,-260361098.2407825,-260361098.2407825,0.0,-260361098.2407825,0.0,0.3364566570908849,0.09783395514937752
2,1502,3,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1605.0,0.38,2.351748232299356,209.0736881498735,123.05312659339977,0.9532519565837453,7684.155552872842,1.3399999999999996,0.8873556220591606,133.99999999999977,2.215,1.0766963360205144,221.4999999999996,12.463196146973036,55.54135917265421,1246.3196146973035,0.0,0.0,0.0,6.184435488710485,6.274345517380754,618.4435488710486,3048.930665318752,4687.942695276837,304893.0665318751,3048.930665318752,4687.942695276837,304893.0665318751,4297329.344163088,4283456.738801599,429732934.4163089,0.0,0.6,6922.526557170338,10488.364415874456,6999.368112699066,10532.426334294465,699936.8112699062,0.0,0.0,0.0,6999.368112699066,10532.426334294465,699936.8112699062,0.0,0.0,0.0,-199893008.65571707,0.0,-199893008.65571707,-199893008.65571707,0.0,-199893008.65571707,0.0,0.3339343268461227,0.09951937589399183
3,2003,4,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1973.0,0.47,2.0475072797272555,184.4205245164303,117.05625494996197,0.9539325375665985,8441.091108282897,1.1999999999999997,0.8573214099741122,119.99999999999979,2.11,0.969484399049309,210.99999999999963,6.463648510314151,47.41706764801124,646.3648510314151,0.0,0.0,0.0,7.614924126986218,7.137180788737744,761.492412698622,3306.054214147214,4521.258788144701,330605.4214147214,3306.054214147214,4521.258788144701,330605.4214147214,4190924.48906339,4404272.137701279,419092448.906339,0.0,0.56,7401.887290446039,10130.124090717269,7486.298201528869,10174.6439384478,748629.8201528871,0.0,0.0,0.0,7486.298201528869,10174.6439384478,748629.8201528871,0.0,0.0,0.0,-193721140.72904444,0.0,-193721140.72904444,-193721140.72904444,0.0,-193721140.72904444,0.0,0.328438957067046,0.07857015687891142
4,2504,5,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1676.5,0.37,2.2060816709245175,172.8124264948549,133.4450823988915,0.9455309116491573,6929.56259184987,1.3449999999999998,0.8077592463104338,134.49999999999974,2.2,1.002496882788171,219.99999999999963,0.028541666666666667,0.2839859976741812,2.8541666666666665,0.0,0.0,0.0,8.810430005846502,9.327897803642244,881.0430005846505,2552.2550117766873,4246.994996093913,255225.5011776688,2552.2550117766873,4246.994996093913,255225.5011776688,3783493.368134315,4346274.007698082,378349336.8134315,0.0,0.52,5543.982855398407,9535.840429855825,5613.278481316907,9575.638228107611,561327.8481316908,0.0,0.0,0.0,5613.278481316907,9575.638228107611,561327.8481316908,0.0,0.0,0.0,-176479192.2855401,0.0,-176479192.2855401,-176479192.2855401,0.0,-176479192.2855401,0.0,0.3496336387364938,0.13006864164517248
5,3005,6,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1528.1243463300839,0.36,2.6196081172603156,221.47522340731257,145.54018023870913,0.9171645136758481,7780.552275504582,1.435,0.8833317610048899,143.49999999999974,2.7550000000000017,1.293628617494217,275.4999999999998,40.506706365101735,248.6454921672456,4050.6706365101736,0.0,0.0,0.0,7.002295307703974,14.267182466510652,700.2295307703971,3033.504115160193,5065.8605868417135,303350.4115160193,3033.504115160193,5065.8605868417135,303350.4115160193,4630053.547634402,5026069.525709225,463005354.7634402,0.0,0.62,6623.616637386535,11270.271963126577,6701.42216014158,11308.405607005434,670142.2160141581,0.0,0.0,0.0,6701.42216014158,11308.405607005434,670142.2160141581,0.0,0.0,0.0,-215831709.6637385,0.0,-215831709.6637385,-215831709.6637385,0.0,-215831709.6637385,0.0,0.3361794197073183,0.0993747202005508
6,3506,7,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1394.5,0.31,3.1946700581755216,229.97926699094222,149.79017056003866,0.7542475957917754,6749.417576920757,2.56,1.1460366486286553,255.9999999999996,2.6350000000000016,1.3734172708976684,263.49999999999966,47.65741657026766,374.5701637130002,4765.741657026766,0.0,0.0,0.0,8.424642917446498,12.934398764526131,842.4642917446497,2883.0449250455563,4900.896352705218,288304.4925045556,2883.0449250455563,4900.896352705218,288304.4925045556,2896033.270365343,4372939.4656556165,289603327.0365343,0.0,0.36,6140.895829531227,10636.356173941218,6208.390005300436,10674.304212766016,620839.0005300436,0.0,0.0,0.0,6208.390005300436,10674.304212766016,620839.0005300436,0.0,0.0,0.0,-151222878.58295307,0.0,-151222878.58295307,-151222878.58295307,0.0,-151222878.58295307,0.0,0.351678403821954,0.12298821049618669
7,4007,8,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1752.760352691495,0.42,2.1844257021283493,197.24120671939295,126.35948690085363,0.9688638131092837,7922.776033198793,1.0699999999999996,0.7576938695805847,106.99999999999983,2.15,1.1302654555457314,214.9999999999997,4.3041429495454215,42.82568162308727,430.41429495454213,0.0,0.0,0.0,7.669183021291526,12.989647024789939,766.9183021291526,3144.8821908273326,4719.0304634265885,314488.2190827332,3144.8821908273326,4719.0304634265885,314488.2190827332,4286028.338822038,3678416.6539862333,428602833.8822039,0.0,0.59,7146.633128273998,10564.585708421977,7225.8608886059865,10609.63381404293,722586.0888605983,0.0,0.0,0.0,7225.8608886059865,10609.63381404293,722586.0888605983,0.0,0.0,0.0,-197310504.3128273,0.0,-197310504.3128273,-197310504.3128273,0.0,-197310504.3128273,0.0,0.3234713578740549,0.058630862506052754
8,4508,9,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,2131.0,0.53,2.1200768541143415,198.97069853289327,114.5744374506358,0.9648313623535665,8991.444469319209,1.1149999999999998,0.8929025702729273,111.49999999999982,1.97,1.1104503590886,196.99999999999963,64.86635502592752,373.9990236349616,6486.635502592752,0.0,0.0,0.0,8.360750565921569,6.431488963978771,836.0750565921571,4000.6713112696075,4805.542840430704,400067.1311269609,4000.6713112696075,4805.542840430704,400067.1311269609,4556305.159251263,4812809.719787909,455630515.92512625,0.0,0.54,8993.589967840508,10713.247570123587,9083.504412533703,10761.148837058508,908350.4412533704,0.0,0.0,0.0,9083.504412533703,10761.148837058508,908350.4412533704,0.0,0.0,0.0,-211544491.9967843,0.0,-211544491.9967843,-211544491.9967843,0.0,-211544491.9967843,0.0,0.3697332216237646,0.16046324245073318
9,5009,10,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1341.0,0.3,3.809345430749054,282.73314559762304,187.92673611318125,0.7499706346759202,6929.3276929558,3.0000000000000013,1.2727922061357853,299.99999999999994,3.4200000000000013,1.3200757554019387,342.0000000000002,156.22620755907684,718.426752297434,15622.620755907683,0.0,0.0,0.0,5.40851379764117,9.638667831408123,540.851379764117,3364.403019241408,6067.013465566861,336440.3019241408,3364.403019241408,6067.013465566861,336440.3019241408,4157515.8466897057,5446478.963754547,415751584.66897047,0.0,0.48,7500.731818017953,13297.466803625597,7570.025094947512,13336.649247989033,757002.5094947512,0.0,0.0,0.0,7570.025094947512,13336.649247989033,757002.5094947512,0.0,0.0,0.0,-214323274.1818017,0.0,-214323274.1818017,-214323274.1818017,0.0,-214323274.1818017,0.0,0.35499580995322805,0.12989331360783604
10,5510,11,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,2055.5,0.47,2.1686976529063564,179.65534838294113,135.11466359531968,0.9337111193578232,8669.508297937611,1.1549999999999998,0.8828788138810445,115.49999999999982,2.545,1.009690546652785,254.4999999999996,44.850357319138645,279.6595488236629,4485.035731913865,0.0,0.0,0.0,8.7949798543761,5.145033970630894,879.4979854376097,3307.194053978803,4712.109583837283,330719.40539788036,3307.194053978803,4712.109583837283,330719.40539788036,4175535.2115946007,4273607.061404079,417553521.15945995,0.0,0.67,7304.916077932194,10562.006741529052,7391.61116091157,10599.37872233471,739161.1160911568,0.0,0.0,0.0,7391.61116091157,10599.37872233471,739161.1160911568,0.0,0.0,0.0,-193200846.60779324,0.0,-193200846.60779324,-193200846.60779324,0.0,-193200846.60779324,0.0,0.3293146057355489,0.08270880764479818
11,6011,12,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1522.5,0.35,2.501471754305779,201.2548182196255,147.0866403307753,0.8770105571694095,7148.596883932957,1.685,1.1446724422296537,168.49999999999972,2.7750000000000012,1.015812482695502,277.49999999999983,27.988740623604766,171.05813233786472,2798.8740623604767,0.012461395753875348,0.12398932223919752,1.2461395753875348,5.751024550347345,9.102927660710778,575.1024550347345,2753.224149354977,4772.19446744027,275322.41493549774,2753.224149354977,4772.19446744027,275322.41493549774,4288527.530535788,4965150.856679056,428852753.0535789,0.0,0.47,6099.2820763616255,10530.102712395075,6170.768045200957,10569.514682229441,617076.8045200958,0.0,0.0,0.0,6170.768045200957,10569.514682229441,617076.8045200958,0.0,0.0,0.0,-205379139.2076357,0.0,-205379139.2076357,-205379139.2076357,0.0,-205379139.2076357,0.0,0.3390196924628285,0.10648170245889767
12,6512,13,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1732.5,0.41,1.9062506494998201,171.58614720447002,114.4933373447877,0.9650398984988884,8161.197270666176,1.0849999999999997,0.8498676367529241,108.4999999999998,1.75,0.9630680142129111,174.99999999999972,3.4688168727314777,17.221140817583866,346.8816872731478,0.0,0.0,0.0,6.916077772053298,6.651660961910306,691.6077772053297,2681.8656958743713,4148.549660213071,268186.5695874373,2681.8656958743713,4148.549660213071,268186.5695874373,3488862.9525236804,4009270.7773416885,348886295.2523679,0.0,0.66,6040.407622070084,9267.706132203808,6122.019594776746,9309.00104839456,612201.9594776746,0.0,0.0,0.0,6122.019594776746,9309.00104839456,612201.9594776746,0.0,0.0,0.0,-160988860.76220727,0.0,-160988860.76220727,-160988860.76220727,0.0,-160988860.76220727,0.0,0.3306022681221851,0.08472798364292487
13,7013,14,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,2124.5889625335594,0.48,1.6973069671195973,141.71547894366427,111.4830620490993,0.9583813978350174,8916.326466218858,0.9899999999999995,0.8619164692706599,98.99999999999987,1.835,0.9577447467879946,183.4999999999997,9.259584742457502,55.19121863017131,925.9584742457502,0.0,0.0,0.0,10.658614675070964,12.221043877307398,1065.8614675070962,2633.9461572962364,3824.3945470890935,263394.61572962365,2633.9461572962364,3824.3945470890935,263394.61572962365,3598339.5749074584,3737964.087014317,359833957.4907458,0.0,0.7,5859.0003396973925,8602.114292171522,5948.16360435958,8637.40946661097,594816.360435958,0.0,0.0,0.0,5948.16360435958,8637.40946661097,594816.360435958,0.0,0.0,0.0,-166424219.0339697,0.0,-166424219.0339697,-166424219.0339697,0.0,-166424219.0339697,0.0,0.3641862213526628,0.1652887900120615
14,7514,15,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,1917.5,0.45,2.459572348339041,218.5274165971311,139.36247931330013,0.9569427108206601,8849.028429680273,1.4099999999999995,0.9766780431646859,140.99999999999974,2.4800000000000004,1.1664475984801033,247.9999999999996,8.007805275645662,36.666008115118494,800.7805275645662,0.0,0.0,0.0,7.122803305495728,6.3490806523361325,712.2803305495729,3767.4643420848292,5301.278631542948,376746.434208483,3767.4643420848292,5301.278631542948,376746.434208483,5295826.22725161,5173199.428249337,529582622.72516114,0.0,0.62,8719.222521666285,11806.518277403808,8807.71280596309,11848.07206536596,880771.2805963089,0.0,0.0,0.0,8807.71280596309,11848.07206536596,880771.2805963089,0.0,0.0,0.0,-246496485.25216663,0.0,-246496485.25216663,-246496485.25216663,0.0,-246496485.25216663,0.0,0.33977089029696866,0.10353369136361856
15,8015,16,500,100,100,100,full,degree_centrality,"normal_[0, 1]",100,0.8,50,0.1,75,0,0.5,0.95,0.1,2197.0,0.52,2.2227182378196715,194.73850601908381,128.87366544483245,0.925623446706843,9158.789694086261,1.3549999999999998,1.0476044100709008,135.49999999999972,2.555,1.1002158879056418,255.49999999999963,26.319826901510066,233.99503997210226,2631.9826901510064,0.0017081622176591336,0.016995999471110218,0.17081622176591335,10.618267631740707,8.587148672684465,1061.8267631740707,3900.8558431166866,4940.6232538635795,390085.5843116685,3900.8558431166866,4940.6232538635795,390085.5843116685,4652897.198904524,5164719.606108112,465289719.8904523,0.0,0.7,8655.997554905618,11060.09588504646,8747.58545184648,11101.0181083763,874758.5451846485,0.0,0.0,0.0,8747.58545184648,11101.0181083763,874758.5451846485,0.0,0.0,0.0,-218046676.7554906,0.0,-218046676.7554906,-218046676.7554906,0.0,-218046676.7554906,0.0,0.3742476427863848,0.16812337813855685
