,index,id,t,n_firms,n_workers,n_products,prod_space_struc,prod_sp_val_alct,prod_sp_val_dist,delta_coefficient,max_info,initial_capital_stock,initial_capabilities,nominal_demand,fin_regime,cap_prod,max_rd_success,depreciation_rate,output_all_prdcts,share_produced_products,comp_produced_prod_mean,price_produced_prod_mean,price_produced_prod_std,correlation_price_complexity,agg_capital_stock,firm_inno_cap_mean,firm_inno_cap_sd,firm_inno_cap_total,firm_spillover_cap_mean,firm_spillover_cap_sd,firm_spillover_cap_total,firm_rd_invest_mean,firm_rd_invest_sd,firm_rd_invest_total,firm_ac_invest_mean,firm_ac_invest_sd,firm_ac_invest_total,firm_k_invest_mean,firm_k_invest_sd,firm_k_invest_total,firm_profits_mean,firm_profits_sd,firm_profits_total,firm_gross_revenues_mean,firm_gross_revenues_sd,firm_gross_revenues_total,firm_accounts_mean,firm_accounts_sd,firm_accounts_total,firm_share_waiting,firm_share_remained,firm_deposits_mean,firm_deposits_sd,firm_assets_mean,firm_assets_sd,firm_assets_total,firm_liabilities_mean,firm_liabilities_sd,firm_liabilities_total,firm_net_worth_mean,firm_net_worth_sd,firm_net_worth_total,bank_assets_mean,bank_assets_sd,bank_assets_total,bank_liabilities_mean,bank_liabilities_sd,bank_liabilities_total,bank_net_worth_mean,bank_net_worth_sd,bank_net_worth_total,firms_final_spot,firm_share_investment_mean,firm_share_investment_sd
0,500,1,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,230.0,0.04,3.577078474389648,46.614459589369964,60.50650893404499,0.40288544628582046,1398.7080266930177,3.9000000000000012,1.4966629547095762,390.0000000000005,0.4750000000000001,0.6299801584177076,47.50000000000009,1.970276645339584,5.604358006102231,197.02766453395844,0.0,0.0,0.0,1.094373290848702,1.318217352141206,109.43732908487016,108.37993318663379,478.7890620485354,10837.993318663368,108.37993318663379,478.7890620485354,10837.993318663368,718883.9178205519,698270.6868623949,71888391.78205517,0.0,0.15,303.24433567843073,1183.0825241193734,317.23141594536094,1198.967944560441,31723.1415945361,0.0,0.0,0.0,317.23141594536094,1198.967944560441,31723.1415945361,0.0,0.0,0.0,-40923645.433567815,0.0,-40923645.433567815,-40923645.433567815,0.0,-40923645.433567815,0.0,0.38011851046840117,0.11983515748076877
1,1001,2,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,534.5,0.1,3.367224127174443,122.64820622751202,116.39991946491375,-0.48974094310281646,2699.014150390572,4.060000000000001,1.0832358930537704,406.0000000000006,0.23000000000000007,0.27037011669191546,23.000000000000025,101.56658553042594,538.2647679346758,10156.658553042595,0.0,0.0,0.0,2.524126553055855,3.9404658420226593,252.41265530558536,536.2808783164318,1899.3970569039168,53628.08783164318,536.2808783164318,1899.3970569039168,53628.08783164318,716565.4226007875,563636.2851905668,71656542.26007876,0.0,0.1,848.2415453635991,2602.1453091901926,875.2316868675048,2627.1815330968866,87523.16868675049,0.0,0.0,0.0,875.2316868675048,2627.1815330968866,87523.16868675049,0.0,0.0,0.0,-40345089.154536374,0.0,-40345089.154536374,-40345089.154536374,0.0,-40345089.154536374,0.44,0.35423624164699863,0.09169462053224352
2,1502,3,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,341.5,0.07,3.3715177655604265,89.06012263293196,94.71648995267931,0.649581870550997,2007.7913702024423,4.895000000000001,0.9927109347639925,489.50000000000085,0.505,0.6312487623750245,50.500000000000085,0.07606206084966467,0.38852305631368916,7.606206084966468,0.0,0.0,0.0,1.2274999999999834,3.4942980339404133,122.74999999999832,338.44790395905477,1117.9729543945632,33844.79039590548,338.44790395905477,1117.9729543945632,33844.79039590548,905018.6222769496,969301.6302637157,90501862.22769496,0.0,0.04,772.6939975913837,2387.7457848057447,792.771911293408,2407.155072489989,79277.19112934078,0.0,0.0,0.0,792.771911293408,2407.155072489989,79277.19112934078,0.0,0.0,0.0,-52122651.399759114,0.0,-52122651.399759114,-52122651.399759114,0.0,-52122651.399759114,0.03,0.5197115632559965,0.237784633611534
3,2003,4,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,280.5,0.05,3.599420574765824,118.38365588198239,132.5096897260398,-0.24777169531692975,1234.836582272595,3.715000000000001,1.0046267963776399,371.5000000000005,0.2550000000000001,0.30573681492420896,25.500000000000053,0.0,0.0,0.0,0.0,0.0,0.0,1.1147441708679984,3.0313821528169593,111.47441708679986,262.939019199562,1442.3477242461743,26293.901919956188,262.939019199562,1442.3477242461743,26293.901919956188,607518.5518417113,774204.9292791918,60751855.18417115,0.0,0.06,555.5288912713742,3463.26255226019,567.8772570941002,3480.1890472642945,56787.725709410006,0.0,0.0,0.0,567.8772570941002,3480.1890472642945,56787.725709410006,0.0,0.0,0.0,-34153533.889127135,0.0,-34153533.889127135,-34153533.889127135,0.0,-34153533.889127135,0.01,0.5407200300719396,0.2627002501259784
4,2504,5,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,276.0,0.05,2.6500763474859634,24.656469222124564,29.111242557722765,0.6974246653649154,1156.872550867259,3.450000000000001,1.5882380174268589,345.0000000000002,0.35000000000000014,0.4387482193696061,35.00000000000006,1.1608194468360924,4.231137406996833,116.08194468360925,0.0,0.0,0.0,1.2983486028679192,1.3971485707762938,129.83486028679204,79.90924124391044,199.09065245749395,7990.924124391049,79.90924124391044,199.09065245749395,7990.924124391049,664675.8167777023,674670.8021791882,66467581.67777025,0.0,0.18,165.4439677506654,414.8730630614465,177.01269325933796,424.1444605594127,17701.269325933798,0.0,0.0,0.0,177.01269325933796,424.1444605594127,17701.269325933798,0.0,0.0,0.0,-38504788.39677511,0.0,-38504788.39677511,-38504788.39677511,0.0,-38504788.39677511,0.14,0.46871140923311316,0.24368031054274444
5,3005,6,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,223.5,0.05,3.602204897658067,119.95327743541668,114.10984908000759,-0.5722726355541401,1736.9847290205726,4.030000000000002,0.8367197858303578,403.00000000000057,0.5,0.5431390245600108,50.000000000000085,9.026508969497376,46.25034398408136,902.6508969497377,0.0,0.0,0.0,0.6798276648010737,2.584985551214315,67.98276648010736,280.647804756312,1315.9641604289786,28064.780475631185,280.647804756312,1315.9641604289786,28064.780475631185,798303.4506020505,919052.621348592,79830345.06020506,0.0,0.14,550.6982978153045,2824.5445994192655,568.0681451055104,2842.7721802948317,56806.81451055102,0.0,0.0,0.0,568.0681451055104,2842.7721802948317,56806.81451055102,0.0,0.0,0.0,-46157619.82978152,0.0,-46157619.82978152,-46157619.82978152,0.0,-46157619.82978152,0.04,0.406900083040925,0.16433033467017286
6,3506,7,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,406.5,0.07,3.4768865563471647,105.19825267003216,147.6887149751427,0.3532753966717125,1737.3310006652293,4.120000000000002,1.9273297590189387,412.0000000000007,0.58,1.0022973610660662,58.000000000000085,52.28911555790806,496.39466402235405,5228.911555790809,0.17619156976844635,0.7680012473244536,17.619156976844636,2.250091303842172,2.148108055753523,225.00913038421695,331.30426018054504,1730.3371718061594,33130.4260180545,331.30426018054504,1730.3371718061594,33130.4260180545,888411.3998568193,996588.1636870716,88841139.98568189,0.0,0.22,590.4394971869815,2937.931291370928,607.8128071936337,2955.9295228879923,60781.28071936337,0.0,0.0,0.0,607.8128071936337,2955.9295228879923,60781.28071936337,0.0,0.0,0.0,-51023049.94971876,0.0,-51023049.94971876,-51023049.94971876,0.0,-51023049.94971876,0.35,0.3611708721775748,0.06869423570183812
7,4007,8,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,158.0,0.05,5.506329938052919,421.5403119244817,209.99580257256468,-0.7281537343634683,1054.5201578918075,6.255,1.4154416271962613,625.5000000000011,0.6549999999999997,0.9640928378532847,65.50000000000006,188.79308798860555,1074.055735749557,18879.308798860555,0.0,0.0,0.0,0.9114054860075576,2.879210409511198,91.14054860075572,791.8515635877171,3864.931349352844,79185.15635877168,791.8515635877171,3864.931349352844,79185.15635877168,1451196.6756731435,1013390.4507572578,145119667.56731436,0.0,0.08,1273.403413128147,6334.903463649426,1283.9486147070652,6362.87961820491,128394.86147070651,0.0,0.0,0.0,1283.9486147070652,6362.87961820491,128394.86147070651,0.0,0.0,0.0,-89731483.34131293,0.0,-89731483.34131293,-89731483.34131293,0.0,-89731483.34131293,0.91,0.4143005600927102,0.17548693797380904
8,4508,9,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,288.5,0.06,3.9642243763375298,150.30389293635037,114.19317313372352,0.14688368731922363,1752.3399918273744,4.1400000000000015,1.3687220316777253,414.0000000000006,0.5,0.689202437604511,50.00000000000008,36.56745924506854,363.8416255575152,3656.7459245068544,0.0,0.0,0.0,0.73,3.307128663962138,73.0,424.482944834487,1606.5435396600435,42448.29448344872,424.482944834487,1606.5435396600435,42448.29448344872,795611.8826305582,778422.6230791901,79561188.2630558,0.0,0.1,835.306982462991,2891.7219480398967,852.8303823812649,2918.3553923847953,85283.03823812651,0.0,0.0,0.0,852.8303823812649,2918.3553923847953,85283.03823812651,0.0,0.0,0.0,-43773015.69824628,0.0,-43773015.69824628,-43773015.69824628,0.0,-43773015.69824628,0.0,0.35084685257595444,0.07820272929113967
9,5009,10,500,100,100,100,random_0.25,degree_centrality,"normal_[0, 1]",100,0.3,50,0.1,75,0,0.5,0.95,0.1,313.5,0.06,2.2925540658263395,81.55096169268408,143.17655459678102,0.45210337818637675,1925.8809192708588,3.9200000000000017,1.7670880000724356,392.00000000000057,0.57,0.9586970324351693,57.000000000000085,65.65070099704644,552.4102927915892,6565.070099704645,0.0,0.0,0.0,0.9916653549572635,2.2218788852784788,99.16653549572632,203.95219658836882,1490.9225718824546,20395.219658836857,203.95219658836882,1490.9225718824546,20395.219658836857,826951.4844515093,741100.944885648,82695148.44515094,0.0,0.65,448.38783965332607,2523.5542671223,467.6466488460345,2541.302411301146,46764.66488460345,0.0,0.0,0.0,467.6466488460345,2541.302411301146,46764.66488460345,0.0,0.0,0.0,-47934936.78396535,0.0,-47934936.78396535,-47934936.78396535,0.0,-47934936.78396535,0.27,0.4819549232976449,0.22960885300232944
